Feature,Industry Code,Average SHAP Value
twoind_27.0,27.0,0.0080759229611977
twoind_33.0,33.0,0.0059136637558483
twoind_9.0,9.0,0.005261438989722
twoind_18.0,18.0,0.0046988727084782
twoind_28.0,28.0,0.0038462045110832
twoind_16.0,16.0,0.0023995289826302
twoind_11.0,11.0,0.0023699001357473
twoind_21.0,21.0,0.0021892551441259
twoind_12.0,12.0,0.0021489080897429
twoind_3.0,3.0,0.0020150138431961
twoind_8.0,8.0,0.0018633663832116
twoind_15.0,15.0,0.0018001022096914
twoind_24.0,24.0,0.0016918082586244
twoind_10.0,10.0,0.0016226401240301
twoind_30.0,30.0,0.0016156033603594
twoind_23.0,23.0,0.0012254320845679
twoind_13.0,13.0,0.0012158930111887
twoind_31.0,31.0,0.0012079319818476
twoind_25.0,25.0,0.0010395782222581
twoind_5.0,5.0,0.000946385160874
twoind_14.0,14.0,0.0008549755355491
twoind_7.0,7.0,0.0008205412114025
twoind_20.0,20.0,0.0007790031448962
twoind_6.0,6.0,0.0005732740738932
twoind_22.0,22.0,0.0003910120276091
twoind_4.0,4.0,0.0002484581318868
twoind_34.0,34.0,0.0002387615774071
twoind_19.0,19.0,0.0002136251753885
twoind_2.0,2.0,4.465246173704986e-05
twoind_32.0,32.0,4.341502386319525e-05
twoind_29.0,29.0,3.0678855210237507e-05
twoind_1.0,1.0,1.395500689563325e-06
