Feature,Industry Code,Average SHAP Value
twoind_0.0,0.0,0.0046976946550798
twoind_30.0,30.0,0.0013824357036153
twoind_15.0,15.0,0.0007484017363593
twoind_1.0,1.0,0.0006076132092398
twoind_33.0,33.0,0.0004398603851619
twoind_18.0,18.0,0.0003321289697519
twoind_29.0,29.0,0.0002689184042867
twoind_27.0,27.0,0.0002355223898195
twoind_14.0,14.0,0.0001935843411511
twoind_20.0,20.0,0.0001846554917397
twoind_12.0,12.0,0.0001594506377475
twoind_24.0,24.0,0.0001553477076815
twoind_5.0,5.0,0.0001267466293331
twoind_3.0,3.0,0.0001267460997791
twoind_25.0,25.0,0.0001079857997571
twoind_21.0,21.0,8.854243974555024e-05
twoind_10.0,10.0,7.065590017242761e-05
twoind_8.0,8.0,4.981897691172932e-05
twoind_13.0,13.0,3.9720822126547394e-05
twoind_6.0,6.0,3.6897404235228735e-05
twoind_23.0,23.0,3.3791303286122144e-05
twoind_16.0,16.0,2.736003472709405e-05
twoind_11.0,11.0,2.673659411105611e-05
twoind_4.0,4.0,2.4980149252580013e-05
twoind_28.0,28.0,1.4277082015717542e-05
twoind_9.0,9.0,8.33586006181455e-06
twoind_19.0,19.0,4.103564184796525e-06
twoind_22.0,22.0,1.4126357736732155e-06
twoind_7.0,7.0,0.0
twoind_31.0,31.0,0.0
twoind_32.0,32.0,0.0
twoind_2.0,2.0,0.0
twoind_34.0,34.0,0.0
