Feature,Industry Code,Average SHAP Value
twoind_0.0,0.0,0.0013729119325075
twoind_30.0,30.0,0.0007155708105341
twoind_18.0,18.0,0.0004003186233446
twoind_14.0,14.0,0.0003842586393186
twoind_33.0,33.0,0.0003379812630135
twoind_15.0,15.0,0.0002445814714446
twoind_24.0,24.0,0.0001856812529151
twoind_1.0,1.0,0.0001852138767731
twoind_23.0,23.0,0.0001622087565557
twoind_28.0,28.0,0.0001493919591094
twoind_3.0,3.0,0.0001427039477832
twoind_22.0,22.0,0.0001261870609169
twoind_13.0,13.0,0.0001260309390176
twoind_29.0,29.0,0.0001233678611511
twoind_21.0,21.0,0.000119563522401
twoind_16.0,16.0,0.0001172407442218
twoind_11.0,11.0,0.0001088314827648
twoind_12.0,12.0,0.0001010149742152
twoind_7.0,7.0,9.01549651987767e-05
twoind_4.0,4.0,7.176477779299097e-05
twoind_27.0,27.0,5.58251356762776e-05
twoind_5.0,5.0,4.582378234397845e-05
twoind_20.0,20.0,3.770728601026991e-05
twoind_31.0,31.0,3.472262103632509e-05
twoind_9.0,9.0,3.4270639464677643e-05
twoind_10.0,10.0,2.137294422535235e-05
twoind_34.0,34.0,1.9417982578296115e-05
twoind_25.0,25.0,9.967702994607449e-06
twoind_6.0,6.0,0.0
twoind_8.0,8.0,0.0
twoind_19.0,19.0,0.0
twoind_32.0,32.0,0.0
twoind_2.0,2.0,0.0
