Feature,Industry Code,Average SHAP Value
twoind_0.0,0.0,0.0031821002216154
twoind_30.0,30.0,0.0007678608250997
twoind_29.0,29.0,0.0006756545607974
twoind_33.0,33.0,0.0006454685288149
twoind_28.0,28.0,0.0006112365542359
twoind_15.0,15.0,0.0006044773272514
twoind_16.0,16.0,0.0003919546369392
twoind_27.0,27.0,0.0003869547271238
twoind_14.0,14.0,0.0003301708139375
twoind_11.0,11.0,0.0003190094460321
twoind_8.0,8.0,0.0002974961814272
twoind_21.0,21.0,0.0002306338234552
twoind_23.0,23.0,0.000212759073916
twoind_1.0,1.0,0.0001789174691353
twoind_6.0,6.0,0.000156589899456
twoind_9.0,9.0,0.0001354164324982
twoind_20.0,20.0,0.0001124595511149
twoind_24.0,24.0,0.000102420433174
twoind_13.0,13.0,9.815628991042958e-05
twoind_12.0,12.0,9.299658058333556e-05
twoind_4.0,4.0,8.749878459072886e-05
twoind_10.0,10.0,8.472667122438192e-05
twoind_3.0,3.0,7.683629694050473e-05
twoind_34.0,34.0,6.635774201677581e-05
twoind_5.0,5.0,5.311715502920093e-05
twoind_31.0,31.0,4.099355251346038e-05
twoind_22.0,22.0,3.192500494619402e-05
twoind_32.0,32.0,2.7123936638110167e-06
twoind_25.0,25.0,0.0
twoind_19.0,19.0,0.0
twoind_18.0,18.0,0.0
twoind_2.0,2.0,0.0
twoind_7.0,7.0,0.0
