Feature,Occupation Code,Average SHAP Value
occ_61.0,61.0,0.0029095235446148
occ_84.0,84.0,0.0025638790520979
occ_2.0,2.0,0.0021075299107304
occ_99.0,99.0,0.001939594423683
occ_98.0,98.0,0.0019067532045549
occ_8.0,8.0,0.0016619946780607
occ_44.0,44.0,0.0014753965538698
occ_97.0,97.0,0.0013860836337881
occ_39.0,39.0,0.0011514173996165
occ_30.0,30.0,0.0011451320896265
occ_21.0,21.0,0.0011125302669378
occ_40.0,40.0,0.0010671673210997
occ_85.0,85.0,0.0010315498436865
occ_70.0,70.0,0.0009743902639366
occ_95.0,95.0,0.0009059179034163
occ_3.0,3.0,0.0008863444129023
occ_55.0,55.0,0.0008153178810116
occ_19.0,19.0,0.0006990442357079
occ_37.0,37.0,0.0006704591714931
occ_13.0,13.0,0.0006608351371603
occ_17.0,17.0,0.0006354761502001
occ_93.0,93.0,0.0006292222168089
occ_92.0,92.0,0.000601891553896
occ_58.0,58.0,0.000506776827274
occ_7.0,7.0,0.0004977903492314
occ_45.0,45.0,0.0004016151538022
occ_87.0,87.0,0.0003908097216632
occ_60.0,60.0,0.0003482281788267
occ_59.0,59.0,0.0003089540067535
occ_33.0,33.0,0.0002549601953517
occ_20.0,20.0,0.0002454657299723
occ_101.0,101.0,0.0002235608785043
occ_34.0,34.0,0.0002043635952974
occ_64.0,64.0,0.0001988142705847
occ_96.0,96.0,0.000174786802094
occ_83.0,83.0,0.0001682288605399
occ_15.0,15.0,0.0001407614869827
occ_50.0,50.0,0.0001271504291847
occ_14.0,14.0,0.0001121603822002
occ_1.0,1.0,0.0001025478892839
occ_73.0,73.0,9.853093866735078e-05
occ_77.0,77.0,9.762449922604478e-05
occ_6.0,6.0,9.710554009812944e-05
occ_4.0,4.0,9.52444591749588e-05
occ_18.0,18.0,9.112734602027582e-05
occ_57.0,57.0,8.892114249105335e-05
occ_9.0,9.0,8.668587137301792e-05
occ_11.0,11.0,8.313870095165023e-05
occ_74.0,74.0,7.424601579915436e-05
occ_75.0,75.0,7.131037417818519e-05
occ_32.0,32.0,6.790664388252883e-05
occ_86.0,86.0,6.715991207269277e-05
occ_5.0,5.0,5.536549810369443e-05
occ_38.0,38.0,5.358034847548971e-05
occ_81.0,81.0,4.9788208801572154e-05
occ_54.0,54.0,4.9379186575526306e-05
occ_63.0,63.0,4.487355159854652e-05
occ_42.0,42.0,4.459130006756168e-05
occ_88.0,88.0,3.71240059300173e-05
occ_43.0,43.0,3.389421940651386e-05
occ_16.0,16.0,3.378661073128819e-05
occ_89.0,89.0,3.266413679869922e-05
occ_49.0,49.0,3.227105852902248e-05
occ_80.0,80.0,2.364547437041036e-05
occ_79.0,79.0,2.3334381071253604e-05
occ_56.0,56.0,2.276884122340264e-05
occ_62.0,62.0,1.7646092869937865e-05
occ_53.0,53.0,8.78416303348469e-06
occ_35.0,35.0,4.478198081441506e-06
occ_31.0,31.0,0.0
occ_82.0,82.0,0.0
occ_12.0,12.0,0.0
occ_94.0,94.0,0.0
occ_72.0,72.0,0.0
occ_71.0,71.0,0.0
occ_36.0,36.0,0.0
occ_52.0,52.0,0.0
