Feature,Occupation Code,Average SHAP Value
occ_0.0,0.0,0.0138672306572964
occ_61.0,61.0,0.0062216484506965
occ_21.0,21.0,0.0037823443713451
occ_8.0,8.0,0.0023583066153622
occ_44.0,44.0,0.0017983919187887
occ_99.0,99.0,0.0016011590228764
occ_70.0,70.0,0.0014512253363033
occ_2.0,2.0,0.0014472660937354
occ_87.0,87.0,0.0012192592600333
occ_95.0,95.0,0.0011462076538019
occ_98.0,98.0,0.0011219238494466
occ_3.0,3.0,0.0010480931595717
occ_84.0,84.0,0.0010429860066939
occ_37.0,37.0,0.0009906824634736
occ_19.0,19.0,0.0008586707389901
occ_53.0,53.0,0.0007572121637612
occ_20.0,20.0,0.0007549569641262
occ_13.0,13.0,0.000739419101286
occ_77.0,77.0,0.000511360699169
occ_55.0,55.0,0.0004770079518599
occ_40.0,40.0,0.0004639287722494
occ_45.0,45.0,0.0004320300623068
occ_73.0,73.0,0.0003773755016794
occ_81.0,81.0,0.0003658856865261
occ_58.0,58.0,0.0002876805560869
occ_57.0,57.0,0.0002814153744828
occ_11.0,11.0,0.0002596459735589
occ_93.0,93.0,0.0002483687374752
occ_6.0,6.0,0.0002240961840071
occ_4.0,4.0,0.0001953301379769
occ_17.0,17.0,0.0001946877656784
occ_97.0,97.0,0.0001585938921987
occ_7.0,7.0,0.0001582074651305
occ_39.0,39.0,0.0001561273667752
occ_30.0,30.0,0.0001551719935448
occ_34.0,34.0,0.0001550030653318
occ_56.0,56.0,0.0001469048733774
occ_14.0,14.0,0.0001288487690051
occ_50.0,50.0,0.0001286589288347
occ_12.0,12.0,0.0001279941865109
occ_43.0,43.0,0.0001263496774567
occ_18.0,18.0,0.0001103244799609
occ_83.0,83.0,0.0001001772890408
occ_60.0,60.0,9.194757226671913e-05
occ_96.0,96.0,9.13738805104247e-05
occ_5.0,5.0,8.843996483594952e-05
occ_85.0,85.0,8.701591188066381e-05
occ_64.0,64.0,7.774112597189986e-05
occ_16.0,16.0,7.133955700055538e-05
occ_59.0,59.0,6.668729194787386e-05
occ_38.0,38.0,6.315403653920218e-05
occ_75.0,75.0,5.801929415604677e-05
occ_32.0,32.0,5.669229180401232e-05
occ_63.0,63.0,5.2728127244147606e-05
occ_89.0,89.0,5.16017596689145e-05
occ_80.0,80.0,4.913309371460731e-05
occ_31.0,31.0,4.652205644731893e-05
occ_62.0,62.0,4.08501599378559e-05
occ_33.0,33.0,3.727419682716457e-05
occ_72.0,72.0,3.02294668557234e-05
occ_49.0,49.0,2.823570934523038e-05
occ_15.0,15.0,2.6221677614994103e-05
occ_54.0,54.0,2.0205476796299325e-05
occ_74.0,74.0,1.976161663253077e-05
occ_88.0,88.0,1.4808119350440597e-05
occ_79.0,79.0,1.43069263178085e-05
occ_42.0,42.0,1.2348641419669592e-05
occ_92.0,92.0,9.977508063579276e-06
occ_82.0,82.0,7.021106890733366e-06
occ_1.0,1.0,4.672502212289609e-06
occ_94.0,94.0,1.117919010940433e-06
occ_9.0,9.0,0.0
occ_86.0,86.0,0.0
occ_35.0,35.0,0.0
occ_36.0,36.0,0.0
occ_71.0,71.0,0.0
occ_52.0,52.0,0.0
occ_101.0,101.0,0.0
