Feature,Occupation Code,Average SHAP Value
occ_21.0,21.0,0.0005028865038969
occ_6.0,6.0,0.0004878846622439
occ_44.0,44.0,0.0003647870513913
occ_97.0,97.0,0.0003270812070238
occ_61.0,61.0,0.0002954994068361
occ_45.0,45.0,0.000224501553626
occ_19.0,19.0,0.0001972734546436
occ_0.0,0.0,0.0001858191249335
occ_13.0,13.0,0.0001650073505437
occ_99.0,99.0,0.0001642521982207
occ_93.0,93.0,0.0001529557442409
occ_53.0,53.0,0.0001392218223899
occ_85.0,85.0,0.0001058771987897
occ_2.0,2.0,0.0001017507875241
occ_20.0,20.0,0.000101628219119
occ_70.0,70.0,9.947311259744614e-05
occ_55.0,55.0,9.654736182835474e-05
occ_39.0,39.0,6.740959056698584e-05
occ_40.0,40.0,6.418240808509355e-05
occ_95.0,95.0,6.008099898350927e-05
occ_83.0,83.0,5.1202586263495936e-05
occ_57.0,57.0,4.778006993372004e-05
occ_12.0,12.0,4.709621091014254e-05
occ_15.0,15.0,4.379552485836492e-05
occ_3.0,3.0,3.687036714927643e-05
occ_59.0,59.0,2.9777308052032616e-05
occ_50.0,50.0,2.739013380902093e-05
occ_1.0,1.0,2.399761542784681e-05
occ_73.0,73.0,2.0029075393176664e-05
occ_30.0,30.0,1.9579380129427644e-05
occ_38.0,38.0,1.9109758709683017e-05
occ_4.0,4.0,1.827194313767882e-05
occ_18.0,18.0,1.698097847868972e-05
occ_5.0,5.0,1.505844142410839e-05
occ_17.0,17.0,1.4777653530396516e-05
occ_42.0,42.0,1.0890460177862524e-05
occ_60.0,60.0,1.084793065595298e-05
occ_34.0,34.0,1.0491697051531448e-05
occ_16.0,16.0,9.599249880161722e-06
occ_35.0,35.0,7.63689582210911e-06
occ_37.0,37.0,7.5897402571307185e-06
occ_9.0,9.0,6.786264586549921e-06
occ_96.0,96.0,6.7741843103015e-06
occ_54.0,54.0,6.162022778784013e-06
occ_31.0,31.0,5.870404608235841e-06
occ_75.0,75.0,5.658317960604395e-06
occ_72.0,72.0,5.617030874424928e-06
occ_32.0,32.0,3.654711419058467e-06
occ_77.0,77.0,3.3809952933637453e-06
occ_11.0,11.0,2.9098674432607756e-06
occ_7.0,7.0,1.8125989111676776e-06
occ_88.0,88.0,1.3555519679371377e-06
occ_92.0,92.0,9.561312097221278e-07
occ_14.0,14.0,5.926461625784272e-07
occ_82.0,82.0,0.0
occ_87.0,87.0,0.0
occ_98.0,98.0,0.0
occ_86.0,86.0,0.0
occ_89.0,89.0,0.0
occ_84.0,84.0,0.0
occ_94.0,94.0,0.0
occ_71.0,71.0,0.0
occ_81.0,81.0,0.0
occ_80.0,80.0,0.0
occ_79.0,79.0,0.0
occ_74.0,74.0,0.0
occ_36.0,36.0,0.0
occ_64.0,64.0,0.0
occ_63.0,63.0,0.0
occ_62.0,62.0,0.0
occ_58.0,58.0,0.0
occ_56.0,56.0,0.0
occ_52.0,52.0,0.0
occ_49.0,49.0,0.0
occ_8.0,8.0,0.0
occ_43.0,43.0,0.0
occ_33.0,33.0,0.0
occ_101.0,101.0,0.0
