Feature,Occupation Code,Average SHAP Value
occ_21.0,21.0,0.0010194499436171
occ_61.0,61.0,0.0007902907120894
occ_6.0,6.0,0.0007217012526581
occ_44.0,44.0,0.0006203318950619
occ_85.0,85.0,0.0002956026415648
occ_13.0,13.0,0.000290829171808
occ_20.0,20.0,0.00028645212189
occ_2.0,2.0,0.0002789433825883
occ_83.0,83.0,0.0002541411015555
occ_98.0,98.0,0.0002326759556167
occ_99.0,99.0,0.0002319615535508
occ_97.0,97.0,0.0001687177581613
occ_7.0,7.0,0.0001662462918907
occ_93.0,93.0,0.0001659118699006
occ_58.0,58.0,0.0001449123757034
occ_40.0,40.0,0.0001326291384771
occ_11.0,11.0,0.0001281341062629
occ_45.0,45.0,0.0001223289075951
occ_16.0,16.0,0.0001014241577911
occ_55.0,55.0,9.306315130524588e-05
occ_70.0,70.0,9.070406441879262e-05
occ_37.0,37.0,7.391999071437716e-05
occ_33.0,33.0,7.260602186748492e-05
occ_8.0,8.0,6.540638714278974e-05
occ_50.0,50.0,4.9145143184895294e-05
occ_77.0,77.0,4.7578368298114944e-05
occ_54.0,54.0,4.201532680313454e-05
occ_42.0,42.0,4.0401595151042606e-05
occ_17.0,17.0,3.6024277932980686e-05
occ_18.0,18.0,3.544993574921141e-05
occ_12.0,12.0,3.323400072060433e-05
occ_19.0,19.0,3.1541074040900555e-05
occ_1.0,1.0,2.3063792473425897e-05
occ_87.0,87.0,2.206353504541502e-05
occ_73.0,73.0,1.9703656111053096e-05
occ_81.0,81.0,1.928429171704004e-05
occ_38.0,38.0,1.91608408822801e-05
occ_14.0,14.0,1.9058640591221147e-05
occ_79.0,79.0,1.6912858812157366e-05
occ_57.0,57.0,1.6550801659153677e-05
occ_5.0,5.0,1.4500406614472283e-05
occ_59.0,59.0,1.4426906686600816e-05
occ_43.0,43.0,1.3888936011300892e-05
occ_4.0,4.0,9.155368732910583e-06
occ_3.0,3.0,8.765937264384578e-06
occ_35.0,35.0,8.157740560196782e-06
occ_56.0,56.0,7.75729810034484e-06
occ_75.0,75.0,7.0209692037283894e-06
occ_31.0,31.0,6.4061298467898375e-06
occ_64.0,64.0,6.0418368960695765e-06
occ_62.0,62.0,5.128834119574568e-06
occ_9.0,9.0,5.059460175069161e-06
occ_15.0,15.0,4.878836591482056e-06
occ_96.0,96.0,4.567916955224649e-06
occ_34.0,34.0,4.286582741231362e-06
occ_74.0,74.0,3.5333757023715845e-06
occ_82.0,82.0,2.1845275483408588e-06
occ_101.0,101.0,1.851533260435612e-06
occ_80.0,80.0,1.0913719241538365e-06
occ_53.0,53.0,6.378010708729734e-07
occ_72.0,72.0,0.0
occ_71.0,71.0,0.0
occ_30.0,30.0,0.0
occ_32.0,32.0,0.0
occ_36.0,36.0,0.0
occ_39.0,39.0,0.0
occ_95.0,95.0,0.0
occ_94.0,94.0,0.0
occ_49.0,49.0,0.0
occ_92.0,92.0,0.0
occ_89.0,89.0,0.0
occ_88.0,88.0,0.0
occ_52.0,52.0,0.0
occ_86.0,86.0,0.0
occ_60.0,60.0,0.0
occ_84.0,84.0,0.0
occ_63.0,63.0,0.0
occ_0.0,0.0,0.0
