Feature,Average SHAP Value,Abs Mean SHAP (Net directional)
currentage,0.0,0.0
veteran,0.0,0.0
rGDPgrow,1.8791340540901116e-06,1.2800531268467074e-07
PrRecess,4.913263258218934e-06,1.7136621725919943e-07
OLF,0.0,0.0
tenure,2.478962711253668e-05,1.0843588658320118e-06
currentagesq,0.00018146251552647407,1.4277166123097269e-05
currentagecube,0.00023283865610376487,1.8003012374825035e-05
ma5aep,3.838821096827448e-05,3.875016370799329e-07
fhwage,2.7850381513783387e-05,3.360382077994574e-06
race_1.0,0.0,0.0
race_2.0,0.0,0.0
race_3.0,0.0,0.0
race_4.0,0.0,0.0
race_5.0,0.0,0.0
race_7.0,0.0,0.0
occ_0.0,0.0,0.0
occ_1.0,0.0,0.0
occ_2.0,0.0,0.0
occ_3.0,0.0,0.0
occ_4.0,0.0,0.0
occ_5.0,0.0,0.0
occ_6.0,0.0,0.0
occ_7.0,0.0,0.0
occ_8.0,0.0,0.0
occ_9.0,0.0,0.0
occ_11.0,0.0,0.0
occ_12.0,0.0,0.0
occ_13.0,0.0,0.0
occ_14.0,0.0,0.0
occ_15.0,0.0,0.0
occ_16.0,0.0,0.0
occ_17.0,0.0,0.0
occ_18.0,0.0,0.0
occ_19.0,0.0,0.0
occ_20.0,0.0,0.0
occ_21.0,0.0,0.0
occ_30.0,0.0,0.0
occ_31.0,0.0,0.0
occ_32.0,0.0,0.0
occ_33.0,0.0,0.0
occ_34.0,0.0,0.0
occ_35.0,0.0,0.0
occ_36.0,0.0,0.0
occ_37.0,0.0,0.0
occ_38.0,0.0,0.0
occ_39.0,0.0,0.0
occ_40.0,0.0,0.0
occ_42.0,0.0,0.0
occ_43.0,0.0,0.0
occ_44.0,0.0,0.0
occ_45.0,0.0,0.0
occ_49.0,0.0,0.0
occ_50.0,0.0,0.0
occ_53.0,0.0,0.0
occ_54.0,0.0,0.0
occ_55.0,0.0,0.0
occ_56.0,0.0,0.0
occ_57.0,0.0,0.0
occ_58.0,0.0,0.0
occ_59.0,0.0,0.0
occ_60.0,0.0,0.0
occ_61.0,0.0,0.0
occ_62.0,0.0,0.0
occ_63.0,0.0,0.0
occ_64.0,0.0,0.0
occ_70.0,0.0,0.0
occ_71.0,0.0,0.0
occ_72.0,0.0,0.0
occ_73.0,0.0,0.0
occ_74.0,0.0,0.0
occ_75.0,0.0,0.0
occ_77.0,0.0,0.0
occ_79.0,0.0,0.0
occ_80.0,0.0,0.0
occ_81.0,0.0,0.0
occ_82.0,0.0,0.0
occ_83.0,0.0,0.0
occ_84.0,0.0,0.0
occ_85.0,0.0,0.0
occ_86.0,0.0,0.0
occ_87.0,0.0,0.0
occ_88.0,0.0,0.0
occ_89.0,0.0,0.0
occ_92.0,0.0,0.0
occ_93.0,0.0,0.0
occ_94.0,0.0,0.0
occ_95.0,0.0,0.0
occ_96.0,0.0,0.0
occ_97.0,0.0,0.0
occ_98.0,0.0,0.0
occ_99.0,0.0,0.0
occ_101.0,0.0,0.0
year_1972.0,0.0,0.0
year_1973.0,0.0,0.0
year_1974.0,0.0,0.0
year_1975.0,0.0,0.0
year_1976.0,0.0,0.0
year_1977.0,0.0,0.0
year_1978.0,0.0,0.0
year_1979.0,0.0,0.0
year_1980.0,0.0,0.0
year_1981.0,0.0,0.0
year_1982.0,0.0,0.0
year_1983.0,0.0,0.0
year_1984.0,0.0,0.0
year_1985.0,0.0,0.0
year_1986.0,0.0,0.0
year_1987.0,0.0,0.0
year_1988.0,0.0,0.0
year_1989.0,0.0,0.0
year_1990.0,0.0,0.0
year_1991.0,0.0,0.0
year_1992.0,0.0,0.0
year_1993.0,0.0,0.0
year_1994.0,0.0,0.0
year_1995.0,0.0,0.0
year_1997.0,0.0,0.0
year_1999.0,0.0,0.0
year_2001.0,0.0,0.0
year_2003.0,0.0,0.0
year_2005.0,0.0,0.0
year_2007.0,0.0,0.0
year_2009.0,0.0,0.0
year_2011.0,0.0,0.0
year_2013.0,0.0,0.0
year_2015.0,0.0,0.0
year_2017.0,0.0,0.0
year_2019.0,0.0,0.0
state_-999.2999877929688,0.0,0.0
state_0.0,0.0,0.0
state_1.0,0.0,0.0
state_2.0,0.0,0.0
state_3.0,0.0,0.0
state_4.0,0.0,0.0
state_5.0,0.0,0.0
state_6.0,0.0,0.0
state_7.0,0.0,0.0
state_8.0,0.0,0.0
state_9.0,0.0,0.0
state_10.0,0.0,0.0
state_11.0,0.0,0.0
state_12.0,0.0,0.0
state_13.0,0.0,0.0
state_14.0,0.0,0.0
state_15.0,0.0,0.0
state_16.0,0.0,0.0
state_17.0,0.0,0.0
state_18.0,0.0,0.0
state_19.0,0.0,0.0
state_20.0,0.0,0.0
state_21.0,0.0,0.0
state_22.0,0.0,0.0
state_23.0,0.0,0.0
state_24.0,0.0,0.0
state_25.0,0.0,0.0
state_26.0,0.0,0.0
state_27.0,0.0,0.0
state_28.0,0.0,0.0
state_29.0,0.0,0.0
state_30.0,0.0,0.0
state_31.0,0.0,0.0
state_32.0,0.0,0.0
state_33.0,0.0,0.0
state_34.0,0.0,0.0
state_35.0,0.0,0.0
state_36.0,0.0,0.0
state_37.0,0.0,0.0
state_38.0,0.0,0.0
state_39.0,0.0,0.0
state_40.0,0.0,0.0
state_41.0,0.0,0.0
state_42.0,0.0,0.0
state_43.0,0.0,0.0
state_44.0,0.0,0.0
state_45.0,0.0,0.0
state_46.0,0.0,0.0
state_47.0,0.0,0.0
state_48.0,0.0,0.0
state_49.0,0.0,0.0
state_50.0,0.0,0.0
state_51.0,0.0,0.0
cohort_10.0,1.1421130569228562e-05,4.37110838088558e-07
cohort_20.0,2.5351177536569837e-06,4.380221557092779e-07
cohort_30.0,0.0,0.0
cohort_40.0,0.0,0.0
twoind_0.0,0.0,0.0
twoind_1.0,0.0,0.0
twoind_2.0,0.0,0.0
twoind_3.0,0.0,0.0
twoind_4.0,0.0,0.0
twoind_5.0,0.0,0.0
twoind_6.0,0.0,0.0
twoind_7.0,0.0,0.0
twoind_8.0,0.0,0.0
twoind_9.0,0.0,0.0
twoind_10.0,0.0,0.0
twoind_11.0,0.0,0.0
twoind_12.0,0.0,0.0
twoind_13.0,0.0,0.0
twoind_14.0,0.0,0.0
twoind_15.0,3.204101036939764e-06,5.846209963401553e-07
twoind_16.0,0.0,0.0
twoind_18.0,0.0,0.0
twoind_19.0,0.0,0.0
twoind_20.0,0.0,0.0
twoind_21.0,0.0,0.0
twoind_22.0,0.0,0.0
twoind_23.0,0.0,0.0
twoind_24.0,0.0,0.0
twoind_25.0,0.0,0.0
twoind_27.0,0.0,0.0
twoind_28.0,0.0,0.0
twoind_29.0,0.0,0.0
twoind_30.0,0.0,0.0
twoind_31.0,0.0,0.0
twoind_32.0,0.0,0.0
twoind_33.0,0.0,0.0
twoind_34.0,0.0,0.0
EDU1,0.0,0.0
EDU2,0.0,0.0
EDU3,0.0,0.0
