Feature,Average SHAP Value,Abs Mean SHAP (Net directional)
currentage,0.00856376956956679,0.0008644947331412553
PrRecess,0.010724112208286467,0.001657027739061945
OLF,0.0028143448709307024,0.0028143448709307024
tenure,0.010954654147460259,0.0011730317469536916
currentagesq,0.07385149614456744,0.006818289940047463
currentagecube,0.06732337879669309,0.005766638415788554
race_1.0,0.0030171488846055727,0.00014035354998998773
race_2.0,0.015087639745495962,0.0019074416629793285
race_3.0,8.084420539679014e-07,3.483463954123572e-08
race_4.0,4.119474620835625e-05,4.119474620835625e-05
race_5.0,0.002277371364922251,0.00035537228951696624
race_7.0,2.0382784957638096e-05,2.0382784957638096e-05
occ_0.0,0.013867230657296423,0.0009780739444194921
occ_1.0,4.672502212289609e-06,4.672502212289609e-06
occ_2.0,0.0014472660937354701,0.0002787620276987463
occ_3.0,0.001048093159571774,0.00028443940784285784
occ_4.0,0.00019533013797694773,0.00019533013797694773
occ_5.0,8.843996483594952e-05,8.843996483594952e-05
occ_6.0,0.00022409618400714808,0.00022409618400714808
occ_7.0,0.00015820746513053204,2.3692098480574443e-05
occ_8.0,0.002358306615362218,0.0007001192581276603
occ_9.0,0.0,0.0
occ_11.0,0.00025964597355893537,8.692903221052993e-06
occ_12.0,0.0001279941865109935,0.0001279941865109935
occ_13.0,0.0007394191012860475,9.020299979020893e-05
occ_14.0,0.00012884876900511803,0.00012884876900511803
occ_15.0,2.6221677614994103e-05,2.6221677614994103e-05
occ_16.0,7.133955700055538e-05,7.133955700055538e-05
occ_17.0,0.0001946877656784396,0.0001946877656784396
occ_18.0,0.00011032447996093038,0.00011032447996093038
occ_19.0,0.0008586707389901596,0.00024498158496473796
occ_20.0,0.0007549569641262378,0.00028858190115262517
occ_21.0,0.003782344371345195,0.0008029484399485182
occ_30.0,0.00015517199354488735,0.00015517199354488735
occ_31.0,4.652205644731893e-05,4.652205644731893e-05
occ_32.0,5.669229180401232e-05,5.669229180401232e-05
occ_33.0,3.727419682716457e-05,2.975934563709493e-06
occ_34.0,0.00015500306533189313,0.00015500306533189313
occ_35.0,0.0,0.0
occ_36.0,0.0,0.0
