Feature,Average SHAP Value,Abs Mean SHAP (Net directional)
currentage,0.022224412447158108,0.0012352977891816098
PrRecess,0.0006047006403004648,0.00011149256597505672
OLF,0.00018867213399843366,5.334636628688438e-05
tenure,0.00025424183144911853,6.57593953075758e-06
currentagesq,0.05448660104624045,0.003902824248204699
currentagecube,0.03096494611999237,0.0027754068936048757
race_1.0,0.0010763542074456451,8.013436380413646e-05
race_2.0,0.0009415810755201303,6.195984447452616e-05
race_3.0,1.1045103547595674e-05,6.229506359077541e-07
race_4.0,0.0,0.0
race_5.0,4.04229996440988e-05,8.552897462690304e-07
race_7.0,0.0,0.0
occ_0.0,0.00018581912493355614,5.311390341493686e-06
occ_1.0,2.399761542784681e-05,2.399761542784681e-05
occ_2.0,0.00010175078752410788,5.042708613471491e-05
occ_3.0,3.687036714927643e-05,3.687036714927643e-05
occ_4.0,1.827194313767882e-05,1.827194313767882e-05
occ_5.0,1.505844142410839e-05,8.240511647480052e-06
occ_6.0,0.0004878846622439378,3.169244663352585e-05
occ_7.0,1.8125989111676774e-06,3.626926922439468e-07
occ_8.0,0.0,0.0
occ_9.0,6.786264586549921e-06,6.786264586549921e-06
occ_11.0,2.9098674432607756e-06,8.182064577778528e-07
occ_12.0,4.709621091014254e-05,2.587181275511077e-06
occ_13.0,0.00016500735054379774,3.5966486720948424e-05
occ_14.0,5.926461625784272e-07,5.926461625784272e-07
occ_15.0,4.379552485836492e-05,4.379552485836492e-05
occ_16.0,9.599249880161722e-06,4.25319960607832e-06
occ_17.0,1.4777653530396515e-05,1.4777653530396515e-05
occ_18.0,1.698097847868972e-05,1.698097847868972e-05
occ_19.0,0.0001972734546436625,8.866181566265456e-05
occ_20.0,0.00010162821911902835,0.00010162821911902835
occ_21.0,0.0005028865038969914,3.255352196079152e-05
occ_30.0,1.9579380129427644e-05,1.9579380129427644e-05
occ_31.0,5.870404608235841e-06,1.7340992228030537e-06
occ_32.0,3.654711419058467e-06,3.654711419058467e-06
occ_33.0,0.0,0.0
occ_34.0,1.0491697051531448e-05,1.0491697051531448e-05
occ_35.0,7.63689582210911e-06,7.63689582210911e-06
occ_36.0,0.0,0.0
occ_37.0,7.5897402571307185e-06,7.5897402571307185e-06
occ_38.0,1.9109758709683017e-05,1.9109758709683017e-05
occ_39.0,6.740959056698584e-05,2.6128286524418386e-05
occ_40.0,6.418240808509355e-05,1.2516504832129376e-05
occ_42.0,1.0890460177862524e-05,1.0890460177862524e-05
occ_43.0,0.0,0.0
occ_44.0,0.000364787051391337,5.776208410412435e-05
occ_45.0,0.00022450155362609375,6.249964162954387e-05
occ_49.0,0.0,0.0
occ_50.0,2.739013380902093e-05,2.739013380902093e-05
occ_52.0,0.0,0.0
occ_53.0,0.00013922182238996602,9.906840610404412e-05
occ_54.0,6.162022778784013e-06,6.162022778784013e-06
occ_55.0,9.654736182835474e-05,4.09142950392015e-06
occ_56.0,0.0,0.0
