Feature,Average SHAP Value,Abs Mean SHAP (Net directional)
currentage,0.03673426626658821,0.0008166274134510709
PrRecess,0.0007073932549864895,0.00013342176885433818
OLF,0.00010619723840384254,4.492030380134388e-06
tenure,8.937225739338158e-05,2.1374077824506438e-05
currentagesq,0.09336328507209252,0.003323257580522513
currentagecube,0.05596819314909607,0.0028358035792933386
race_1.0,0.00047387403042788775,7.263213138524564e-05
race_2.0,2.4193085909032333e-05,1.7586996957907854e-06
race_3.0,9.917303301645455e-06,3.8132898326715865e-06
race_4.0,0.00018431600383946644,7.538544122785946e-05
race_5.0,2.3288927401693693e-05,1.6087659622414148e-05
race_7.0,0.0001352123751345798,3.458849596259317e-05
occ_0.0,0.0,0.0
occ_1.0,2.3063792473425897e-05,2.3063792473425897e-05
occ_2.0,0.00027894338258833604,4.543880920418408e-05
occ_3.0,8.765937264384578e-06,8.765937264384578e-06
occ_4.0,9.155368732910583e-06,9.155368732910583e-06
occ_5.0,1.4500406614472285e-05,1.4500406614472285e-05
occ_6.0,0.0007217012526581213,0.0002842546662367233
occ_7.0,0.000166246291890711,3.2722968513737765e-05
occ_8.0,6.540638714278974e-05,6.540638714278974e-05
occ_9.0,5.059460175069161e-06,5.059460175069161e-06
occ_11.0,0.00012813410626292241,5.912393265478453e-05
occ_12.0,3.323400072060433e-05,1.810939745986512e-05
occ_13.0,0.00029082917180803193,3.824801351210343e-05
occ_14.0,1.9058640591221147e-05,1.9058640591221147e-05
occ_15.0,4.878836591482056e-06,4.878836591482056e-06
occ_16.0,0.0001014241577911919,4.3660735097732514e-05
occ_17.0,3.6024277932980686e-05,3.6024277932980686e-05
occ_18.0,3.544993574921141e-05,3.544993574921141e-05
occ_19.0,3.1541074040900555e-05,8.471052169505758e-06
occ_20.0,0.0002864521218900616,1.683691012386987e-05
occ_21.0,0.0010194499436171926,0.00016082633925195195
occ_30.0,0.0,0.0
occ_31.0,6.4061298467898375e-06,6.4061298467898375e-06
occ_32.0,0.0,0.0
occ_33.0,7.260602186748492e-05,3.0488370458559127e-05
occ_34.0,4.286582741231362e-06,4.286582741231362e-06
occ_35.0,8.157740560196782e-06,8.157740560196782e-06
occ_36.0,0.0,0.0
occ_37.0,7.391999071437716e-05,1.5555273454406043e-05
occ_38.0,1.91608408822801e-05,1.91608408822801e-05
occ_39.0,0.0,0.0
occ_40.0,0.00013262913847711668,2.5803584282139432e-05
occ_42.0,4.0401595151042606e-05,4.0401595151042606e-05
occ_43.0,1.3888936011300892e-05,1.3888936011300892e-05
occ_44.0,0.0006203318950619006,9.632304353113923e-05
occ_45.0,0.00012232890759517867,2.2615839440104805e-05
occ_49.0,0.0,0.0
occ_50.0,4.9145143184895294e-05,1.7420036555401622e-05
occ_52.0,0.0,0.0
occ_53.0,6.378010708729734e-07,6.378010708729734e-07
occ_54.0,4.201532680313454e-05,4.201532680313454e-05
occ_55.0,9.306315130524588e-05,2.6667834905223117e-05
occ_56.0,7.75729810034484e-06,7.75729810034484e-06
occ_57.0,1.6550801659153677e-05,1.6550801659153677e-05
occ_58.0,0.00014491237570347573,6.476573374851677e-05
occ_59.0,1.4426906686600816e-05,1.4426906686600816e-05
occ_60.0,0.0,0.0
occ_61.0,0.0007902907120894602,0.00015328419134436795
occ_62.0,5.128834119574568e-06,5.128834119574568e-06
occ_63.0,0.0,0.0
occ_64.0,6.0418368960695765e-06,6.0418368960695765e-06
occ_70.0,9.070406441879262e-05,1.0985366004981196e-05
occ_71.0,0.0,0.0
occ_72.0,0.0,0.0
occ_73.0,1.9703656111053096e-05,1.9703656111053096e-05
occ_74.0,3.5333757023715845e-06,3.5333757023715845e-06
occ_75.0,7.0209692037283894e-06,7.0209692037283894e-06
occ_77.0,4.7578368298114944e-05,4.624827285205728e-06
