step,action,vars,v1,v2,v3
1,A,1.occ                2.occ                3.occ,     1 , .0006629        204    0.0197 , A 1.occ                2.occ                3.occ                                        
2,A,ma5aep,     2 ,  .000604        205    0.0201 , A ma5aep                                                                                 
3,A,OLF,     9 , .0003149        206    0.0214 , A OLF                                                                                    
4,A,EDU1,    13 , .0002171        207    0.0218 , A EDU1                                                                                   
5,A,currentagecube,    15 , .0001802        208    0.0220 , A currentagecube                                                                         
6,A,EDU3,    18 , .0001363        209    0.0223 , A EDU3                                                                                   
7,A,EDU2,    23 , .0000856        210    0.0225 , A EDU2                                                                                   
8,A,tenure,    46 , .0000101        211    0.0228 , A tenure                                                                                 
9,A,currentage,    50 , 6.94e-06        212    0.0228 , A currentage                                                                             
10,A,currentagesq,    63 , 2.07e-06        213    0.0228 , A currentagesq                                                                           
11,R,currentage,    64 , 1.89e-06        212    0.0228 , R currentage                                                                             
12,A,currentage,    71 , 9.84e-07        213    0.0228 , A currentage                                                                             
