step,action,vars,v1,v2,v3
1,A,1.twoind,     2 , .0214674          1    0.0007 , A 1.twoind                                                                               
2,A,2.twoind,    11 , .0092927          2    0.0035 , A 2.twoind                                                                               
3,A,14.twoind            29.twoind            30.twoind,    13 ,  .007715          5    0.0041 , A 14.twoind            29.twoind            30.twoind                                    
4,A,15.twoind,    15 , .0064051          6    0.0048 , A 15.twoind                                                                              
5,A,9.twoind             33.twoind,    16 , .0058361          8    0.0052 , A 9.twoind             33.twoind                                                         
6,A,3.twoind,    18 , .0048452          9    0.0059 , A 3.twoind                                                                               
7,A,25.twoind,    20 , .0040226         10    0.0063 , A 25.twoind                                                                              
8,A,6.twoind             12.twoind,    22 , .0033396         12    0.0067 , A 6.twoind             12.twoind                                                         
9,A,18.twoind,    23 , .0030429         13    0.0069 , A 18.twoind                                                                              
10,A,8.twoind,    24 , .0027726         14    0.0070 , A 8.twoind                                                                               
11,A,21.twoind,    25 , .0025263         15    0.0072 , A 21.twoind                                                                              
12,A,19.twoind            20.twoind,    26 , .0023019         17    0.0073 , A 19.twoind            20.twoind                                                         
13,A,5.twoind             13.twoind            24.twoind,    27 , .0020974         20    0.0074 , A 5.twoind             13.twoind            24.twoind                                    
14,A,22.twoind            28.twoind,    28 , .0019111         22    0.0075 , A 22.twoind            28.twoind                                                         
15,A,32.twoind,    32 , .0013172         23    0.0078 , A 32.twoind                                                                              
16,A,16.twoind,    33 , .0012002         24    0.0079 , A 16.twoind                                                                              
17,A,27.twoind,    34 , .0010936         25    0.0079 , A 27.twoind                                                                              
18,A,10.twoind,    36 , .0009079         26    0.0080 , A 10.twoind                                                                              
19,A,7.twoind,    37 , .0008273         27    0.0080 , A 7.twoind                                                                               
20,A,34.twoind,    39 , .0006868         28    0.0081 , A 34.twoind                                                                              
21,A,4.twoind,    42 , .0005195         29    0.0081 , A 4.twoind                                                                               
22,A,23.twoind,    44 , .0004313         30    0.0081 , A 23.twoind                                                                              
23,A,11.twoind,    49 , .0002709         31    0.0081 , A 11.twoind                                                                              
