step,action,vars,v1,v2,v3
1,A,1973.year            1974.year            1975.year,     1 , .0011128        127    0.0168 , A 1973.year            1974.year            1975.year                                    
2,A,ma5aep,     2 ,  .001014        128    0.0171 , A ma5aep                                                                                 
3,A,OLF,     9 , .0005287        129    0.0183 , A OLF                                                                                    
4,A,EDU1,    15 , .0003025        130    0.0189 , A EDU1                                                                                   
5,A,currentagecube,    16 , .0002757        131    0.0190 , A currentagecube                                                                         
6,A,EDU2,    20 ,   .00019        132    0.0193 , A EDU2                                                                                   
7,A,tenure,    40 , .0000296        133    0.0198 , A tenure                                                                                 
8,A,EDU3,    44 , .0000204        134    0.0198 , A EDU3                                                                                   
9,A,currentage,    51 , .0000106        135    0.0198 , A currentage                                                                             
10,A,currentagesq,    64 , 3.17e-06        135    0.0198 , A currentagesq                                                                           
11,R,currentage,    64 , 3.17e-06        135    0.0198 , R currentage                                                                             
12,A,currentage,    72 , 1.51e-06        136    0.0198 , A currentage                                                                             
