step,action,vars,v1,v2,v3
1,A,61.occ,     2 ,  .000036          1    0.0001 , A 61.occ                                                                                                
2,A,1.occ,     5 , .0000272          2    0.0003 , A 1.occ                                                                                                 
3,A,83.occ,     6 , .0000248          3    0.0004 , A 83.occ                                                                                                
4,A,2.occ,     7 , .0000226          4    0.0005 , A 2.occ                                                                                                 
5,A,18.occ                   36.occ,     8 , .0000206          6    0.0006 , A 18.occ                   36.occ                                                                       
6,A,11.occ                   13.occ,    10 , .0000171          8    0.0009 , A 11.occ                   13.occ                                                                       
7,A,9.occ                    50.occ,    11 , .0000156         10    0.0011 , A 9.occ                    50.occ                                                                       
8,A,39.occ                   73.occ,    12 , .0000142         12    0.0012 , A 39.occ                   73.occ                                                                       
9,A,21.occ                   84.occ                   93.occ,    13 , .0000129         17    0.0014 , A 21.occ                   84.occ                   93.occ                                              
10,A,20.occ                   44.occ,    14 , .0000118         19    0.0016 , A 20.occ                   44.occ                                                                       
11,A,53.occ                   64.occ                   71.occ,    15 , .0000107         23    0.0017 , A 53.occ                   64.occ                   71.occ                                              
12,A,12.occ                   14.occ                   42.occ,    16 , 9.78e-06         27    0.0019 , A 12.occ                   14.occ                   42.occ                                              
13,A,4.occ                    85.occ,    18 , 8.12e-06         29    0.0022 , A 4.occ                    85.occ                                                                       
14,A,3.occ                    15.occ                   54.occ,    19 , 7.40e-06         34    0.0023 , A 3.occ                    15.occ                   54.occ                                              
15,A,17.occ                   19.occ                   31.occ,    20 , 6.74e-06         38    0.0024 , A 17.occ                   19.occ                   31.occ                                              
16,A,32.occ                   35.occ                   55.occ,    21 , 6.14e-06         43    0.0025 , A 32.occ                   35.occ                   55.occ                                              
17,A,37.occ,    22 , 5.59e-06         44    0.0026 , A 37.occ                                                                                                
18,A,43.occ                   57.occ                   88.occ,    23 , 5.10e-06         48    0.0027 , A 43.occ                   57.occ                   88.occ                                              
19,A,6.occ                    16.occ,    24 , 4.64e-06         50    0.0028 , A 6.occ                    16.occ                                                                       
20,A,63.occ                   75.occ                   98.occ,    25 , 4.23e-06         53    0.0028 , A 63.occ                   75.occ                   98.occ                                              
21,A,30.occ,    26 , 3.86e-06         54    0.0029 , A 30.occ                                                                                                
22,A,38.occ                   79.occ                   86.occ,    27 , 3.51e-06         57    0.0029 , A 38.occ                   79.occ                   86.occ                                              
23,A,40.occ                   45.occ,    29 , 2.92e-06         59    0.0030 , A 40.occ                   45.occ                                                                       
24,A,5.occ                    7.occ                    72.occ,    30 , 2.66e-06         62    0.0030 , A 5.occ                    7.occ                    72.occ                                              
25,A,49.occ                   80.occ                   89.occ,    31 , 2.42e-06         67    0.0031 , A 49.occ                   80.occ                   89.occ                                              
26,A,74.occ,    33 , 2.01e-06         68    0.0031 , A 74.occ                                                                                                
27,A,62.occ,    34 , 1.83e-06         69    0.0031 , A 62.occ                                                                                                
28,A,8.occ,    35 , 1.67e-06         70    0.0031 , A 8.occ                                                                                                 
29,A,58.occ,    38 , 1.26e-06         71    0.0032 , A 58.occ                                                                                                
30,A,33.occ,    39 , 1.15e-06         72    0.0032 , A 33.occ                                                                                                
31,A,81.occ                   92.occ,    43 , 7.93e-07         74    0.0032 , A 81.occ                   92.occ                                                                       
32,A,82.occ                   87.occ,    49 , 4.54e-07         76    0.0032 , A 82.occ                   87.occ                                                                       
33,A,52.occ,    63 , 1.23e-07         77    0.0032 , A 52.occ                                                                                                
