step,action,vars,v1,v2,v3
1,A,1973.year              1974.year              1975.year,   * 1 , .0001297        123    0.0081 , A 1973.year              1974.year              1975.year                                     
2,A,OLF,     2 , .0001181        124    0.0081 , A OLF                                                                                         
3,A,EDU2                   veteran,     3 , .0001076        126    0.0082 , A EDU2                   veteran                                                              
4,A,tenure,     8 , .0000676        127    0.0083 , A tenure                                                                                      
5,A,EDU1,    10 , .0000561        128    0.0083 , A EDU1                                                                                        
6,A,currentagecube,    16 , .0000321        129    0.0084 , A currentagecube                                                                              
7,A,currentage,    18 , .0000267        130    0.0085 , A currentage                                                                                  
8,A,EDU3,    22 , .0000184        131    0.0087 , A EDU3                                                                                        
9,A,ma5aep,    42 , 2.86e-06        132    0.0090 , A ma5aep                                                                                      
10,A,currentagesq,    54 , 9.36e-07        133    0.0090 , A currentagesq                                                                                
11,R,currentage,    56 , 7.77e-07        132    0.0090 , R currentage                                                                                  
12,A,currentage,    64 , 3.69e-07        133    0.0090 , A currentage                                                                                  
