step,action,vars,v1,v2,v3
1,A,57.occ,     2 , .0000552          1    0.0000 , A 57.occ                                                                                                
2,A,1.occ,     3 , .0000503          2    0.0001 , A 1.occ                                                                                                 
3,A,44.occ,     4 , .0000458          3    0.0001 , A 44.occ                                                                                                
4,A,36.occ,     6 , .0000381          4    0.0002 , A 36.occ                                                                                                
5,A,50.occ,     7 , .0000347          5    0.0003 , A 50.occ                                                                                                
6,A,12.occ                   20.occ,     8 , .0000316          7    0.0003 , A 12.occ                   20.occ                                                                       
7,A,2.occ                    4.occ,     9 , .0000288          9    0.0004 , A 2.occ                    4.occ                                                                        
8,A,14.occ                   34.occ                   101.occ,    10 , .0000262         12    0.0004 , A 14.occ                   34.occ                   101.occ                                             
9,A,35.occ                   83.occ,    11 , .0000239         14    0.0005 , A 35.occ                   83.occ                                                                       
10,A,5.occ,    12 , .0000218         15    0.0006 , A 5.occ                                                                                                 
11,A,6.occ                    45.occ                   71.occ,    13 , .0000198         19    0.0006 , A 6.occ                    45.occ                   71.occ                                              
12,A,19.occ                   61.occ                   62.occ,    14 , .0000181         23    0.0007 , A 19.occ                   61.occ                   62.occ                                              
13,A,21.occ                   42.occ                   85.occ,    15 , .0000165         26    0.0008 , A 21.occ                   42.occ                   85.occ                                              
14,A,8.occ                    33.occ                   43.occ,    16 ,  .000015         32    0.0008 , A 8.occ                    33.occ                   43.occ                                              
15,A,15.occ                   32.occ                   54.occ,    17 , .0000137         40    0.0009 , A 15.occ                   32.occ                   54.occ                                              
16,A,79.occ,    18 , .0000125         41    0.0009 , A 79.occ                                                                                                
17,A,7.occ                    55.occ,    20 , .0000103         43    0.0010 , A 7.occ                    55.occ                                                                       
18,A,17.occ                   40.occ                   77.occ,    21 , 9.43e-06         47    0.0011 , A 17.occ                   40.occ                   77.occ                                              
19,A,64.occ                   98.occ,    22 , 8.59e-06         49    0.0011 , A 64.occ                   98.occ                                                                       
20,A,18.occ                   53.occ                   58.occ,    23 , 7.83e-06         52    0.0011 , A 18.occ                   53.occ                   58.occ                                              
21,A,88.occ,    24 , 7.13e-06         53    0.0012 , A 88.occ                                                                                                
22,A,38.occ                   70.occ,    25 , 6.50e-06         55    0.0012 , A 38.occ                   70.occ                                                                       
23,A,87.occ,    26 , 5.92e-06         56    0.0012 , A 87.occ                                                                                                
24,A,30.occ,    27 , 5.39e-06         57    0.0012 , A 30.occ                                                                                                
25,A,39.occ                   60.occ                   75.occ,    28 , 4.92e-06         60    0.0012 , A 39.occ                   60.occ                   75.occ                                              
26,A,16.occ,    29 , 4.48e-06         61    0.0012 , A 16.occ                                                                                                
27,A,13.occ                   73.occ                   82.occ,    30 , 4.08e-06         64    0.0012 , A 13.occ                   73.occ                   82.occ                                              
28,A,94.occ,    31 , 3.72e-06         65    0.0013 , A 94.occ                                                                                                
29,A,31.occ,    32 , 3.39e-06         66    0.0013 , A 31.occ                                                                                                
30,A,72.occ,    33 , 3.09e-06         67    0.0013 , A 72.occ                                                                                                
31,A,9.occ                    86.occ,    34 , 2.81e-06         69    0.0013 , A 9.occ                    86.occ                                                                       
32,A,3.occ                    89.occ,    37 , 2.13e-06         71    0.0013 , A 3.occ                    89.occ                                                                       
33,A,37.occ,    38 , 1.94e-06         72    0.0013 , A 37.occ                                                                                                
34,A,63.occ,    44 , 1.11e-06         73    0.0013 , A 63.occ                                                                                                
35,A,95.occ,    46 , 9.21e-07         74    0.0013 , A 95.occ                                                                                                
36,A,11.occ,    47 , 8.39e-07         75    0.0013 , A 11.occ                                                                                                
37,A,52.occ,    51 , 5.78e-07         76    0.0013 , A 52.occ                                                                                                
38,A,99.occ,    63 , 1.89e-07         77    0.0013 , A 99.occ                                                                                                
