Feature,Industry Code,Average SHAP Value
twoind_0.0,0.0,0.0034574753126525
twoind_30.0,30.0,0.0014831819299228
twoind_1.0,1.0,0.0009940322005418
twoind_15.0,15.0,0.000839194585063
twoind_33.0,33.0,0.0007118912539971
twoind_21.0,21.0,0.0006487487631061
twoind_18.0,18.0,0.0006149290357877
twoind_14.0,14.0,0.0004627382542832
twoind_29.0,29.0,0.0004454953571934
twoind_25.0,25.0,0.0003692798688173
twoind_9.0,9.0,0.0002774637279794
twoind_27.0,27.0,0.00020897403317
twoind_12.0,12.0,0.0001694684602709
twoind_23.0,23.0,0.0001598522335215
twoind_6.0,6.0,0.0001558157607452
twoind_28.0,28.0,0.0001272006105841
twoind_3.0,3.0,0.000103851499609
twoind_8.0,8.0,9.06212861793999e-05
twoind_5.0,5.0,8.83611552938964e-05
twoind_16.0,16.0,7.398165160745485e-05
twoind_11.0,11.0,6.443816291786882e-05
twoind_20.0,20.0,6.409602563924857e-05
twoind_22.0,22.0,5.5472521321680866e-05
twoind_19.0,19.0,5.5033536801784575e-05
twoind_13.0,13.0,5.41290745535111e-05
twoind_4.0,4.0,5.229165383254573e-05
twoind_24.0,24.0,3.4600819213184696e-05
twoind_31.0,31.0,3.249354282263951e-05
twoind_2.0,2.0,2.498037039292511e-05
twoind_7.0,7.0,4.876764478619338e-06
twoind_10.0,10.0,0.0
twoind_32.0,32.0,0.0
twoind_34.0,34.0,0.0
