Feature,Industry Code,Average SHAP Value
twoind_0.0,0.0,0.0046416212062851
twoind_30.0,30.0,0.00193380378607
twoind_33.0,33.0,0.0008186618063749
twoind_15.0,15.0,0.0005962071725766
twoind_1.0,1.0,0.000477003135377
twoind_3.0,3.0,0.0003820643962342
twoind_18.0,18.0,0.0003221985281262
twoind_14.0,14.0,0.0003077419317809
twoind_27.0,27.0,0.0003015316311055
twoind_21.0,21.0,0.0002490358165878
twoind_5.0,5.0,0.0002489154995871
twoind_20.0,20.0,0.000235234762011
twoind_11.0,11.0,0.0001802210331386
twoind_10.0,10.0,0.0001535893963678
twoind_28.0,28.0,0.0001482122863656
twoind_13.0,13.0,0.0001459246316659
twoind_29.0,29.0,0.0001438355936673
twoind_12.0,12.0,0.0001117082626756
twoind_24.0,24.0,8.501011473042977e-05
twoind_31.0,31.0,6.820677070739714e-05
twoind_9.0,9.0,6.026741834277011e-05
twoind_25.0,25.0,5.287839274106398e-05
twoind_23.0,23.0,4.6148273748505586e-05
twoind_6.0,6.0,2.771848249328884e-05
twoind_4.0,4.0,1.6208565524811467e-05
twoind_7.0,7.0,7.374167464586016e-06
twoind_34.0,34.0,4.224260284690876e-06
twoind_19.0,19.0,9.14328219828772e-07
twoind_22.0,22.0,0.0
twoind_8.0,8.0,0.0
twoind_32.0,32.0,0.0
twoind_2.0,2.0,0.0
twoind_16.0,16.0,0.0
