Feature,Industry Code,Average SHAP Value
twoind_0.0,0.0,0.000727216728107
twoind_30.0,30.0,0.0002571329031042
twoind_33.0,33.0,0.0001836107319493
twoind_18.0,18.0,0.0001548593794495
twoind_14.0,14.0,0.0001177530698678
twoind_15.0,15.0,0.0001152185085202
twoind_1.0,1.0,0.0001015691858859
twoind_23.0,23.0,8.490606351500303e-05
twoind_22.0,22.0,8.357793026667584e-05
twoind_9.0,9.0,6.712848566411469e-05
twoind_27.0,27.0,6.683245415264937e-05
twoind_12.0,12.0,4.759795658108728e-05
twoind_16.0,16.0,4.5796884226272205e-05
twoind_4.0,4.0,3.157279430826171e-05
twoind_3.0,3.0,2.9062856013551323e-05
twoind_31.0,31.0,2.700124462661208e-05
twoind_10.0,10.0,2.396539069460722e-05
twoind_25.0,25.0,1.0058906388437849e-05
twoind_7.0,7.0,7.0419450140460865e-06
twoind_5.0,5.0,5.9637221599173026e-06
twoind_2.0,2.0,9.955230016690518e-07
twoind_20.0,20.0,1.6093356558002144e-07
twoind_13.0,13.0,0.0
twoind_28.0,28.0,0.0
twoind_32.0,32.0,0.0
twoind_29.0,29.0,0.0
twoind_24.0,24.0,0.0
twoind_11.0,11.0,0.0
twoind_6.0,6.0,0.0
twoind_21.0,21.0,0.0
twoind_19.0,19.0,0.0
twoind_8.0,8.0,0.0
twoind_34.0,34.0,0.0
