Feature,Industry Code,Average SHAP Value
twoind_0.0,0.0,0.0007860112260049
twoind_33.0,33.0,0.0002717001662104
twoind_3.0,3.0,0.0001664060582447
twoind_28.0,28.0,0.0001562793354229
twoind_11.0,11.0,0.0001108212634838
twoind_22.0,22.0,0.000105131193078
twoind_30.0,30.0,8.024840508935494e-05
twoind_19.0,19.0,5.367185647607109e-05
twoind_12.0,12.0,5.1381286346989646e-05
twoind_9.0,9.0,4.756331271092565e-05
twoind_23.0,23.0,4.374351663381605e-05
twoind_15.0,15.0,4.089150960331139e-05
twoind_29.0,29.0,3.209718774839514e-05
twoind_18.0,18.0,3.052503618298116e-05
twoind_6.0,6.0,2.9954214400840995e-05
twoind_13.0,13.0,2.8417497996297292e-05
twoind_21.0,21.0,2.7583368758598137e-05
twoind_31.0,31.0,2.4351926044307088e-05
twoind_10.0,10.0,1.147240025619131e-05
twoind_27.0,27.0,1.1330665362820458e-05
twoind_25.0,25.0,1.0265436730842546e-05
twoind_34.0,34.0,8.768665849288066e-06
twoind_20.0,20.0,3.6727618950079928e-06
twoind_32.0,32.0,3.0657349608100383e-06
twoind_24.0,24.0,0.0
twoind_1.0,1.0,0.0
twoind_14.0,14.0,0.0
twoind_8.0,8.0,0.0
twoind_7.0,7.0,0.0
twoind_5.0,5.0,0.0
twoind_4.0,4.0,0.0
twoind_2.0,2.0,0.0
twoind_16.0,16.0,0.0
