Feature,Occupation Code,Average SHAP Value
occ_0.0,0.0,0.0019653748099635
occ_61.0,61.0,0.0015425356417937
occ_44.0,44.0,0.0009690599414549
occ_84.0,84.0,0.0004366575072952
occ_21.0,21.0,0.00043167392477
occ_8.0,8.0,0.0004281213348846
occ_55.0,55.0,0.0004200675691132
occ_70.0,70.0,0.0003845197882064
occ_58.0,58.0,0.0003692955800203
occ_98.0,98.0,0.0003625201365698
occ_39.0,39.0,0.000344665758944
occ_13.0,13.0,0.0003106024872807
occ_50.0,50.0,0.000264235263253
occ_34.0,34.0,0.0002389446875274
occ_2.0,2.0,0.0002368046720823
occ_19.0,19.0,0.0002202812629759
occ_85.0,85.0,0.000187959327408
occ_40.0,40.0,0.000181989002644
occ_97.0,97.0,0.0001606288558774
occ_53.0,53.0,0.0001586871263801
occ_95.0,95.0,0.0001367767528893
occ_87.0,87.0,0.000126229028765
occ_3.0,3.0,0.0001085745787458
occ_79.0,79.0,0.0001082846245627
occ_101.0,101.0,0.0001074846090848
occ_37.0,37.0,9.884295313498168e-05
occ_60.0,60.0,9.406648942622928e-05
occ_6.0,6.0,8.169312823236352e-05
occ_38.0,38.0,7.027957855360728e-05
occ_17.0,17.0,6.914987423518209e-05
occ_99.0,99.0,6.67029996307722e-05
occ_45.0,45.0,5.95081884439145e-05
occ_11.0,11.0,5.397635071470899e-05
occ_32.0,32.0,4.339157065495289e-05
occ_73.0,73.0,4.135487934275099e-05
occ_30.0,30.0,4.0795556894258326e-05
occ_64.0,64.0,3.963802842464195e-05
occ_83.0,83.0,3.613584257168213e-05
occ_4.0,4.0,3.486054572469778e-05
occ_14.0,14.0,3.414241953963426e-05
occ_77.0,77.0,2.6763567249624488e-05
occ_57.0,57.0,2.514671992878937e-05
occ_93.0,93.0,2.2399276029433655e-05
occ_92.0,92.0,1.865351688120529e-05
occ_20.0,20.0,1.8120210960071355e-05
occ_96.0,96.0,1.7504180196367546e-05
occ_1.0,1.0,1.5872537067467318e-05
occ_75.0,75.0,1.306568133001287e-05
occ_81.0,81.0,1.0618568210681529e-05
occ_5.0,5.0,1.019486026122576e-05
occ_49.0,49.0,7.734037974727454e-06
occ_89.0,89.0,6.634852560194537e-06
occ_63.0,63.0,5.966702920379241e-06
occ_54.0,54.0,4.090710550326477e-06
occ_56.0,56.0,3.106153991042906e-06
occ_71.0,71.0,1.4224991691264237e-06
occ_35.0,35.0,0.0
occ_42.0,42.0,0.0
occ_36.0,36.0,0.0
occ_18.0,18.0,0.0
occ_16.0,16.0,0.0
occ_33.0,33.0,0.0
occ_31.0,31.0,0.0
occ_88.0,88.0,0.0
occ_94.0,94.0,0.0
occ_59.0,59.0,0.0
occ_86.0,86.0,0.0
occ_43.0,43.0,0.0
occ_15.0,15.0,0.0
occ_80.0,80.0,0.0
occ_52.0,52.0,0.0
occ_74.0,74.0,0.0
occ_72.0,72.0,0.0
occ_7.0,7.0,0.0
occ_12.0,12.0,0.0
occ_62.0,62.0,0.0
occ_9.0,9.0,0.0
occ_82.0,82.0,0.0
