Feature,Occupation Code,Average SHAP Value
occ_0.0,0.0,0.0021150246449204
occ_61.0,61.0,0.0011026000198255
occ_99.0,99.0,0.0006937562595517
occ_21.0,21.0,0.0006438383335861
occ_8.0,8.0,0.0005384156202465
occ_95.0,95.0,0.0004842194145792
occ_2.0,2.0,0.0003183212439536
occ_70.0,70.0,0.0003177135628206
occ_87.0,87.0,0.0002711428488642
occ_39.0,39.0,0.0002277673706237
occ_84.0,84.0,0.0002191073354851
occ_55.0,55.0,0.00017842400646
occ_19.0,19.0,0.0001685382421892
occ_44.0,44.0,0.0001521467507807
occ_40.0,40.0,0.000150385799015
occ_59.0,59.0,0.0001031804412308
occ_30.0,30.0,9.395015662126082e-05
occ_20.0,20.0,7.881867614793009e-05
occ_37.0,37.0,7.72177911252231e-05
occ_11.0,11.0,7.353536691290409e-05
occ_93.0,93.0,7.19380496695411e-05
occ_3.0,3.0,7.112617518141557e-05
occ_45.0,45.0,6.829786314675337e-05
occ_73.0,73.0,5.8399100962088104e-05
occ_77.0,77.0,4.034022881859035e-05
occ_53.0,53.0,3.7947857672123726e-05
occ_33.0,33.0,3.520558886142107e-05
occ_17.0,17.0,3.4936235031235995e-05
occ_34.0,34.0,3.4654218389869696e-05
occ_57.0,57.0,3.415313876423829e-05
occ_4.0,4.0,3.0337036283426256e-05
occ_43.0,43.0,2.8018148667475396e-05
occ_7.0,7.0,2.623796619923213e-05
occ_58.0,58.0,1.9162557810620567e-05
occ_12.0,12.0,1.7058825315164343e-05
occ_13.0,13.0,1.6517652029525513e-05
occ_14.0,14.0,1.6429692040630355e-05
occ_98.0,98.0,1.6177560078429406e-05
occ_83.0,83.0,1.5799236742523194e-05
occ_85.0,85.0,1.4350914763141429e-05
occ_56.0,56.0,1.4321721697557796e-05
occ_6.0,6.0,1.2447398641592709e-05
occ_75.0,75.0,1.0646870185451077e-05
occ_38.0,38.0,1.0027762894700248e-05
occ_32.0,32.0,9.481795653338236e-06
occ_97.0,97.0,8.808102984488973e-06
occ_64.0,64.0,8.771741269571198e-06
occ_54.0,54.0,8.214802458879711e-06
occ_89.0,89.0,6.409416757039614e-06
occ_18.0,18.0,6.323927826163456e-06
occ_42.0,42.0,4.934123491749374e-06
occ_49.0,49.0,3.1935135687128186e-06
occ_9.0,9.0,0.0
occ_86.0,86.0,0.0
occ_96.0,96.0,0.0
occ_88.0,88.0,0.0
occ_92.0,92.0,0.0
occ_94.0,94.0,0.0
occ_5.0,5.0,0.0
occ_82.0,82.0,0.0
occ_35.0,35.0,0.0
occ_71.0,71.0,0.0
occ_81.0,81.0,0.0
occ_80.0,80.0,0.0
occ_79.0,79.0,0.0
occ_74.0,74.0,0.0
occ_72.0,72.0,0.0
occ_36.0,36.0,0.0
occ_63.0,63.0,0.0
occ_62.0,62.0,0.0
occ_15.0,15.0,0.0
occ_60.0,60.0,0.0
occ_16.0,16.0,0.0
occ_1.0,1.0,0.0
occ_52.0,52.0,0.0
occ_50.0,50.0,0.0
occ_31.0,31.0,0.0
occ_101.0,101.0,0.0
