Feature,Occupation Code,Average SHAP Value
occ_21.0,21.0,0.0005453675314195
occ_61.0,61.0,0.000254759925541
occ_13.0,13.0,0.0002352078627771
occ_97.0,97.0,0.000160117414964
occ_44.0,44.0,0.0001586286030108
occ_99.0,99.0,0.0001569147215358
occ_45.0,45.0,0.00011096824245
occ_6.0,6.0,0.0001005547844823
occ_70.0,70.0,8.320570311233e-05
occ_20.0,20.0,8.278302553779835e-05
occ_58.0,58.0,7.16391322409533e-05
occ_85.0,85.0,6.17730731603527e-05
occ_83.0,83.0,6.161906561297479e-05
occ_59.0,59.0,5.563797997967196e-05
occ_98.0,98.0,5.448602450749084e-05
occ_19.0,19.0,4.177084488779592e-05
occ_7.0,7.0,3.741923000612142e-05
occ_93.0,93.0,3.4434673943319516e-05
occ_73.0,73.0,3.297168881204381e-05
occ_14.0,14.0,2.9286313144522967e-05
occ_4.0,4.0,2.4417739393314e-05
occ_12.0,12.0,2.338979260378179e-05
occ_50.0,50.0,1.972439006388302e-05
occ_3.0,3.0,1.814643348752669e-05
occ_15.0,15.0,1.7455652333812962e-05
occ_60.0,60.0,1.6785215906820044e-05
occ_1.0,1.0,1.6241008991678854e-05
occ_81.0,81.0,1.49929213224116e-05
occ_17.0,17.0,1.2607027795549856e-05
occ_8.0,8.0,1.2604520853989557e-05
occ_30.0,30.0,1.1248268391972776e-05
occ_87.0,87.0,8.698922605478305e-06
occ_53.0,53.0,8.601591863717127e-06
occ_71.0,71.0,6.0015437836331785e-06
occ_72.0,72.0,5.939156340060232e-06
occ_2.0,2.0,5.678520017814073e-06
occ_18.0,18.0,5.647249055308154e-06
occ_16.0,16.0,2.676621321006738e-06
occ_9.0,9.0,1.2630706301942162e-06
occ_95.0,95.0,0.0
occ_74.0,74.0,0.0
occ_75.0,75.0,0.0
occ_96.0,96.0,0.0
occ_84.0,84.0,0.0
occ_86.0,86.0,0.0
occ_79.0,79.0,0.0
occ_80.0,80.0,0.0
occ_94.0,94.0,0.0
occ_82.0,82.0,0.0
occ_92.0,92.0,0.0
occ_89.0,89.0,0.0
occ_88.0,88.0,0.0
occ_77.0,77.0,0.0
occ_0.0,0.0,0.0
occ_64.0,64.0,0.0
occ_63.0,63.0,0.0
occ_5.0,5.0,0.0
occ_11.0,11.0,0.0
occ_31.0,31.0,0.0
occ_32.0,32.0,0.0
occ_33.0,33.0,0.0
occ_34.0,34.0,0.0
occ_35.0,35.0,0.0
occ_36.0,36.0,0.0
occ_37.0,37.0,0.0
occ_38.0,38.0,0.0
occ_39.0,39.0,0.0
occ_40.0,40.0,0.0
occ_42.0,42.0,0.0
occ_43.0,43.0,0.0
occ_49.0,49.0,0.0
occ_52.0,52.0,0.0
occ_54.0,54.0,0.0
occ_55.0,55.0,0.0
occ_56.0,56.0,0.0
occ_57.0,57.0,0.0
occ_62.0,62.0,0.0
occ_101.0,101.0,0.0
