Feature,Occupation Code,Average SHAP Value
occ_21.0,21.0,0.0004907529261966
occ_0.0,0.0,0.0004218813562023
occ_61.0,61.0,0.0002375566643462
occ_98.0,98.0,0.0001902657097927
occ_44.0,44.0,0.0001449064594937
occ_83.0,83.0,0.0001253697941918
occ_7.0,7.0,9.798723692733198e-05
occ_85.0,85.0,9.636696248754972e-05
occ_58.0,58.0,9.112868841499512e-05
occ_87.0,87.0,7.329725805666213e-05
occ_93.0,93.0,5.915979531908696e-05
occ_12.0,12.0,5.704657289377039e-05
occ_20.0,20.0,5.587215073977071e-05
occ_2.0,2.0,5.166047750487904e-05
occ_53.0,53.0,5.148229620081344e-05
occ_6.0,6.0,4.839563075466131e-05
occ_13.0,13.0,4.483423697231069e-05
occ_37.0,37.0,4.2412758099366424e-05
occ_55.0,55.0,4.145933057948208e-05
occ_99.0,99.0,3.601181667175613e-05
occ_11.0,11.0,3.129424785752952e-05
occ_95.0,95.0,2.153307886429227e-05
occ_84.0,84.0,1.557320018067717e-05
occ_8.0,8.0,1.2004493843992876e-05
occ_56.0,56.0,9.68473676317438e-06
occ_50.0,50.0,8.905712726411801e-06
occ_60.0,60.0,6.7200601346817275e-06
occ_79.0,79.0,6.495520735842898e-06
occ_64.0,64.0,6.252025979054777e-06
occ_34.0,34.0,5.389688512373448e-06
occ_15.0,15.0,4.786602764391295e-06
occ_16.0,16.0,2.129900647518939e-07
occ_92.0,92.0,8.789020806354559e-08
occ_57.0,57.0,4.591292027298025e-08
occ_88.0,88.0,0.0
occ_32.0,32.0,0.0
occ_80.0,80.0,0.0
occ_81.0,81.0,0.0
occ_82.0,82.0,0.0
occ_31.0,31.0,0.0
occ_30.0,30.0,0.0
occ_14.0,14.0,0.0
occ_86.0,86.0,0.0
occ_5.0,5.0,0.0
occ_42.0,42.0,0.0
occ_75.0,75.0,0.0
occ_89.0,89.0,0.0
occ_4.0,4.0,0.0
occ_94.0,94.0,0.0
occ_19.0,19.0,0.0
occ_96.0,96.0,0.0
occ_97.0,97.0,0.0
occ_3.0,3.0,0.0
occ_18.0,18.0,0.0
occ_77.0,77.0,0.0
occ_74.0,74.0,0.0
occ_43.0,43.0,0.0
occ_73.0,73.0,0.0
occ_40.0,40.0,0.0
occ_45.0,45.0,0.0
occ_49.0,49.0,0.0
occ_39.0,39.0,0.0
occ_52.0,52.0,0.0
occ_1.0,1.0,0.0
occ_54.0,54.0,0.0
occ_38.0,38.0,0.0
occ_36.0,36.0,0.0
occ_35.0,35.0,0.0
occ_59.0,59.0,0.0
occ_17.0,17.0,0.0
occ_9.0,9.0,0.0
occ_62.0,62.0,0.0
occ_63.0,63.0,0.0
occ_33.0,33.0,0.0
occ_70.0,70.0,0.0
occ_71.0,71.0,0.0
occ_72.0,72.0,0.0
occ_101.0,101.0,0.0
