Feature,Average SHAP Value,Abs Mean SHAP (Net directional)
PrRecess,0.0,0.0
OLF,0.0008511284829877821,0.00012122506373236336
tenure,0.0010216272590993255,0.00010202854372467655
race_1.0,0.0,0.0
race_2.0,0.0020431564043845783,0.00016668845978828854
race_3.0,0.0,0.0
race_4.0,3.498079432276215e-05,3.498079432276215e-05
race_5.0,0.0003853615111350306,5.116319844532492e-05
race_7.0,3.7538218965432956e-06,3.7538218965432956e-06
occ_0.0,0.0019843476301810757,0.00025512376609265015
occ_1.0,5.8428743741959e-05,4.657958357004609e-05
occ_2.0,0.00033441111106440936,5.241675936969309e-05
occ_3.0,0.00011526405557498617,8.017060106765896e-06
occ_4.0,0.000143986520233926,8.516754512943938e-05
occ_5.0,4.27127349180945e-06,4.27127349180945e-06
occ_6.0,5.5215034093618186e-05,4.279816470576096e-06
occ_7.0,0.0,0.0
occ_8.0,0.0005522975373675775,8.72942262083933e-05
occ_9.0,0.0,0.0
occ_11.0,3.927776280063645e-05,3.927776280063645e-05
occ_12.0,3.0620940079970955e-05,2.3913010328568757e-06
occ_13.0,0.0003106052852421261,0.00010552091486372859
occ_14.0,0.0,0.0
occ_15.0,0.0,0.0
occ_16.0,0.0,0.0
occ_17.0,4.752647437719399e-05,4.752647437719399e-05
occ_18.0,1.4342588387234745e-05,1.4342588387234745e-05
occ_19.0,5.0461302814635675e-05,2.9756455704372167e-06
occ_20.0,3.639670457839149e-05,3.639670457839149e-05
occ_21.0,0.0010753910673347768,0.00010038869302885895
occ_30.0,1.6168909638431008e-05,1.6168909638431008e-05
occ_31.0,0.0,0.0
occ_32.0,4.490415955673447e-06,4.490415955673447e-06
occ_33.0,9.413531724348602e-06,9.413531724348602e-06
occ_34.0,3.476591926273653e-05,3.476591926273653e-05
occ_35.0,0.0,0.0
occ_36.0,0.0,0.0
occ_37.0,0.0002629504772256253,4.164552143791354e-05
occ_38.0,0.0,0.0
occ_39.0,0.00015878100708834606,0.00015878100708834606
occ_40.0,0.0002239354142706123,8.340426610724011e-05
occ_42.0,0.0,0.0
occ_43.0,4.991740218794494e-07,4.991740218794494e-07
occ_44.0,0.0003886621611124039,5.550973298461115e-05
occ_45.0,1.4007198468594376e-05,2.3924237222470986e-06
occ_49.0,0.0,0.0
occ_50.0,9.133229247613664e-05,3.2432212770543416e-05
occ_52.0,0.0,0.0
occ_53.0,0.0002185283289987695,9.270371036533226e-07
occ_54.0,6.286930205764741e-06,6.286930205764741e-06
occ_55.0,0.00013621464264189733,4.142994255971304e-05
occ_56.0,0.0,0.0
occ_57.0,2.8162756754815302e-05,2.8162756754815302e-05
occ_58.0,5.4656850542367703e-05,2.4501346794854482e-05
occ_59.0,0.0,0.0
occ_60.0,2.5226388886865905e-05,1.5727526897354855e-05
occ_61.0,0.0006243650326974221,0.0006243650326974221
occ_62.0,0.0,0.0
occ_63.0,4.066934875727835e-07,4.066934875727835e-07
occ_64.0,5.732806503160355e-05,5.732806503160355e-05
occ_70.0,0.00023177068472741606,9.951102763826935e-05
occ_71.0,5.46110709644996e-06,5.46110709644996e-06
occ_72.0,0.0,0.0
occ_73.0,3.5089885516204704e-05,3.5089885516204704e-05
occ_74.0,0.0,0.0
occ_75.0,8.064974895207794e-06,8.064974895207794e-06
occ_77.0,6.20263103739873e-05,3.6736120799259805e-05
occ_79.0,1.4833901219627837e-05,1.4833901219627837e-05
occ_80.0,0.0,0.0
occ_81.0,3.264001442153045e-05,2.2198379403286217e-05
occ_82.0,0.0,0.0
occ_83.0,4.727218707391516e-05,4.10776801260995e-06
occ_84.0,0.00021877723213747406,9.965172384345697e-05
occ_85.0,8.217959157471752e-05,9.7578866068832e-06
occ_86.0,0.0,0.0
occ_87.0,0.0,0.0
occ_88.0,0.0,0.0
occ_89.0,7.840727366719915e-07,7.840727366719915e-07
occ_92.0,2.1406069992539726e-05,2.1406069992539726e-05
occ_93.0,1.0229321563497645e-05,1.0229321563497645e-05
occ_94.0,0.0,0.0
occ_95.0,6.5406429562956e-05,1.5619907862985442e-05
occ_96.0,3.2767392908336176e-05,3.2767392908336176e-05
occ_97.0,0.0004164112583722416,0.00021601521875108857
occ_98.0,9.44909331331586e-05,2.3673455131639144e-06
occ_99.0,2.7028880718391262e-05,1.5339629318755286e-06
occ_101.0,8.831285803779062e-05,8.831285803779062e-05
year_1972.0,0.0005436647358177275,0.0001574813110566103
year_1973.0,0.000655371504014815,0.00010521433584279474
year_1974.0,0.0003522177842160348,0.0001371559944817174
year_1975.0,0.00026895813204208486,0.00011219255784016803
year_1976.0,0.0002633887955661334,3.1064377097541554e-05
year_1977.0,0.0002435612833345862,1.7234472852518704e-05
year_1978.0,0.00015023223203025109,2.3437791623622444e-05
year_1979.0,0.00022195935433346525,8.050217332268944e-06
year_1980.0,0.0002125626337711439,2.8650771126551626e-05
year_1981.0,8.400261925577069e-05,1.4772581049491045e-06
year_1982.0,0.0,0.0
year_1983.0,0.0,0.0
year_1984.0,0.00015644669576901757,5.695526476201552e-07
year_1985.0,1.0661387015971066e-05,3.5877013009344286e-06
year_1986.0,0.00012197882727956819,3.167877131423813e-06
year_1987.0,1.8510547997379663e-05,4.520326087555752e-06
year_1988.0,5.1659157738882246e-05,1.2852084416356033e-05
year_1989.0,0.00026746710694747114,8.632689391316792e-06
year_1990.0,0.00014103771349315589,3.330272223310434e-05
year_1991.0,0.000908807665094092,4.4477780201440205e-06
year_1992.0,0.000665946104374197,6.560642083008213e-07
year_1993.0,0.00024991971943191875,0.00010447000166484446
year_1994.0,0.00038204856519183296,4.198353032772928e-05
year_1995.0,0.0001784279631199136,5.771928073700554e-05
year_1997.0,0.0006164065819131857,0.00011076073211167786
year_1999.0,0.0002539989703019134,0.00013145414577668896
year_2001.0,0.0010714874805575457,0.00013687458894963924
year_2003.0,0.001023933065071078,0.00010437924478116669
year_2005.0,0.0005711980079853613,3.684133849213438e-05
year_2007.0,0.000443130923968595,0.00016487554412547957
year_2009.0,0.00024864798532336024,0.00024864798532336024
year_2011.0,0.0,0.0
year_2013.0,0.0,0.0
year_2015.0,0.00015179929410394903,3.528305329189243e-05
year_2017.0,0.0002644128040526159,1.573174837456377e-05
year_2019.0,2.0187319084405177e-05,2.593518053483547e-06
censdiv_0.0,6.119470277552721e-07,6.119470277552721e-07
censdiv_1.0,0.00029165461327923005,3.9671054899837165e-06
censdiv_2.0,0.0008246542493599427,0.00013339426118492566
censdiv_3.0,0.0006340952859237751,4.824406303598569e-06
censdiv_4.0,0.0002827332528273102,6.580632903505692e-05
censdiv_5.0,0.0008708940936802356,0.00015275320590925213
censdiv_6.0,0.0006847111237237449,0.00024923929425104535
censdiv_7.0,0.0003602169352391269,1.6203543066268462e-05
censdiv_8.0,4.5031223651329874e-05,1.5307851347779116e-06
censdiv_9.0,0.000646189403187562,8.603683308428765e-05
cohort_10.0,0.00026965769975137986,9.661113609713808e-06
cohort_20.0,0.00023881549529739158,4.493134860173891e-05
cohort_30.0,0.00045310178012844624,9.092734373616581e-05
cohort_40.0,0.0002586221553121208,2.0576785918114856e-05
twoind_0.0,0.004388096511021451,0.0004729353816139256
twoind_1.0,0.0006099116413111694,0.000301076881120558
twoind_2.0,2.0787035672650925e-05,2.0787035672650925e-05
twoind_3.0,3.8161432184248874e-05,1.577021341850481e-05
twoind_4.0,4.462368996694991e-05,4.462368996694991e-05
twoind_5.0,0.0002038605238645198,7.447407929071358e-05
twoind_6.0,4.83563280286192e-05,4.83563280286192e-05
twoind_7.0,0.0,0.0
twoind_8.0,5.210148034709168e-05,5.210148034709168e-05
twoind_9.0,0.00021657061874424296,2.721940990218691e-05
twoind_10.0,4.7147275163758946e-05,2.2343988263800814e-05
twoind_11.0,9.796573737321911e-05,1.4355065758496303e-06
twoind_12.0,4.63226785766288e-06,4.63226785766288e-06
twoind_13.0,5.5878398017199415e-05,2.588835882250606e-06
twoind_14.0,0.0006541077500326738,6.906105634130077e-05
twoind_15.0,0.0010039635894267351,8.439772890535006e-05
