Feature,Average SHAP Value,Abs Mean SHAP (Net directional)
OLF,0.0012525208474151,0.00047710958880807963
tenure,0.002339718661368053,4.811175915230329e-05
race_1.0,0.0,0.0
race_2.0,0.0033973280553827863,1.4982273923000144e-05
race_3.0,3.021393854236135e-05,1.1303726685734055e-05
race_4.0,0.0,0.0
race_5.0,0.00011071731521273852,3.475062404075749e-05
race_7.0,4.114892225752303e-05,4.114892225752303e-05
occ_0.0,0.0021150246449204726,0.0009115354392564302
occ_1.0,0.0,0.0
occ_2.0,0.0003183212439536363,1.7557635616608095e-05
occ_3.0,7.112617518141557e-05,7.112617518141557e-05
occ_4.0,3.0337036283426256e-05,3.0337036283426256e-05
occ_5.0,0.0,0.0
occ_6.0,1.2447398641592707e-05,1.2447398641592707e-05
occ_7.0,2.6237966199232126e-05,4.8868287276991665e-06
occ_8.0,0.0005384156202465877,0.00015155225962812111
occ_9.0,0.0,0.0
occ_11.0,7.353536691290409e-05,1.7513784879522597e-06
occ_12.0,1.7058825315164343e-05,1.7058825315164343e-05
occ_13.0,1.6517652029525513e-05,1.9378988485973956e-06
occ_14.0,1.6429692040630355e-05,1.6429692040630355e-05
occ_15.0,0.0,0.0
occ_16.0,0.0,0.0
occ_17.0,3.4936235031235995e-05,3.4936235031235995e-05
occ_18.0,6.323927826163456e-06,6.323927826163456e-06
occ_19.0,0.00016853824218921842,9.326050003453992e-06
occ_20.0,7.881867614793009e-05,5.848640319410415e-06
occ_21.0,0.0006438383335861857,6.480766435489619e-05
occ_30.0,9.395015662126082e-05,3.078663328435384e-05
occ_31.0,0.0,0.0
occ_32.0,9.481795653338236e-06,9.481795653338236e-06
occ_33.0,3.520558886142107e-05,1.4207860195776713e-05
occ_34.0,3.4654218389869696e-05,3.4654218389869696e-05
occ_35.0,0.0,0.0
occ_36.0,0.0,0.0
occ_37.0,7.72177911252231e-05,1.4926033302167775e-05
occ_38.0,1.0027762894700247e-05,1.0027762894700247e-05
occ_39.0,0.00022776737062370922,0.00010790621581941667
occ_40.0,0.00015038579901508785,2.6175810135729154e-05
occ_42.0,4.934123491749374e-06,4.934123491749374e-06
occ_43.0,2.8018148667475396e-05,2.8018148667475396e-05
occ_44.0,0.0001521467507807728,0.0001521467507807728
occ_45.0,6.829786314675337e-05,1.07036684933116e-05
occ_49.0,3.1935135687128186e-06,3.1935135687128186e-06
occ_50.0,0.0,0.0
occ_52.0,0.0,0.0
occ_53.0,3.7947857672123726e-05,3.7947857672123726e-05
occ_54.0,8.214802458879711e-06,8.214802458879711e-06
occ_55.0,0.00017842400646003427,1.1389886334698943e-05
occ_56.0,1.4321721697557795e-05,1.4321721697557795e-05
occ_57.0,3.415313876423829e-05,3.415313876423829e-05
occ_58.0,1.9162557810620567e-05,8.671013535084293e-06
occ_59.0,0.00010318044123085739,4.717334682520109e-05
occ_60.0,0.0,0.0
occ_61.0,0.001102600019825576,1.1885350024127504e-05
occ_62.0,0.0,0.0
occ_63.0,0.0,0.0
occ_64.0,8.771741269571198e-06,8.771741269571198e-06
occ_70.0,0.0003177135628206495,2.816632223257113e-05
occ_71.0,0.0,0.0
occ_72.0,0.0,0.0
occ_73.0,5.8399100962088104e-05,5.8399100962088104e-05
occ_74.0,0.0,0.0
occ_75.0,1.0646870185451075e-05,1.0646870185451075e-05
occ_77.0,4.034022881859035e-05,4.417455782033668e-06
occ_79.0,0.0,0.0
occ_80.0,0.0,0.0
occ_81.0,0.0,0.0
occ_82.0,0.0,0.0
occ_83.0,1.5799236742523194e-05,1.5799236742523194e-05
occ_84.0,0.000219107335485198,3.113797820396162e-05
occ_85.0,1.4350914763141429e-05,1.4350914763141429e-05
occ_86.0,0.0,0.0
occ_87.0,0.0002711428488642558,0.00011633217857169562
occ_88.0,0.0,0.0
occ_89.0,6.409416757039614e-06,6.409416757039614e-06
occ_92.0,0.0,0.0
occ_93.0,7.19380496695411e-05,9.612903956451558e-06
occ_94.0,0.0,0.0
occ_95.0,0.00048421941457925535,5.1167414428467157e-05
occ_96.0,0.0,0.0
occ_97.0,8.808102984488973e-06,1.6854746962195847e-06
occ_98.0,1.6177560078429406e-05,3.921701643408124e-06
occ_99.0,0.00069375625955171,0.00020361304104080972
occ_101.0,0.0,0.0
year_1972.0,0.0008066551327271014,6.979357031037988e-05
year_1973.0,0.0014118742384068956,0.0005687458885152975
year_1974.0,0.0006079909831343134,3.7765606596951985e-05
year_1975.0,0.0004042021423818625,0.0004042021423818625
year_1976.0,0.0006662527766337306,8.551561998363477e-05
year_1977.0,0.0008100822470118693,4.788131174641041e-05
year_1978.0,0.0007885405214300507,3.0933813594881235e-05
year_1979.0,0.0006877761882158175,1.4186433227751424e-05
year_1980.0,0.00034046559777058897,7.008247450700241e-05
year_1981.0,0.00018743435677608979,9.581513401432636e-05
year_1982.0,0.0005264233204181527,7.500119903464e-05
year_1983.0,4.469713022429289e-05,4.469713022429289e-05
year_1984.0,0.0003367882692544646,3.4924377725537648e-06
year_1985.0,1.069584402169629e-06,2.4460809960890086e-07
year_1986.0,0.00023048511125099954,5.0534998229240574e-05
year_1987.0,7.962416357789622e-05,3.413197124028045e-05
year_1988.0,6.279277409001188e-05,3.4671210023394665e-05
year_1989.0,0.0,0.0
year_1990.0,5.572876392043118e-05,1.3244109952999783e-05
year_1991.0,0.0006340895925768478,0.00014879607136688883
