Feature,Average SHAP Value,Abs Mean SHAP (Net directional)
PrRecess,0.00021866762754749503,3.5553613159326297e-06
OLF,0.00010457235887028753,8.409408524726048e-06
tenure,3.831636520399876e-05,1.2567866575626653e-05
race_1.0,0.0007321720139701613,1.055897309649954e-05
race_2.0,0.0006261461949206924,1.0486271120184923e-05
race_3.0,1.325941209848786e-05,7.450572413413271e-07
race_4.0,0.0,0.0
race_5.0,0.0,0.0
race_7.0,0.0,0.0
occ_0.0,0.0002944965834809445,2.2907400076361003e-05
occ_1.0,6.392497050577612e-05,3.91924611120399e-05
occ_2.0,5.14591783406094e-05,2.531369153812774e-05
occ_3.0,2.588096338713748e-05,2.2836962808533792e-06
occ_4.0,0.00010933995164009006,6.363030490815481e-05
occ_5.0,6.2983586176582545e-06,3.412021655740025e-06
occ_6.0,0.00022613450453104,1.4934803998259993e-05
occ_7.0,3.518497172826258e-05,1.3235161761891967e-05
occ_8.0,0.0,0.0
occ_9.0,0.0,0.0
occ_11.0,4.892899191662256e-05,2.799316897799729e-05
occ_12.0,3.62281100331948e-05,1.4183433462388317e-05
occ_13.0,4.0190666153980766e-05,5.322494861014471e-06
occ_14.0,0.0,0.0
occ_15.0,0.0,0.0
occ_16.0,0.0,0.0
occ_17.0,0.0,0.0
occ_18.0,4.332129717698534e-06,4.332129717698534e-06
occ_19.0,1.82737320030637e-05,1.82737320030637e-05
occ_20.0,0.00015979025504024076,8.667937418567085e-05
occ_21.0,0.000261807942416986,6.935157825339858e-06
occ_30.0,8.256258241460337e-06,8.256258241460337e-06
occ_31.0,9.953525376885445e-07,9.953525376885445e-07
occ_32.0,0.0,0.0
occ_33.0,5.157820867532106e-06,3.9551848969204154e-07
occ_34.0,0.0,0.0
occ_35.0,8.025900497837247e-07,8.025900497837247e-07
occ_36.0,0.0,0.0
occ_37.0,0.0,0.0
occ_38.0,0.0,0.0
occ_39.0,3.3787218262745395e-05,4.743130756928924e-06
occ_40.0,3.842298403616987e-06,7.489769207393413e-07
occ_42.0,1.7019678786476462e-06,1.7019678786476462e-06
occ_43.0,0.0,0.0
occ_44.0,4.7236488330661586e-05,4.7236488330661586e-05
occ_45.0,0.0001168651290247409,1.9871156527242922e-05
occ_49.0,0.0,0.0
occ_50.0,1.5976339642931375e-06,1.5976339642931375e-06
occ_52.0,0.0,0.0
occ_53.0,2.067607782294422e-06,5.401482936276182e-08
occ_54.0,0.0,0.0
occ_55.0,2.1979476309069342e-05,6.436780742868045e-06
occ_56.0,0.0,0.0
occ_57.0,7.432906927059375e-06,7.432906927059375e-06
occ_58.0,0.0,0.0
occ_59.0,1.6769468453286556e-05,1.6769468453286556e-05
occ_60.0,2.0092187268795286e-05,1.2673273175660277e-05
occ_61.0,0.00010464358621131244,3.325552642078601e-05
occ_62.0,0.0,0.0
occ_63.0,0.0,0.0
occ_64.0,0.0,0.0
occ_70.0,1.5019224051464076e-05,6.621777292808595e-06
occ_71.0,0.0,0.0
occ_72.0,0.0,0.0
occ_73.0,6.313871626729135e-05,3.032856311263677e-05
occ_74.0,0.0,0.0
occ_75.0,0.0,0.0
occ_77.0,0.0,0.0
occ_79.0,0.0,0.0
occ_80.0,0.0,0.0
occ_81.0,0.0,0.0
occ_82.0,0.0,0.0
occ_83.0,3.240804132836002e-05,2.415654741080714e-06
occ_84.0,3.915618107336619e-05,1.798355228113815e-05
occ_85.0,1.2497991439665216e-05,8.442684339226253e-07
occ_86.0,0.0,0.0
occ_87.0,0.0,0.0
occ_88.0,0.0,0.0
occ_89.0,0.0,0.0
occ_92.0,1.8868920755101053e-05,1.8868920755101053e-05
occ_93.0,5.478897315257143e-05,5.478897315257143e-05
occ_94.0,0.0,0.0
occ_95.0,7.80364959482806e-05,4.0480563120970995e-05
occ_96.0,5.79997914409184e-06,5.79997914409184e-06
occ_97.0,5.263535741360944e-05,2.8610875416335176e-06
occ_98.0,8.295391886421394e-07,1.58872004609222e-07
occ_99.0,2.384912788585194e-05,1.6299146257279406e-06
occ_101.0,3.0398549432500536e-05,4.213832751979817e-06
year_1972.0,1.4418484757282914e-05,1.4418484757282914e-05
year_1973.0,2.3040140924740117e-06,2.121735952665433e-07
year_1974.0,0.0,0.0
year_1975.0,4.323648584562979e-05,1.9661237731954433e-05
year_1976.0,9.329454674734213e-05,2.7665921830241725e-05
year_1977.0,0.00016486427416127677,4.689072768869682e-05
year_1978.0,6.940878714337885e-05,1.0137422028814471e-05
year_1979.0,8.957785910464479e-05,3.3249115551334727e-07
year_1980.0,3.001560551703727e-05,5.8757371770517325e-06
year_1981.0,5.6481581943842036e-05,2.93160992112658e-05
year_1982.0,7.764457522650478e-05,9.617519875309476e-06
year_1983.0,0.0,0.0
year_1984.0,1.685347367647235e-05,4.067744479729881e-06
year_1985.0,0.0,0.0
year_1986.0,8.35225392432692e-05,6.064264279791604e-06
year_1987.0,0.0,0.0
year_1988.0,0.0,0.0
year_1989.0,0.0,0.0
year_1990.0,0.0,0.0
year_1991.0,6.218488303564506e-06,7.832006976107409e-07
year_1992.0,2.657729408253858e-05,1.1722887251745438e-05
year_1993.0,0.00011068564357843954,1.4973942719203841e-05
year_1995.0,1.7364997017139582e-05,4.473808272118989e-07
