Feature,Average SHAP Value,Abs Mean SHAP (Net directional)
PrRecess,0.0,0.0
OLF,0.0,0.0
tenure,0.0004330947199864361,5.411599453599959e-05
race_1.0,0.00015037117103162246,2.645064007453887e-06
race_2.0,0.0,0.0
race_3.0,3.0494867558106433e-06,4.7506687107481266e-07
race_4.0,0.0,0.0
race_5.0,7.88342536617952e-05,2.4187249914937595e-05
race_7.0,3.0567741493905285e-05,3.0567741493905285e-05
occ_0.0,0.00044666289906830284,3.427863962705662e-05
occ_1.0,0.0,0.0
occ_2.0,5.6067996832997884e-05,9.748633408666833e-06
occ_3.0,0.0,0.0
occ_4.0,0.0,0.0
occ_5.0,0.0,0.0
occ_6.0,4.4038730549408065e-05,4.4038730549408065e-05
occ_7.0,9.44452208475427e-05,1.6249238985517973e-05
occ_8.0,1.2031647601848206e-05,1.3917906480488326e-06
occ_9.0,0.0,0.0
occ_11.0,2.819113647776658e-05,1.3245494667483642e-05
occ_12.0,5.643747578035781e-05,4.460588503883674e-06
occ_13.0,4.2391718841044674e-05,4.2391718841044674e-05
occ_14.0,0.0,0.0
occ_15.0,4.879912182312198e-06,4.879912182312198e-06
occ_16.0,8.541330600008392e-08,8.541330600008392e-08
occ_17.0,0.0,0.0
occ_18.0,0.0,0.0
occ_19.0,0.0,0.0
occ_20.0,5.251470174172877e-05,4.026086061499266e-06
occ_21.0,0.0004456973207534588,5.8955664298738265e-05
occ_30.0,0.0,0.0
occ_31.0,0.0,0.0
occ_32.0,0.0,0.0
occ_33.0,0.0,0.0
occ_34.0,1.9119052611590412e-06,1.109911532735341e-06
occ_35.0,0.0,0.0
occ_36.0,0.0,0.0
occ_37.0,2.9234203875499296e-05,1.3457655587919438e-05
occ_38.0,0.0,0.0
occ_39.0,0.0,0.0
occ_40.0,0.0,0.0
occ_42.0,0.0,0.0
occ_43.0,0.0,0.0
occ_44.0,0.00014602448477029725,3.145086716377887e-05
occ_45.0,0.0,0.0
occ_49.0,0.0,0.0
occ_50.0,7.012775259350477e-06,7.012775259350477e-06
occ_52.0,0.0,0.0
occ_53.0,4.585540067281701e-05,8.132217928737395e-07
occ_54.0,0.0,0.0
occ_55.0,4.017996564654419e-05,1.0505194930028167e-05
occ_56.0,8.391721007702806e-06,8.391721007702806e-06
occ_57.0,0.0,0.0
occ_58.0,8.844881620798974e-05,5.833763495962671e-06
occ_59.0,0.0,0.0
occ_60.0,5.591285917114756e-06,5.591285917114756e-06
occ_61.0,0.00023291140103520567,7.585636626030061e-05
occ_62.0,0.0,0.0
occ_63.0,0.0,0.0
occ_64.0,5.311245503205502e-06,5.311245503205502e-06
occ_70.0,0.0,0.0
occ_71.0,0.0,0.0
occ_72.0,0.0,0.0
occ_73.0,0.0,0.0
occ_74.0,0.0,0.0
occ_75.0,0.0,0.0
occ_77.0,0.0,0.0
occ_79.0,7.043639935178812e-06,7.043639935178812e-06
occ_80.0,0.0,0.0
occ_81.0,0.0,0.0
occ_82.0,0.0,0.0
occ_83.0,0.00011489229250628509,4.61925642451841e-05
occ_84.0,1.1808139493368624e-05,3.753170467895703e-07
occ_85.0,9.409076215306744e-05,1.4094077757744985e-05
occ_86.0,0.0,0.0
occ_87.0,6.82898534984382e-05,1.2928065429140173e-05
occ_88.0,0.0,0.0
occ_89.0,0.0,0.0
occ_92.0,0.0,0.0
occ_93.0,5.5074395024535436e-05,5.5074395024535436e-05
occ_94.0,0.0,0.0
occ_95.0,2.1419682428695408e-05,1.11544632822868e-05
occ_96.0,0.0,0.0
occ_97.0,0.0,0.0
occ_98.0,0.00017736165647331756,5.192913996496386e-05
occ_99.0,2.670984580330229e-05,1.6133702042803923e-06
occ_101.0,0.0,0.0
year_1972.0,3.22701927910879e-05,9.869968705466418e-06
year_1973.0,9.340261517197553e-05,1.0565340404327228e-05
year_1974.0,0.00028680338283661676,6.869161818698722e-05
year_1975.0,0.0001727680353631543,3.487402278223885e-05
year_1976.0,5.521729034994382e-05,2.6718835715453556e-05
year_1977.0,2.322484684946558e-05,1.1570597300991617e-05
year_1978.0,8.940755283204439e-05,1.4064191695902168e-05
year_1979.0,0.00010952813236617986,4.359095920666188e-05
year_1980.0,2.5027468008750748e-05,6.381674661621607e-07
year_1981.0,5.393664533995511e-05,1.681249902703294e-05
year_1982.0,0.00011703018630540213,1.1661895029211738e-05
year_1983.0,9.391011086835762e-06,2.381136854739373e-06
year_1984.0,0.00017758845104603224,3.7551822369906304e-05
year_1985.0,2.1543647907931113e-05,1.695571738920874e-06
year_1986.0,1.5906485684921012e-05,4.602059550097765e-06
year_1987.0,4.822701972148061e-06,1.3135750759233154e-06
year_1988.0,3.8405548840450503e-07,2.774260583995575e-08
year_1989.0,1.417585617979762e-05,1.0524026455335607e-06
year_1990.0,0.0001332195840518889,2.776832248265911e-05
year_1991.0,5.394983751734221e-06,8.486540932755848e-07
year_1993.0,6.387124888583612e-06,2.883844245850344e-07
year_1995.0,0.00014105168697818474,7.136391259805667e-05
year_1997.0,3.765844642700074e-05,4.312563255071692e-06
year_1999.0,9.505836364761805e-05,2.4771273793447743e-05
year_2001.0,0.0,0.0
year_2003.0,1.9109107820957782e-05,1.98556136031859e-06
year_2005.0,0.00020280604406245942,3.327552880344881e-05
year_2007.0,0.00012674858098491736,1.129007357446806e-05
year_2009.0,9.720060142632173e-05,2.227452843398858e-05
year_2011.0,0.0,0.0
year_2013.0,5.780808560660843e-05,2.140167577916838e-06
year_2015.0,0.0,0.0
year_2017.0,0.00012483924440493156,3.462252686532939e-05
censdiv_0.0,1.2350771759527154e-05,1.2350771759527154e-05
censdiv_1.0,0.00010298055988804667,2.8066982309659763e-05
censdiv_2.0,0.00029124200118671234,1.7184383661801934e-05
censdiv_3.0,0.00012117247564414936,2.552403563629767e-05
censdiv_4.0,6.39670287684196e-05,1.0851388641199966e-05
censdiv_5.0,0.00027953319617640677,1.3997234609853287e-05
censdiv_6.0,1.2324115390239516e-05,1.030910265493945e-06
censdiv_7.0,0.00010645917861046498,1.0970742014461178e-05
censdiv_8.0,6.0566090909506854e-05,1.3831305288584399e-05
censdiv_9.0,3.596879443625608e-05,7.4184651402620385e-06
cohort_10.0,0.0003765586289700588,1.4640666752776929e-05
cohort_20.0,0.000279825802063333,3.7286425626111235e-05
cohort_30.0,0.00017316732700834174,6.63401838471458e-06
cohort_40.0,0.00017663739545453392,2.5962041368623987e-05
twoind_0.0,0.0007860112260049685,0.0001225435895852019
twoind_1.0,0.0,0.0
twoind_2.0,0.0,0.0
twoind_3.0,0.00016640605824476385,4.073044005808295e-05
twoind_4.0,0.0,0.0
twoind_5.0,0.0,0.0
twoind_6.0,2.9954214400840995e-05,2.9954214400840995e-05
twoind_7.0,0.0,0.0
twoind_8.0,0.0,0.0
twoind_9.0,4.756331271092565e-05,6.845743052260276e-06
twoind_10.0,1.147240025619131e-05,2.795715854852999e-07
twoind_11.0,0.00011082126348386778,7.321927244250895e-08
twoind_12.0,5.1381286346989646e-05,5.1381286346989646e-05
