Feature,Industry Code,Average SHAP Value
twoind_0.0,0.0,0.0016051078774143
twoind_30.0,30.0,0.0008676075918215
twoind_15.0,15.0,0.000719270899592
twoind_1.0,1.0,0.0005260616999818
twoind_21.0,21.0,0.0004567335093507
twoind_33.0,33.0,0.0003776287597827
twoind_14.0,14.0,0.0003714984543766
twoind_29.0,29.0,0.0003120887267845
twoind_18.0,18.0,0.0003042101009226
twoind_9.0,9.0,0.0001182925178414
twoind_25.0,25.0,0.0001074583731688
twoind_4.0,4.0,8.639063234072667e-05
twoind_16.0,16.0,7.260238074962778e-05
twoind_11.0,11.0,6.346088231039547e-05
twoind_34.0,34.0,6.103374487359696e-05
twoind_24.0,24.0,5.041148698854814e-05
twoind_27.0,27.0,4.920415021366212e-05
twoind_22.0,22.0,4.750610859175746e-05
twoind_2.0,2.0,3.0534224198524494e-05
twoind_10.0,10.0,2.715359666087135e-05
twoind_23.0,23.0,2.6976276323602736e-05
twoind_3.0,3.0,2.02158705715774e-05
twoind_13.0,13.0,1.8574793951887364e-05
twoind_28.0,28.0,1.5855033265073537e-05
twoind_8.0,8.0,1.1560351437525942e-05
twoind_31.0,31.0,1.1191956605494149e-05
twoind_7.0,7.0,9.67945702092647e-06
twoind_12.0,12.0,9.536486587614465e-06
twoind_5.0,5.0,9.070474336052617e-06
twoind_20.0,20.0,8.68261339222626e-06
twoind_19.0,19.0,8.559154166967448e-06
twoind_32.0,32.0,3.98089434660462e-06
twoind_6.0,6.0,2.137965015244801e-06
