Feature,Industry Code,Average SHAP Value
twoind_0.0,0.0,0.005335846254424
twoind_30.0,30.0,0.0014280949074388
twoind_1.0,1.0,0.0006269231066143
twoind_15.0,15.0,0.0006035358713732
twoind_33.0,33.0,0.0003899457232592
twoind_18.0,18.0,0.0002545831802211
twoind_21.0,21.0,0.0001809505850075
twoind_14.0,14.0,0.0001627347352818
twoind_29.0,29.0,0.0001362054219615
twoind_24.0,24.0,0.0001197952380444
twoind_25.0,25.0,0.0001029717459163
twoind_16.0,16.0,8.687034472356686e-05
twoind_9.0,9.0,8.025952709846931e-05
twoind_11.0,11.0,6.0952579622389346e-05
twoind_8.0,8.0,4.912344173571986e-05
twoind_4.0,4.0,4.8031387621812626e-05
twoind_31.0,31.0,4.32258574997397e-05
twoind_28.0,28.0,3.565011194877776e-05
twoind_7.0,7.0,2.907541874441884e-05
twoind_27.0,27.0,2.7163267118707196e-05
twoind_22.0,22.0,2.504012304793325e-05
twoind_13.0,13.0,2.481727357961197e-05
twoind_3.0,3.0,2.335084948423078e-05
twoind_34.0,34.0,2.249169850538782e-05
twoind_10.0,10.0,1.9827622750940424e-05
twoind_23.0,23.0,1.7774823254951375e-05
twoind_19.0,19.0,1.713343054520494e-05
twoind_12.0,12.0,1.3653005002234908e-05
twoind_6.0,6.0,1.2097126149151385e-05
twoind_20.0,20.0,9.70346602963124e-06
twoind_5.0,5.0,5.4378406661461816e-06
twoind_32.0,32.0,3.1041638963312934e-06
twoind_2.0,2.0,4.966510273412687e-07
