Feature,Industry Code,Average SHAP Value
twoind_0.0,0.0,0.0002281947993536
twoind_30.0,30.0,0.0001887049425081
twoind_18.0,18.0,0.0001730839908963
twoind_1.0,1.0,9.978002688786502e-05
twoind_29.0,29.0,8.579284862830136e-05
twoind_33.0,33.0,8.443090083973492e-05
twoind_22.0,22.0,7.62870340295167e-05
twoind_15.0,15.0,5.689434709918334e-05
twoind_11.0,11.0,4.249272104710317e-05
twoind_27.0,27.0,3.383901080630859e-05
twoind_21.0,21.0,3.352070320512562e-05
twoind_3.0,3.0,2.5482028706350174e-05
twoind_9.0,9.0,2.0008976691231345e-05
twoind_16.0,16.0,1.9855940909585385e-05
twoind_4.0,4.0,1.6472239392414438e-05
twoind_14.0,14.0,1.5986821162764948e-05
twoind_13.0,13.0,1.4313330314061e-05
twoind_34.0,34.0,1.2666124477226233e-05
twoind_28.0,28.0,1.2620583280020894e-05
twoind_24.0,24.0,1.209666860520976e-05
twoind_10.0,10.0,1.182268494826262e-05
twoind_25.0,25.0,9.99017781363182e-06
twoind_12.0,12.0,9.252417100806395e-06
twoind_23.0,23.0,9.10585036868762e-06
twoind_8.0,8.0,8.959894670536549e-06
twoind_2.0,2.0,8.861121791638639e-06
twoind_20.0,20.0,8.340061750544954e-06
twoind_5.0,5.0,4.04896771119054e-06
twoind_31.0,31.0,2.4022377457305973e-06
twoind_7.0,7.0,2.1662021567152112e-06
twoind_6.0,6.0,1.944071328770518e-06
twoind_32.0,32.0,1.5042505343878903e-06
twoind_19.0,19.0,9.409623695909152e-07
