Feature,Industry Code,Average SHAP Value
twoind_0.0,0.0,0.0008373021454876
twoind_30.0,30.0,0.0002648157754775
twoind_1.0,1.0,0.0002123586163871
twoind_29.0,29.0,0.0001298026925573
twoind_14.0,14.0,7.668222431266203e-05
twoind_15.0,15.0,4.88726215553525e-05
twoind_21.0,21.0,3.696259493380048e-05
twoind_18.0,18.0,3.456360048442886e-05
twoind_11.0,11.0,3.0321832696437024e-05
twoind_25.0,25.0,1.924016748769913e-05
twoind_10.0,10.0,1.783002731070148e-05
twoind_16.0,16.0,1.6634956759622083e-05
twoind_9.0,9.0,1.3143503054915532e-05
twoind_22.0,22.0,1.259246706322417e-05
twoind_24.0,24.0,1.2289447059969712e-05
twoind_27.0,27.0,1.1919378761323933e-05
twoind_7.0,7.0,1.1787909683113589e-05
twoind_13.0,13.0,1.1331475321286688e-05
twoind_8.0,8.0,8.359023644221505e-06
twoind_20.0,20.0,8.060013157207417e-06
twoind_5.0,5.0,7.949524029298314e-06
twoind_3.0,3.0,7.71049815646456e-06
twoind_23.0,23.0,5.7290148945700444e-06
twoind_33.0,33.0,5.457362688900372e-06
twoind_28.0,28.0,4.914523218183988e-06
twoind_2.0,2.0,4.3112331615165645e-06
twoind_19.0,19.0,4.26887586124741e-06
twoind_4.0,4.0,4.048025932369944e-06
twoind_32.0,32.0,3.7885215114685664e-06
twoind_31.0,31.0,3.677332049304954e-06
twoind_12.0,12.0,3.4709026216851537e-06
twoind_6.0,6.0,3.1002898825406706e-06
twoind_34.0,34.0,2.011589033198368e-06
