Feature,Occupation Code,Average SHAP Value
occ_0.0,0.0,0.0031147999863991
occ_61.0,61.0,0.0012746488432925
occ_21.0,21.0,0.0005931384993899
occ_98.0,98.0,0.0005743951412225
occ_44.0,44.0,0.000380344961147
occ_95.0,95.0,0.0003064768366548
occ_99.0,99.0,0.0002962738284991
occ_84.0,84.0,0.0001407598216499
occ_13.0,13.0,0.0001026742775958
occ_64.0,64.0,9.450754221450268e-05
occ_101.0,101.0,9.2268600572887e-05
occ_2.0,2.0,8.808117514625683e-05
occ_50.0,50.0,8.401627518057028e-05
occ_87.0,87.0,8.260367213148625e-05
occ_53.0,53.0,7.309056948783193e-05
occ_45.0,45.0,7.237412641384284e-05
occ_6.0,6.0,6.886425058605983e-05
occ_73.0,73.0,6.34947202098581e-05
occ_17.0,17.0,6.240522117745509e-05
occ_20.0,20.0,5.521842394252789e-05
occ_97.0,97.0,4.927368682990408e-05
occ_93.0,93.0,4.657132899608041e-05
occ_79.0,79.0,4.3781703243950974e-05
occ_12.0,12.0,4.066327676791023e-05
occ_55.0,55.0,3.878734536058453e-05
occ_60.0,60.0,3.653262296181165e-05
occ_33.0,33.0,3.502628250804963e-05
occ_85.0,85.0,3.4883264143603235e-05
occ_4.0,4.0,3.2647719704889375e-05
occ_19.0,19.0,3.151219324675393e-05
occ_8.0,8.0,2.94017164720602e-05
occ_57.0,57.0,2.6397046939841057e-05
occ_5.0,5.0,2.4792803990375105e-05
occ_77.0,77.0,2.3008626633183037e-05
occ_16.0,16.0,2.253547694169426e-05
occ_37.0,37.0,2.2519540150680527e-05
occ_7.0,7.0,2.2379559161344e-05
occ_18.0,18.0,2.1442469154304523e-05
occ_39.0,39.0,2.0001795154320508e-05
occ_56.0,56.0,1.9881922980611795e-05
occ_70.0,70.0,1.9859770147618317e-05
occ_9.0,9.0,1.9787219818129484e-05
occ_11.0,11.0,1.8380295745112956e-05
occ_81.0,81.0,1.6881892931269533e-05
occ_58.0,58.0,1.6800834703277283e-05
occ_59.0,59.0,1.6208209174958287e-05
occ_14.0,14.0,1.5036800407185134e-05
occ_1.0,1.0,1.326701758202577e-05
occ_54.0,54.0,1.1378598390149914e-05
occ_71.0,71.0,1.0437909319993886e-05
occ_15.0,15.0,8.557346760961236e-06
occ_40.0,40.0,6.923202082409964e-06
occ_86.0,86.0,5.848377481903116e-06
occ_30.0,30.0,5.706168456872457e-06
occ_83.0,83.0,5.52629065779977e-06
occ_31.0,31.0,4.804405530473262e-06
occ_3.0,3.0,4.747113527097892e-06
occ_92.0,92.0,3.878668943038901e-06
occ_72.0,72.0,2.857581661457811e-06
occ_43.0,43.0,2.5726092916023853e-06
occ_96.0,96.0,2.177587357585786e-06
occ_38.0,38.0,2.040269561809523e-06
occ_74.0,74.0,1.67478133565649e-06
occ_75.0,75.0,1.0822122062043994e-06
occ_63.0,63.0,8.42459188968001e-07
occ_32.0,32.0,3.176312310603284e-07
occ_62.0,62.0,1.0809240136517583e-07
occ_94.0,94.0,0.0
occ_52.0,52.0,0.0
occ_35.0,35.0,0.0
occ_42.0,42.0,0.0
occ_36.0,36.0,0.0
occ_89.0,89.0,0.0
occ_88.0,88.0,0.0
occ_82.0,82.0,0.0
occ_49.0,49.0,0.0
occ_34.0,34.0,0.0
occ_80.0,80.0,0.0
