Feature,Occupation Code,Average SHAP Value
occ_0.0,0.0,0.0013967745459335
occ_61.0,61.0,0.0009206670769715
occ_98.0,98.0,0.0003430148157421
occ_95.0,95.0,0.0002575387784122
occ_21.0,21.0,0.0002245295078436
occ_99.0,99.0,0.0001862852122516
occ_44.0,44.0,0.0001281150147165
occ_97.0,97.0,0.0001267368990076
occ_84.0,84.0,0.0001251994400824
occ_93.0,93.0,0.0001128988616894
occ_87.0,87.0,0.0001083213497431
occ_73.0,73.0,8.867855210831995e-05
occ_53.0,53.0,7.18448927024538e-05
occ_16.0,16.0,7.004745307818924e-05
occ_85.0,85.0,6.643914614772008e-05
occ_20.0,20.0,6.06741943479404e-05
occ_59.0,59.0,5.6683941560213544e-05
occ_45.0,45.0,5.446181834756951e-05
occ_55.0,55.0,5.267935361459376e-05
occ_58.0,58.0,5.066166146000683e-05
occ_17.0,17.0,4.6099851187903934e-05
occ_7.0,7.0,4.224152866202211e-05
occ_33.0,33.0,4.187770206894902e-05
occ_37.0,37.0,3.034355443992256e-05
occ_39.0,39.0,2.85209078544573e-05
occ_50.0,50.0,2.807329224138971e-05
occ_60.0,60.0,2.6240863104631625e-05
occ_43.0,43.0,2.4224232912267947e-05
occ_11.0,11.0,2.167060177781467e-05
occ_57.0,57.0,1.7381866411809195e-05
occ_40.0,40.0,1.7116171127386557e-05
occ_2.0,2.0,1.6738398211004276e-05
occ_13.0,13.0,1.52985018911276e-05
occ_56.0,56.0,1.4663959417345896e-05
occ_64.0,64.0,1.2911919354172874e-05
occ_92.0,92.0,1.20800153153556e-05
occ_14.0,14.0,1.0769436626444528e-05
occ_18.0,18.0,1.0215847835540072e-05
occ_79.0,79.0,9.505735739192025e-06
occ_8.0,8.0,9.38058060755411e-06
occ_72.0,72.0,8.486603649320613e-06
occ_15.0,15.0,7.351195278081989e-06
occ_70.0,70.0,7.325679306954413e-06
occ_83.0,83.0,7.282166327896044e-06
occ_101.0,101.0,7.281588197073007e-06
occ_6.0,6.0,7.2478935431065776e-06
occ_19.0,19.0,6.658650296191557e-06
occ_38.0,38.0,5.422930206305478e-06
occ_80.0,80.0,4.8715990324767245e-06
occ_71.0,71.0,4.866284980358811e-06
occ_77.0,77.0,4.5120606238355535e-06
occ_81.0,81.0,4.158992339990542e-06
occ_30.0,30.0,3.871062045177723e-06
occ_1.0,1.0,3.766866765841879e-06
occ_54.0,54.0,3.1317343666982295e-06
occ_12.0,12.0,3.0738877970755477e-06
occ_42.0,42.0,2.983332213091192e-06
occ_5.0,5.0,2.193729126579478e-06
occ_62.0,62.0,2.005760104700263e-06
occ_96.0,96.0,1.868930123769419e-06
occ_9.0,9.0,1.5471480352529575e-06
occ_3.0,3.0,1.4879474206883846e-06
occ_31.0,31.0,4.613122005143707e-07
occ_74.0,74.0,4.1831567429439147e-07
occ_4.0,4.0,2.472055486489644e-07
occ_49.0,49.0,2.0514678090363833e-07
occ_34.0,34.0,8.423501817688046e-08
occ_75.0,75.0,6.275654409177997e-08
occ_86.0,86.0,4.7053415561302365e-08
occ_32.0,32.0,5.4518218035194244e-09
occ_88.0,88.0,0.0
occ_89.0,89.0,0.0
occ_63.0,63.0,0.0
occ_36.0,36.0,0.0
occ_94.0,94.0,0.0
occ_82.0,82.0,0.0
occ_35.0,35.0,0.0
occ_52.0,52.0,0.0
