Feature,Occupation Code,Average SHAP Value
occ_6.0,6.0,0.0002399633474177
occ_21.0,21.0,0.0001803256826996
occ_61.0,61.0,0.0001697816425565
occ_45.0,45.0,7.853619757497587e-05
occ_93.0,93.0,7.81833603352715e-05
occ_44.0,44.0,7.125658878395141e-05
occ_20.0,20.0,6.21596670633755e-05
occ_4.0,4.0,5.010900598118902e-05
occ_0.0,0.0,4.7208557938768767e-05
occ_57.0,57.0,3.605756531454618e-05
occ_97.0,97.0,2.3483310029159763e-05
occ_73.0,73.0,2.0147602274667976e-05
occ_84.0,84.0,1.813103936701357e-05
occ_95.0,95.0,1.771639386654237e-05
occ_13.0,13.0,1.6273647122203556e-05
occ_85.0,85.0,1.539442047505048e-05
occ_7.0,7.0,1.4964305787979162e-05
occ_99.0,99.0,1.477205872034744e-05
occ_40.0,40.0,1.4474678201946245e-05
occ_18.0,18.0,1.3801178380025078e-05
occ_62.0,62.0,1.234833404857488e-05
occ_16.0,16.0,1.115617606785179e-05
occ_59.0,59.0,1.087752230331982e-05
occ_92.0,92.0,1.0639616859750006e-05
occ_50.0,50.0,1.0324831130966714e-05
occ_64.0,64.0,1.029588277484411e-05
occ_58.0,58.0,1.0281823348322396e-05
occ_5.0,5.0,9.370523953344395e-06
occ_33.0,33.0,9.368902680159796e-06
occ_55.0,55.0,9.316933095285636e-06
occ_79.0,79.0,8.677570997198796e-06
occ_98.0,98.0,8.500514716764856e-06
occ_12.0,12.0,8.410625152773895e-06
occ_30.0,30.0,8.406035097049841e-06
occ_8.0,8.0,7.858175138742601e-06
occ_2.0,2.0,7.3449178282095725e-06
occ_60.0,60.0,6.63502686210783e-06
occ_101.0,101.0,6.542403113967309e-06
occ_87.0,87.0,6.285585410939912e-06
occ_70.0,70.0,6.232079829502749e-06
occ_77.0,77.0,5.804344393983504e-06
occ_11.0,11.0,5.057161634010301e-06
occ_38.0,38.0,5.029676989959887e-06
occ_35.0,35.0,4.997267538630651e-06
occ_14.0,14.0,4.963017190774773e-06
occ_3.0,3.0,4.509768007054077e-06
occ_19.0,19.0,4.293346897031926e-06
occ_1.0,1.0,4.2235601798874595e-06
occ_15.0,15.0,3.975444231203575e-06
occ_42.0,42.0,3.837560740623529e-06
occ_17.0,17.0,3.6749645872655295e-06
occ_31.0,31.0,3.5177579957985537e-06
occ_37.0,37.0,3.3458404344278543e-06
occ_53.0,53.0,3.0425388933251396e-06
occ_39.0,39.0,2.8623215359550597e-06
occ_71.0,71.0,2.391776543116863e-06
occ_96.0,96.0,2.307701054818844e-06
occ_43.0,43.0,1.8744250838514977e-06
occ_83.0,83.0,1.6170995848637857e-06
occ_36.0,36.0,1.5578042547358e-06
occ_9.0,9.0,1.452591828055141e-06
occ_32.0,32.0,9.204547330353836e-07
occ_80.0,80.0,6.289571745852539e-07
occ_54.0,54.0,5.647319049480945e-07
occ_56.0,56.0,4.463634731513241e-07
occ_49.0,49.0,4.276944447892842e-07
occ_74.0,74.0,3.997347325378287e-07
occ_86.0,86.0,3.392017991304692e-07
occ_88.0,88.0,2.5154748089531056e-07
occ_81.0,81.0,2.492317323035995e-07
occ_72.0,72.0,1.8892697922969714e-07
occ_34.0,34.0,1.0473315590893248e-07
occ_63.0,63.0,5.4654799361669325e-08
occ_82.0,82.0,0.0
occ_75.0,75.0,0.0
occ_89.0,89.0,0.0
occ_94.0,94.0,0.0
occ_52.0,52.0,0.0
