Feature,Occupation Code,Average SHAP Value
occ_0.0,0.0,0.0005273405608364
occ_21.0,21.0,0.0003361518931309
occ_61.0,61.0,0.0002783448865399
occ_44.0,44.0,9.33449708706187e-05
occ_93.0,93.0,7.75150789961342e-05
occ_55.0,55.0,5.040036958030988e-05
occ_20.0,20.0,4.910978364855573e-05
occ_6.0,6.0,4.669473134713014e-05
occ_99.0,99.0,4.645921311180236e-05
occ_95.0,95.0,4.623363579807539e-05
occ_64.0,64.0,4.5545974632137744e-05
occ_7.0,7.0,4.0682113406529726e-05
occ_53.0,53.0,3.737424709214858e-05
occ_58.0,58.0,3.2823106486776774e-05
occ_84.0,84.0,2.0805852281259593e-05
occ_45.0,45.0,2.0072928055782824e-05
occ_83.0,83.0,1.9887578872946063e-05
occ_98.0,98.0,1.8732310960172372e-05
occ_56.0,56.0,1.808349846465616e-05
occ_39.0,39.0,1.69788811671571e-05
occ_87.0,87.0,1.6938117299962582e-05
occ_92.0,92.0,1.587378656120676e-05
occ_50.0,50.0,1.490120532709542e-05
occ_16.0,16.0,1.4289794145713516e-05
occ_17.0,17.0,1.4203318435008355e-05
occ_97.0,97.0,1.3659297531108748e-05
occ_15.0,15.0,1.3219415619773549e-05
occ_13.0,13.0,1.1932493115970588e-05
occ_85.0,85.0,1.059428339626576e-05
occ_12.0,12.0,9.325309026680437e-06
occ_37.0,37.0,8.890634318594146e-06
occ_73.0,73.0,8.368527363564056e-06
occ_8.0,8.0,8.318669351737845e-06
occ_70.0,70.0,8.051058887748129e-06
occ_33.0,33.0,7.607762297589809e-06
occ_57.0,57.0,6.276610580280687e-06
occ_40.0,40.0,6.069366045303663e-06
occ_2.0,2.0,5.9631920143253834e-06
occ_101.0,101.0,5.755121063481732e-06
occ_59.0,59.0,5.582668834154655e-06
occ_31.0,31.0,4.844793989220657e-06
occ_19.0,19.0,4.806699172605565e-06
occ_4.0,4.0,4.43438364328264e-06
occ_3.0,3.0,4.158329550288723e-06
occ_60.0,60.0,3.868235986010879e-06
occ_11.0,11.0,3.8047783280358106e-06
occ_72.0,72.0,3.78383741301336e-06
occ_5.0,5.0,3.779663629536157e-06
occ_79.0,79.0,3.097172315185558e-06
occ_1.0,1.0,2.9517378681892917e-06
occ_30.0,30.0,2.8727138421336936e-06
occ_14.0,14.0,2.57962502515555e-06
occ_42.0,42.0,2.4785498170780632e-06
occ_77.0,77.0,2.0021345793269742e-06
occ_54.0,54.0,1.898194775904125e-06
occ_74.0,74.0,1.5755630270113892e-06
occ_86.0,86.0,1.4879189404949748e-06
occ_9.0,9.0,1.3078746364416033e-06
occ_75.0,75.0,1.2864991956322337e-06
occ_80.0,80.0,1.233303069914361e-06
occ_96.0,96.0,1.0656070328893654e-06
occ_34.0,34.0,1.0201110687590414e-06
occ_38.0,38.0,8.337263537506627e-07
occ_62.0,62.0,8.088328114430096e-07
occ_81.0,81.0,8.030328215682057e-07
occ_18.0,18.0,7.448015573119486e-07
occ_71.0,71.0,5.930775381241923e-07
occ_35.0,35.0,2.5079041487345773e-07
occ_43.0,43.0,1.982336780821071e-07
occ_63.0,63.0,1.2688863423649352e-07
occ_88.0,88.0,1.1849572430850653e-07
occ_89.0,89.0,9.231609065537153e-08
occ_32.0,32.0,1.1881254201793492e-08
occ_82.0,82.0,0.0
occ_94.0,94.0,0.0
occ_49.0,49.0,0.0
occ_52.0,52.0,0.0
occ_36.0,36.0,0.0
