Feature,Average SHAP Value,Abs Mean SHAP (Net directional)
OLF,0.00030204447745685965,0.00023586978163640714
tenure,0.006586207450807379,0.0015591255194160264
race_1.0,0.0008187004114431095,0.00016978889947268571
race_2.0,0.001151305880040765,5.982724992264002e-05
race_3.0,6.965620515265819e-05,2.0488611448968974e-06
race_4.0,3.0548450966308655e-05,1.727259258954603e-06
race_5.0,0.00012072811234419768,1.6091557015142234e-05
race_7.0,8.926517245930637e-06,3.8041747184577467e-06
occ_0.0,0.003115632133213658,8.513114620652049e-05
occ_1.0,1.0145914373675148e-05,1.0145914373675148e-05
occ_2.0,8.568009594834345e-05,3.6425762590628312e-06
occ_3.0,4.917028762154749e-06,3.830979579935786e-06
occ_4.0,4.402719260892468e-05,1.2679972400378341e-05
occ_5.0,1.9535736964841703e-05,1.4991029041801163e-05
occ_6.0,6.15517997743518e-05,2.5950284792070473e-06
occ_7.0,2.2686369113206498e-05,8.63743489374693e-06
occ_8.0,3.444155489712553e-05,4.5313839285633875e-06
occ_9.0,1.2597940609005408e-05,2.334003976382917e-07
occ_11.0,2.586022051627744e-05,5.1146628732280524e-06
occ_12.0,4.797367038531406e-05,3.876415889954904e-06
occ_13.0,7.302918511091926e-05,2.4362628315448828e-05
occ_14.0,2.141059026905977e-05,7.200716620349e-06
occ_15.0,1.0502750930557674e-05,1.0502750930557674e-05
occ_16.0,1.8241388699161196e-05,1.0638751075456405e-05
occ_17.0,0.000123887321677288,5.231728005757458e-06
occ_18.0,4.343389499624907e-06,4.343389499624907e-06
occ_19.0,2.3058531253200182e-05,5.2120748788693685e-06
occ_20.0,5.653742673911556e-05,3.2798269042101126e-06
occ_21.0,0.0005515522787776643,7.988714827325881e-05
occ_30.0,4.9721418810237305e-06,2.506091986208437e-06
occ_31.0,2.03650444168311e-06,1.9534839279439115e-07
occ_32.0,1.4316159782463071e-07,1.3706716746835643e-07
occ_33.0,5.363454652516647e-05,8.452011371941433e-06
occ_34.0,6.504625543482742e-08,2.7287189700922446e-08
occ_35.0,0.0,0.0
occ_36.0,0.0,0.0
occ_37.0,1.0376288434350807e-05,4.0173527392775095e-07
occ_38.0,1.8856201177282914e-06,1.3768804230064382e-06
