Feature,Average SHAP Value,Abs Mean SHAP (Net directional)
PrRecess,0.0011789240977598961,0.00016112027938837824
OLF,0.0006528108657062769,5.190163865114241e-05
tenure,0.006145168547947899,3.380897397824634e-05
race_1.0,0.001355774845419228,0.00010980173954218736
race_2.0,0.002215437287139572,0.00027618320019951646
race_3.0,7.132591961682492e-05,1.8459571589763016e-05
race_4.0,1.2642133460008414e-05,8.356763211704579e-06
race_5.0,0.0001000520535055672,3.439582470813921e-05
race_7.0,1.2512512193858835e-05,9.383289219068115e-06
occ_0.0,0.002789119616330576,0.00024789003344242744
occ_1.0,5.3110721278900166e-06,2.743474446737664e-06
occ_2.0,5.874576275175404e-05,1.748296812676867e-05
occ_3.0,2.604603883663304e-05,4.895631130172949e-06
occ_4.0,2.051776147650236e-06,1.830851987156443e-06
occ_5.0,4.546466311784916e-05,2.4439418347653443e-05
occ_6.0,1.0999238007875369e-05,4.850629323480587e-06
occ_7.0,3.8781466287360625e-05,4.25933449470809e-06
occ_8.0,1.7722481844404824e-05,5.356876813968152e-06
occ_9.0,3.7720575994285494e-06,3.7720575994285494e-06
occ_11.0,1.0933869365420067e-05,9.222786010424773e-06
occ_12.0,5.630516428510384e-06,1.3052268292270584e-06
occ_13.0,2.2615989289612404e-05,9.012615359488821e-06
occ_14.0,4.02050931583825e-05,1.046677690033418e-05
occ_15.0,8.212007509102297e-06,8.212007509102297e-06
occ_16.0,3.6953266869758676e-05,7.2977178120926335e-06
occ_17.0,6.060208432703426e-05,1.7435239414891637e-05
occ_18.0,4.411062529679134e-06,4.411062529679134e-06
occ_19.0,6.726002243762519e-06,2.298196549226758e-06
occ_20.0,4.703839119646576e-05,1.5671921078195557e-06
occ_21.0,0.0003948311700295336,2.5803646808774638e-05
occ_30.0,2.678974623453365e-06,1.706167117524769e-06
occ_31.0,9.517554401259573e-07,3.085623537513079e-07
occ_32.0,0.0,0.0
occ_33.0,7.804608107483688e-05,3.2358263170072456e-06
occ_34.0,2.429141658351585e-07,2.233064971987461e-07
occ_35.0,0.0,0.0
occ_36.0,0.0,0.0
occ_37.0,2.8995789364477946e-05,7.000572061222743e-06
occ_38.0,1.2574727135464605e-07,1.2215648076412234e-07
occ_39.0,4.65143916898454e-05,1.412806201959517e-05
occ_40.0,1.536336477975111e-05,6.2628310275415475e-06
occ_42.0,0.0,0.0
occ_43.0,2.8685719985932094e-05,2.8685719985932094e-05
occ_44.0,0.00020372463572001137,5.925765858835767e-06
occ_45.0,9.149483411606425e-05,2.876736704542014e-06
occ_49.0,0.0,0.0
occ_50.0,3.093744815259903e-05,4.33985688627155e-06
occ_52.0,0.0,0.0
occ_53.0,7.77404957141036e-05,3.749954642342374e-05
occ_54.0,7.005882589102471e-06,5.474963048128429e-08
occ_55.0,5.556781655704039e-05,5.1625361738147076e-06
occ_56.0,2.5395395739262083e-05,1.973934052519319e-06
occ_57.0,2.754507056726605e-05,2.754507056726605e-05
occ_58.0,6.972640324833626e-05,2.089805239442666e-06
occ_59.0,3.876100646202691e-05,3.876100646202691e-05
occ_60.0,2.4950220293966777e-05,7.903015040431754e-06
occ_61.0,0.001293694468390943,0.0001358393201572035
occ_62.0,6.242518496289331e-08,6.242518496289331e-08
occ_63.0,0.0,0.0
occ_64.0,9.892010822282172e-06,9.892010822282172e-06
occ_70.0,1.0259075752669982e-05,1.688880038116395e-06
occ_71.0,4.58890880517465e-06,4.5722211116008005e-06
occ_72.0,7.990391426958173e-06,7.990391426958173e-06
occ_73.0,5.2930526090575424e-05,5.2930526090575424e-05
occ_74.0,9.659345186927175e-07,4.3508164972637083e-07
occ_75.0,0.0,0.0
occ_77.0,8.916982267488268e-06,2.3882539058903558e-06
occ_79.0,1.4387367080084011e-05,2.390425638539818e-06
occ_80.0,0.0,0.0
occ_81.0,6.300918571293347e-06,2.954106948642691e-06
occ_82.0,0.0,0.0
occ_83.0,4.837887171013501e-05,1.262323205664797e-05
occ_84.0,0.00016582236222696258,8.122400815449129e-06
occ_85.0,6.998001336599501e-05,2.8291348596820695e-05
occ_86.0,5.5979168599786884e-08,4.026660799343747e-08
occ_87.0,0.00010086986157514916,3.0185981344888882e-05
occ_88.0,0.0,0.0
occ_89.0,0.0,0.0
occ_92.0,2.9233542826613343e-05,7.75730964070929e-06
occ_93.0,7.541054241962668e-05,1.587345846602194e-05
occ_94.0,0.0,0.0
occ_95.0,0.0005163808314992644,0.00011732335849553343
occ_96.0,5.463918448080692e-06,5.463918448080692e-06
occ_97.0,8.470382651452344e-05,1.0755048891968088e-05
occ_98.0,0.00029782969357038255,1.4185655034547495e-05
occ_99.0,0.0006003752258286061,9.466928189706855e-05
occ_101.0,2.6273120930238656e-05,5.79790052551054e-06
year_1972.0,1.7092089941262034e-05,9.252131557056138e-06
year_1973.0,2.485510009647875e-05,1.2380634227855347e-05
year_1974.0,1.3684776273729921e-05,2.307524502853905e-06
year_1975.0,5.668006268938488e-05,1.5521561088389047e-05
year_1976.0,6.836276637037744e-05,1.3599677834246805e-05
year_1977.0,4.807429756601422e-05,6.0604947482844335e-06
year_1978.0,6.1023726032256866e-05,1.0766064572053958e-05
year_1979.0,3.967205968482375e-05,1.795505010675355e-05
year_1980.0,7.73465053879249e-05,9.23004535837054e-06
year_1981.0,0.00040692223043668557,0.00010452756345132158
year_1982.0,0.00028393436652351484,4.051486358137837e-05
year_1983.0,0.00012074886929794666,2.545655500903043e-05
year_1984.0,0.0005255953891574336,0.00015859042301667555
year_1985.0,0.00022795836571795034,8.863699233206153e-06
year_1986.0,0.00021577441966402883,1.9082848296753437e-05
year_1987.0,0.00022841125853238393,1.2785673764631662e-06
year_1988.0,0.00010789485509676647,3.3644597937048575e-06
year_1989.0,0.00013534925916276684,2.5054864685827864e-05
year_1990.0,0.00015713522884362857,1.6855158228108333e-05
year_1991.0,0.00060040605173812,9.054525106914428e-05
year_1992.0,0.00019479958709310834,6.537897675460562e-06
year_1993.0,0.00019342347562784423,2.3925398520273634e-05
year_1995.0,0.00028999039825435767,0.00014815272362436708
year_1997.0,6.673102368437554e-05,4.207975243880161e-05
year_1999.0,9.632870200602608e-05,2.115009141983453e-05
year_2001.0,0.00040814667806054344,8.927577086889304e-05
year_2003.0,0.00024309242407621087,3.661831564347602e-05
year_2005.0,0.0003306392140606745,2.874601639404991e-05
year_2007.0,0.0003707693529879533,2.583313109728247e-05
year_2009.0,0.00023435464040819643,5.19241424759694e-05
year_2011.0,0.0002570187132524863,5.210369920386083e-05
year_2013.0,0.00015884289869342376,1.5068819534582239e-06
year_2015.0,3.063792273878437e-05,1.5877721458775632e-05
year_2017.0,1.133666347572755e-05,5.9479289783267406e-06
year_2019.0,7.107828824115585e-05,3.7733081440718575e-05
censdiv_0.0,3.544741969583592e-05,7.126335547725964e-06
censdiv_1.0,7.723278358667647e-05,2.4290489385687113e-07
censdiv_2.0,0.0003739970667864328,8.940182006247307e-05
censdiv_3.0,0.000634305831115536,7.612379803145799e-05
censdiv_4.0,0.00045170629791750985,6.03350884382952e-05
censdiv_5.0,0.0003283179806930995,7.880967351975468e-05
censdiv_6.0,0.00022155727603711221,6.132236328684925e-06
censdiv_7.0,0.0004077076683695452,4.0674855478126825e-05
censdiv_8.0,0.00023467656779973232,2.7533153292991577e-05
censdiv_9.0,0.00046140829874558644,4.479115607453286e-05
cohort_10.0,0.00044391185735643564,6.200484393237095e-05
cohort_20.0,0.0003108479897609291,1.5288330296536456e-05
cohort_30.0,0.0008209979584532243,0.00011107943445441111
cohort_40.0,0.0012711009111636123,2.6754633550768622e-05
twoind_0.0,0.005348802338393952,0.00027091350350583085
twoind_1.0,0.000566952938342435,0.0001873099864121542
twoind_2.0,4.2814450395688015e-07,4.2814450395688015e-07
twoind_3.0,2.8785635801186046e-05,3.183787382929663e-06
twoind_4.0,5.3005460694435865e-05,4.597175727905637e-06
twoind_5.0,4.8027469713363975e-06,1.3190378244264518e-06
twoind_6.0,1.9696868757515815e-05,4.483134302042863e-06
twoind_7.0,4.415293391980271e-05,3.5326240813105446e-06
twoind_8.0,5.710583558601619e-05,2.2254551098502408e-05
twoind_9.0,6.34098489622108e-05,2.72094579465959e-06
twoind_10.0,2.0879576307455382e-05,2.0615610883875686e-06
twoind_11.0,4.757128684247833e-05,7.373342252994601e-06
