Feature,Average SHAP Value,Abs Mean SHAP (Net directional)
OLF,7.390174091958515e-05,9.686973647567e-06
tenure,0.0007579643773907694,7.069807813498707e-05
race_1.0,8.104460425126181e-05,1.920661967598847e-05
race_2.0,5.141349554688135e-05,1.6695153632496102e-06
race_3.0,7.421748158067337e-05,3.3100174119322366e-06
race_4.0,2.21547594325751e-06,1.5413566237536252e-06
race_5.0,4.093635032447317e-05,8.982360067573784e-06
race_7.0,5.2387941312080005e-06,5.333053833980245e-07
occ_0.0,0.00013868746398872008,2.6318225748993342e-05
occ_1.0,8.146402335716183e-06,9.681973769980796e-07
occ_2.0,2.061003244729642e-05,7.060579585429241e-06
occ_3.0,8.336505488510561e-06,2.9025289466739564e-07
occ_4.0,3.204993899966547e-05,3.1910428124357605e-05
occ_5.0,3.602790567310428e-06,1.8934417379153875e-06
occ_6.0,0.00024016147711987583,1.5499861642667096e-05
occ_7.0,3.3249816124655396e-06,2.3151007620440102e-06
occ_8.0,1.134421478361308e-05,3.0292808228591816e-06
occ_9.0,3.276551147544287e-06,1.0484316313674984e-06
occ_11.0,6.897823583506832e-06,5.481434923063403e-08
occ_12.0,1.539904101071804e-05,6.58418698616941e-06
occ_13.0,7.7390920081057e-05,1.027620975446146e-06
occ_14.0,8.95704986313443e-06,3.864659043679189e-06
occ_15.0,2.5318221104412032e-05,7.3685911363022325e-06
occ_16.0,3.510042792213264e-06,1.190427879718672e-06
occ_17.0,3.1224975739864555e-05,1.118169382398755e-06
occ_18.0,4.153178019575001e-06,4.153178019575001e-06
occ_19.0,2.000066982344372e-05,2.8761250763486373e-06
occ_20.0,7.976048776393075e-05,4.524983373790214e-05
occ_21.0,0.0003653972081028061,2.07800554363228e-05
occ_30.0,5.789253103008415e-06,7.718243836807075e-07
occ_31.0,6.033579202185072e-06,3.6621566838488943e-06
occ_32.0,5.318125338511506e-08,5.318125338511506e-08
occ_33.0,7.34357633669033e-06,2.3618004295402763e-06
occ_34.0,1.5441182095582824e-07,5.759219718599543e-08
occ_35.0,1.65692826555692e-06,1.65692826555692e-06
occ_36.0,1.369108372655991e-06,1.369108372655991e-06
occ_37.0,9.579758405208252e-06,1.6070615782164281e-06
occ_38.0,0.0,0.0
occ_39.0,9.017196099567893e-06,6.184412684642605e-07
occ_40.0,1.0679722731630965e-05,8.270447195269031e-07
occ_42.0,2.3813668527757367e-06,2.2479321482940286e-07
occ_43.0,6.313924959659395e-07,6.250112767878633e-07
