Feature,Average SHAP Value,Abs Mean SHAP (Net directional)
OLF,3.24412265543804e-05,1.7231681250690952e-05
tenure,0.0007517552497282693,6.872655333886506e-05
race_1.0,0.0001450054976978014,1.961507887002506e-05
race_2.0,9.729529477842748e-05,1.7814966036027386e-05
race_3.0,2.9528105193785695e-05,5.626665670188025e-06
race_4.0,2.1150297607979143e-05,4.242016134670931e-07
race_5.0,0.00012426716651703712,6.5472322840134005e-06
race_7.0,2.171469547382738e-05,1.1035655069950407e-06
occ_0.0,0.0005823945768317975,1.706770511406186e-05
occ_1.0,1.3393238374159368e-06,1.3066934009998067e-06
occ_2.0,3.855375915871058e-06,8.580330203281645e-07
occ_3.0,4.231227370849735e-06,1.8021352168536986e-06
occ_4.0,3.384077009923985e-06,2.1268797407814575e-06
occ_5.0,7.887472187597659e-06,9.879765672182773e-07
occ_6.0,5.015961079645031e-05,1.3238558468823524e-06
occ_7.0,2.2294564007069618e-05,1.2945939523855623e-05
occ_8.0,6.046217970588334e-06,9.399946061660782e-07
occ_9.0,8.468248229173956e-07,7.858081128917143e-07
occ_11.0,1.8977741971581308e-06,7.137300013812075e-07
occ_12.0,1.006765578418706e-05,1.4875937221006852e-06
occ_13.0,7.480520540705548e-06,2.773692071580955e-06
occ_14.0,3.945946310219094e-06,5.487340172705393e-07
occ_15.0,2.8987116410116368e-05,1.1961473899728678e-05
occ_16.0,3.687520641638502e-05,1.0130422828004602e-05
occ_17.0,3.85839224362719e-06,2.756151815018973e-06
occ_18.0,1.5612502334884676e-06,5.497362512709722e-07
occ_19.0,4.335526050910168e-06,1.743979597394188e-06
occ_20.0,2.332908149515009e-05,3.8001252875394475e-06
occ_21.0,0.00031661520948750223,8.699703226109991e-06
occ_30.0,1.8697978818999989e-06,1.8492451589381162e-06
occ_31.0,3.046099115257755e-06,1.790436317773396e-06
occ_32.0,5.715754139117899e-09,5.105476057456749e-09
occ_33.0,9.50780635368142e-06,1.6557136867219617e-07
occ_34.0,6.152394206806366e-07,5.233779228399142e-08
occ_35.0,2.4378962096941363e-07,2.4378962096941363e-07
occ_36.0,8.352268776384686e-09,8.352268776384686e-09
occ_37.0,5.899781021178201e-06,6.310272848973558e-07
occ_38.0,5.162761833598075e-07,5.042285231221753e-07
occ_39.0,1.238030812470607e-05,3.2124125078751672e-06
occ_40.0,7.788762177823403e-06,9.449897035609948e-07
occ_42.0,2.7563629845709328e-06,2.7563629845709328e-06
occ_43.0,1.1316020108339977e-07,1.0479146383358805e-07
occ_44.0,4.7518215856291894e-05,1.3017067301956652e-05
occ_45.0,2.0750760318640874e-05,3.012323052221302e-06
occ_49.0,0.0,0.0
occ_50.0,1.8733933492471167e-05,1.3824417603455032e-06
occ_52.0,0.0,0.0
occ_53.0,3.610776895760185e-05,6.017414742806824e-06
occ_54.0,1.4690253648023894e-06,2.6018225312893473e-07
occ_55.0,2.755445571140154e-05,2.08637184196517e-06
occ_56.0,3.546119677421767e-05,1.433158462373719e-05
occ_57.0,7.8323651231679e-06,6.47387673877331e-06
occ_58.0,2.6989767249279923e-05,2.672102805584782e-06
occ_59.0,5.9017411806401575e-06,1.9937321272116754e-08
occ_60.0,5.778619444860012e-06,2.94656721504834e-06
occ_61.0,0.0003100047932152509,2.0567806321798875e-05
occ_62.0,1.2034782017810554e-06,1.2034782017810554e-06
occ_63.0,1.8766758278821853e-07,1.8766758278821853e-07
occ_64.0,4.217961793241553e-05,1.9130409752542465e-05
occ_70.0,8.412930224011896e-06,3.006093985472241e-06
occ_71.0,6.050920307399723e-07,4.3573857561616054e-07
occ_72.0,2.1355582920690826e-06,7.485473178993756e-07
occ_73.0,9.102627838147223e-06,8.148777120081909e-06
occ_74.0,2.3798417818568144e-06,3.343065416328505e-07
occ_75.0,3.3278395521087684e-07,3.299838654412629e-07
occ_77.0,1.4175551126751858e-06,1.5174206050167693e-07
occ_79.0,9.203926506375598e-06,1.5874576995734439e-06
occ_80.0,1.0436116895318278e-06,1.0436116895318278e-06
occ_81.0,2.6855298852542474e-06,2.005767683613726e-06
occ_82.0,0.0,0.0
occ_83.0,1.84567211097517e-05,6.370316745852935e-07
occ_84.0,1.7939655620357316e-05,6.675456656241947e-06
occ_85.0,1.5793011531609952e-05,2.8790745502267002e-06
occ_86.0,1.518381435179585e-06,1.518381435179585e-06
occ_87.0,2.695881063185573e-05,5.075118131891566e-06
occ_88.0,1.7715800087951187e-07,1.7715800087951187e-07
occ_89.0,1.7840685697904038e-07,1.7840685697904038e-07
occ_92.0,5.501069866306667e-06,5.388049964220816e-06
occ_93.0,6.525725981459104e-05,4.860556840189733e-05
occ_94.0,0.0,0.0
occ_95.0,3.5590984390414976e-05,1.7626606960656127e-05
occ_96.0,2.0061130133795494e-06,5.911567569205843e-07
occ_97.0,2.5504370173824046e-05,5.879544554779176e-06
occ_98.0,2.1390319106195498e-05,6.3824937466716025e-06
occ_99.0,4.553671179042152e-05,2.925800151792622e-05
occ_101.0,3.674257033165414e-06,2.3157704117150214e-06
year_1972.0,1.816692102728346e-05,2.011849500801132e-06
year_1973.0,2.584908663749721e-05,4.314362039659704e-06
year_1974.0,2.6609471976952152e-05,2.1834423077145283e-05
year_1975.0,1.2464498087376375e-05,4.23337216842151e-08
year_1976.0,4.6782449816094576e-05,1.8034929199307677e-06
year_1977.0,3.4738877777113946e-05,1.5662898130060093e-05
year_1978.0,0.0001133130042730748,1.5045846683245749e-05
year_1979.0,0.00010030329646132027,1.6680931275391495e-05
year_1980.0,5.032742743667636e-05,1.3451021466760802e-05
year_1981.0,2.529111268885734e-05,7.632083088488683e-06
year_1982.0,0.00011383287061530637,8.64688766098745e-06
year_1983.0,2.9572850683448536e-05,3.954322106822253e-06
year_1984.0,8.974704510766339e-05,7.897069883250754e-06
year_1985.0,1.7120587877145976e-05,2.492173666318363e-06
year_1986.0,3.5094887435564046e-05,3.988550497557852e-06
year_1987.0,3.175597833884096e-05,8.70899941091516e-06
year_1988.0,2.4238821643912844e-05,9.321674852105307e-07
year_1989.0,5.988051441934501e-05,1.9799488779006057e-05
