Feature,Industry Code,Average SHAP Value
twoind_0.0,0.0,0.0009710606301741
twoind_1.0,1.0,0.000634393187237
twoind_33.0,33.0,0.0005161458192711
twoind_30.0,30.0,0.0003973362520386
twoind_9.0,9.0,0.0003105324776928
twoind_27.0,27.0,0.0002325349417913
twoind_10.0,10.0,0.0001744315930894
twoind_28.0,28.0,0.0001681891925987
twoind_16.0,16.0,0.0001662395023998
twoind_14.0,14.0,0.0001610325308143
twoind_3.0,3.0,0.0001578560035258
twoind_29.0,29.0,0.0001457385014278
twoind_11.0,11.0,0.0001435907264529
twoind_5.0,5.0,0.0001328020985294
twoind_20.0,20.0,0.0001308138422002
twoind_23.0,23.0,0.0001307165456484
twoind_8.0,8.0,0.0001179212069973
twoind_13.0,13.0,0.0001021228002111
twoind_15.0,15.0,8.396064333053496e-05
twoind_12.0,12.0,8.339390794580265e-05
twoind_6.0,6.0,7.74246460684308e-05
twoind_31.0,31.0,7.320753659587328e-05
twoind_22.0,22.0,4.241891011792781e-05
twoind_19.0,19.0,3.839422084983172e-05
twoind_7.0,7.0,3.825677419054718e-05
twoind_18.0,18.0,2.671929341217948e-05
twoind_25.0,25.0,2.5206039174393393e-05
twoind_2.0,2.0,1.4537499304461692e-05
twoind_21.0,21.0,1.052676417490366e-05
twoind_4.0,4.0,7.955175222944833e-06
twoind_24.0,24.0,7.716825977629499e-06
twoind_34.0,34.0,2.973310840933015e-06
twoind_32.0,32.0,1.1788720382654512e-07
