Feature,Industry Code,Average SHAP Value
twoind_0.0,0.0,0.0022658986920507
twoind_33.0,33.0,0.0005957182106245
twoind_30.0,30.0,0.0005164546531878
twoind_27.0,27.0,0.0004541441844117
twoind_11.0,11.0,0.0003099830403169
twoind_1.0,1.0,0.0002866178747751
twoind_9.0,9.0,0.0002682336249629
twoind_3.0,3.0,0.0002631257178617
twoind_28.0,28.0,0.0002539801889609
twoind_10.0,10.0,0.0002290540679623
twoind_20.0,20.0,0.0002262268968065
twoind_18.0,18.0,0.0002134990812244
twoind_21.0,21.0,0.0001954415622802
twoind_8.0,8.0,0.0001719890974023
twoind_16.0,16.0,0.000149152116772
twoind_12.0,12.0,0.0001477967635802
twoind_5.0,5.0,0.0001421810474568
twoind_13.0,13.0,0.0001372820267049
twoind_23.0,23.0,9.164476894058416e-05
twoind_6.0,6.0,7.438445652106646e-05
twoind_22.0,22.0,6.82041817553274e-05
twoind_15.0,15.0,6.74801115389274e-05
twoind_4.0,4.0,6.19216781047041e-05
twoind_29.0,29.0,5.95304597176033e-05
twoind_31.0,31.0,4.02108794782544e-05
twoind_14.0,14.0,3.832277515289712e-05
twoind_19.0,19.0,3.0126779717759098e-05
twoind_25.0,25.0,2.7383682931207952e-05
twoind_7.0,7.0,2.4077122976537817e-05
twoind_34.0,34.0,1.669613853516056e-05
twoind_24.0,24.0,1.5888758566908545e-05
twoind_2.0,2.0,1.0023205379290237e-05
twoind_32.0,32.0,4.525859305610669e-07
