Feature,Industry Code,Average SHAP Value
twoind_33.0,33.0,0.0001219142311709
twoind_18.0,18.0,8.24733664499776e-05
twoind_9.0,9.0,6.0845454590623775e-05
twoind_27.0,27.0,5.8496483161945535e-05
twoind_1.0,1.0,4.219967510594456e-05
twoind_3.0,3.0,3.332745245873227e-05
twoind_30.0,30.0,2.4710758404239744e-05
twoind_16.0,16.0,2.3932791451449585e-05
twoind_21.0,21.0,2.1432784669963975e-05
twoind_0.0,0.0,2.126881883240381e-05
twoind_10.0,10.0,1.8567997280978095e-05
twoind_12.0,12.0,1.718522067249951e-05
twoind_29.0,29.0,1.6162910829639124e-05
twoind_5.0,5.0,1.3461647088759998e-05
twoind_20.0,20.0,1.1206403378648767e-05
twoind_11.0,11.0,1.023708733878137e-05
twoind_22.0,22.0,7.503330215655819e-06
twoind_23.0,23.0,5.8100480319034146e-06
twoind_7.0,7.0,5.443649738449098e-06
twoind_28.0,28.0,5.385654059971524e-06
twoind_8.0,8.0,5.052544368767748e-06
twoind_15.0,15.0,4.947165657862573e-06
twoind_6.0,6.0,4.7866857546489645e-06
twoind_24.0,24.0,3.965271075763404e-06
twoind_19.0,19.0,3.0738677853909665e-06
twoind_31.0,31.0,2.8020510084149568e-06
twoind_13.0,13.0,2.6487706330195263e-06
twoind_4.0,4.0,1.743811317383787e-06
twoind_2.0,2.0,1.1193826055345489e-06
twoind_14.0,14.0,3.453033947431053e-07
twoind_34.0,34.0,2.031390079568419e-07
twoind_25.0,25.0,1.5585155963679328e-07
twoind_32.0,32.0,7.286614227424642e-08
