Feature,Industry Code,Average SHAP Value
twoind_0.0,0.0,4.155409655338332e-05
twoind_33.0,33.0,9.992212910764348e-06
twoind_30.0,30.0,8.650698045074092e-06
twoind_18.0,18.0,7.176120166479307e-06
twoind_3.0,3.0,5.0247852267389856e-06
twoind_1.0,1.0,4.794266386733015e-06
twoind_15.0,15.0,4.572712329418516e-06
twoind_11.0,11.0,4.249764967196192e-06
twoind_28.0,28.0,2.4005942199993445e-06
twoind_12.0,12.0,2.328388716697065e-06
twoind_29.0,29.0,2.18370451849971e-06
twoind_16.0,16.0,2.0162969340751163e-06
twoind_22.0,22.0,1.5176112995063092e-06
twoind_6.0,6.0,1.4775855009335982e-06
twoind_27.0,27.0,1.3491230948436165e-06
twoind_10.0,10.0,1.3025250965847185e-06
twoind_9.0,9.0,1.2186335217853785e-06
twoind_14.0,14.0,9.561798863573068e-07
twoind_20.0,20.0,9.038244656565964e-07
twoind_21.0,21.0,6.051867846970225e-07
twoind_19.0,19.0,5.904891638617429e-07
twoind_13.0,13.0,5.259897745845434e-07
twoind_23.0,23.0,5.179168049309701e-07
twoind_5.0,5.0,5.069251793591357e-07
twoind_31.0,31.0,4.731877293185101e-07
twoind_25.0,25.0,4.049645697893663e-07
twoind_24.0,24.0,3.791360738791158e-07
twoind_34.0,34.0,3.4820546002135525e-07
twoind_8.0,8.0,3.298303584999607e-07
twoind_4.0,4.0,2.8687882804842077e-07
twoind_32.0,32.0,2.0530139139737004e-08
twoind_7.0,7.0,1.5787725085228227e-08
twoind_2.0,2.0,7.85966153145117e-09
