Feature,Occupation Code,Average SHAP Value
occ_0.0,0.0,0.0014498549881112
occ_61.0,61.0,0.0006410601057399
occ_84.0,84.0,0.0005216109383887
occ_70.0,70.0,0.0004863342389599
occ_8.0,8.0,0.0004316611859874
occ_85.0,85.0,0.0004178993124683
occ_2.0,2.0,0.0004142213792621
occ_39.0,39.0,0.0003732069780223
occ_55.0,55.0,0.0003145208160083
occ_58.0,58.0,0.0002750298623048
occ_40.0,40.0,0.0002430113630967
occ_19.0,19.0,0.0002138119804219
occ_44.0,44.0,0.0002115869345164
occ_21.0,21.0,0.0002067882975944
occ_37.0,37.0,0.0001917817241943
occ_97.0,97.0,0.0001507620881455
occ_3.0,3.0,0.0001441607395663
occ_99.0,99.0,0.0001328092912693
occ_11.0,11.0,0.0001312630379546
occ_13.0,13.0,0.0001161558132126
occ_95.0,95.0,0.0001053577669534
occ_7.0,7.0,8.440160769487333e-05
occ_77.0,77.0,7.959574423279682e-05
occ_83.0,83.0,7.102573999801605e-05
occ_98.0,98.0,6.460729046951633e-05
occ_101.0,101.0,6.336042796252001e-05
occ_30.0,30.0,5.852966235544798e-05
occ_17.0,17.0,5.5631832350876974e-05
occ_45.0,45.0,5.138106270177576e-05
occ_87.0,87.0,4.771481523504405e-05
occ_92.0,92.0,4.376856236253777e-05
occ_6.0,6.0,4.0831270129469895e-05
occ_73.0,73.0,3.9115510379895594e-05
occ_50.0,50.0,3.7471618387316e-05
occ_12.0,12.0,3.624623694279038e-05
occ_53.0,53.0,3.481230295210846e-05
occ_31.0,31.0,3.305894728700097e-05
occ_79.0,79.0,3.14171902727352e-05
occ_96.0,96.0,2.7033332755232053e-05
occ_33.0,33.0,2.5413876167777083e-05
occ_9.0,9.0,2.5307456767801872e-05
occ_62.0,62.0,2.259743331622205e-05
occ_34.0,34.0,2.2468277052776624e-05
occ_93.0,93.0,2.0816654483001427e-05
occ_74.0,74.0,1.6436510233058847e-05
occ_72.0,72.0,1.6189244434703147e-05
occ_4.0,4.0,1.448359106850278e-05
occ_57.0,57.0,1.3499212183657e-05
occ_89.0,89.0,1.2375482266469492e-05
occ_59.0,59.0,1.2279649442381926e-05
occ_64.0,64.0,1.227787954213896e-05
occ_14.0,14.0,1.0655129006527482e-05
occ_54.0,54.0,1.0619369942643948e-05
occ_16.0,16.0,8.047076594521078e-06
occ_75.0,75.0,7.044571652941938e-06
occ_60.0,60.0,7.013760512944166e-06
occ_15.0,15.0,6.676873679376777e-06
occ_49.0,49.0,6.401193786545524e-06
occ_32.0,32.0,5.937147148485694e-06
occ_38.0,38.0,5.237454389537951e-06
occ_20.0,20.0,3.1219053891467676e-06
occ_80.0,80.0,2.6038689349578417e-06
occ_18.0,18.0,1.8224607160289996e-06
occ_5.0,5.0,1.7385212621884405e-06
occ_81.0,81.0,1.6328303029461363e-06
occ_42.0,42.0,1.1244667442681802e-06
occ_43.0,43.0,8.243133175918566e-07
occ_35.0,35.0,7.062819059148231e-07
occ_71.0,71.0,5.674527895447941e-07
occ_86.0,86.0,5.206766239799825e-07
occ_1.0,1.0,2.8252021863175154e-07
occ_56.0,56.0,2.694828980745895e-07
occ_82.0,82.0,1.771706492706601e-07
occ_63.0,63.0,0.0
occ_52.0,52.0,0.0
occ_88.0,88.0,0.0
occ_94.0,94.0,0.0
occ_36.0,36.0,0.0
