Feature,Occupation Code,Average SHAP Value
occ_0.0,0.0,0.0028865447122865
occ_61.0,61.0,0.0004148298968933
occ_84.0,84.0,0.0003189117416873
occ_99.0,99.0,0.0002466173914991
occ_2.0,2.0,0.0002372252024143
occ_70.0,70.0,0.0002227144999344
occ_8.0,8.0,0.0002174731999611
occ_98.0,98.0,0.0001984330345454
occ_95.0,95.0,0.0001841255315799
occ_85.0,85.0,0.0001822995962439
occ_40.0,40.0,0.0001751590358658
occ_21.0,21.0,0.000171487932417
occ_39.0,39.0,0.0001623308108889
occ_55.0,55.0,0.0001540092919907
occ_3.0,3.0,0.0001260868771271
occ_58.0,58.0,0.000125784239949
occ_37.0,37.0,0.0001238318329029
occ_13.0,13.0,0.0001201799298806
occ_97.0,97.0,0.0001186342993082
occ_19.0,19.0,9.007837963696298e-05
occ_11.0,11.0,8.21384619091572e-05
occ_44.0,44.0,7.538489234859932e-05
occ_34.0,34.0,6.235031458043616e-05
occ_45.0,45.0,5.348310770757891e-05
occ_101.0,101.0,4.9448859885301755e-05
occ_12.0,12.0,3.566703314987746e-05
occ_79.0,79.0,3.509485456319194e-05
occ_77.0,77.0,3.4172367370487794e-05
occ_7.0,7.0,3.339918531645428e-05
occ_73.0,73.0,3.306814781110731e-05
occ_53.0,53.0,2.910764275105403e-05
occ_30.0,30.0,2.775132585622905e-05
occ_31.0,31.0,2.4868156684296508e-05
occ_92.0,92.0,1.830154508824597e-05
occ_54.0,54.0,1.8057628467163476e-05
occ_32.0,32.0,1.7713956713144262e-05
occ_1.0,1.0,1.678531375780167e-05
occ_74.0,74.0,1.438428273376273e-05
occ_38.0,38.0,1.4164930216502403e-05
occ_4.0,4.0,1.3992966846829026e-05
occ_93.0,93.0,1.2792243338855228e-05
occ_75.0,75.0,1.1590596971301625e-05
occ_6.0,6.0,1.0278076725803723e-05
occ_33.0,33.0,1.0089202229262515e-05
occ_72.0,72.0,9.572305260899684e-06
occ_59.0,59.0,8.88628259052556e-06
occ_83.0,83.0,8.87641749680916e-06
occ_42.0,42.0,8.50739257386886e-06
occ_87.0,87.0,8.242576231298566e-06
occ_43.0,43.0,8.145694908885557e-06
occ_56.0,56.0,7.093415908182827e-06
occ_15.0,15.0,6.314901034480757e-06
occ_57.0,57.0,6.2974453646290506e-06
occ_17.0,17.0,6.203524834376627e-06
occ_14.0,14.0,6.019108995450535e-06
occ_60.0,60.0,5.4977405213451505e-06
occ_5.0,5.0,5.016839829797384e-06
occ_63.0,63.0,4.943368633577087e-06
occ_62.0,62.0,3.764939775592719e-06
occ_9.0,9.0,3.4026927739282062e-06
occ_50.0,50.0,3.2619686349405193e-06
occ_96.0,96.0,3.245635658419422e-06
occ_89.0,89.0,2.833340693863907e-06
occ_86.0,86.0,2.7925690033340106e-06
occ_20.0,20.0,2.6513753015793233e-06
occ_49.0,49.0,2.300768240754094e-06
occ_71.0,71.0,1.9935574119860705e-06
occ_16.0,16.0,1.5021454498585494e-06
occ_64.0,64.0,1.4906585548721644e-06
occ_80.0,80.0,1.3094949091984223e-06
occ_81.0,81.0,5.17258191007256e-07
occ_35.0,35.0,4.059068902279251e-07
occ_18.0,18.0,2.114480247242422e-07
occ_82.0,82.0,1.4935296743143617e-07
occ_88.0,88.0,1.228551168876168e-07
occ_52.0,52.0,0.0
occ_36.0,36.0,0.0
occ_94.0,94.0,0.0
