Feature,Occupation Code,Average SHAP Value
occ_21.0,21.0,3.297886948239252e-05
occ_0.0,0.0,2.701742975239804e-05
occ_13.0,13.0,2.0690218283063052e-05
occ_45.0,45.0,1.2581860411022436e-05
occ_61.0,61.0,1.1591501379052958e-05
occ_70.0,70.0,1.0593941911331565e-05
occ_98.0,98.0,8.908565355007469e-06
occ_97.0,97.0,7.581983421081018e-06
occ_20.0,20.0,7.180607519611447e-06
occ_99.0,99.0,6.9617770663233925e-06
occ_44.0,44.0,6.721918519469912e-06
occ_85.0,85.0,5.2833661032637005e-06
occ_39.0,39.0,4.853428796120822e-06
occ_6.0,6.0,4.450091338367199e-06
occ_84.0,84.0,3.789013781962103e-06
occ_2.0,2.0,3.757655155903197e-06
occ_3.0,3.0,3.6308470451705568e-06
occ_83.0,83.0,3.502055068392239e-06
occ_53.0,53.0,3.1865102500056116e-06
occ_58.0,58.0,3.132616535263613e-06
occ_87.0,87.0,3.0008280140443395e-06
occ_19.0,19.0,2.62025578772383e-06
occ_93.0,93.0,2.3644667738283614e-06
occ_12.0,12.0,1.917246805994572e-06
occ_8.0,8.0,1.8887080640290944e-06
occ_95.0,95.0,1.858001806448424e-06
occ_16.0,16.0,1.851012545413268e-06
occ_77.0,77.0,1.630425006402746e-06
occ_73.0,73.0,1.353041220992706e-06
occ_15.0,15.0,1.3300863869787594e-06
occ_11.0,11.0,1.2296214462611315e-06
occ_5.0,5.0,1.144168497138058e-06
occ_71.0,71.0,1.0875483877815478e-06
occ_18.0,18.0,1.0200014198697825e-06
occ_55.0,55.0,9.52826942365002e-07
occ_32.0,32.0,9.440769004369432e-07
occ_7.0,7.0,9.148779036409652e-07
occ_4.0,4.0,8.471039509666808e-07
occ_30.0,30.0,7.408702305360081e-07
occ_1.0,1.0,7.374595266716952e-07
occ_31.0,31.0,7.040167148723929e-07
occ_40.0,40.0,6.395314754765555e-07
occ_34.0,34.0,5.974278823539075e-07
occ_89.0,89.0,5.973563423904133e-07
occ_50.0,50.0,5.936064720694301e-07
occ_59.0,59.0,5.691153842365423e-07
occ_42.0,42.0,4.922026056613375e-07
occ_60.0,60.0,4.907096063793046e-07
occ_37.0,37.0,4.472713528567893e-07
occ_35.0,35.0,3.846138889784928e-07
occ_79.0,79.0,3.8329383648358226e-07
occ_96.0,96.0,3.5617472449250977e-07
occ_14.0,14.0,3.408636602003493e-07
occ_75.0,75.0,3.048582554994417e-07
occ_92.0,92.0,2.653991039177137e-07
occ_54.0,54.0,2.589780004740785e-07
occ_81.0,81.0,2.554628483568585e-07
occ_17.0,17.0,2.497131318627259e-07
occ_33.0,33.0,2.3442687971107354e-07
occ_63.0,63.0,2.166847832974909e-07
occ_64.0,64.0,2.0782079673829517e-07
occ_9.0,9.0,1.0308270234963857e-07
occ_72.0,72.0,8.781326498137789e-08
occ_101.0,101.0,5.6273850757731624e-08
occ_56.0,56.0,5.3902329629636374e-08
occ_38.0,38.0,5.2224322558946105e-08
occ_74.0,74.0,4.8023040926636825e-08
occ_49.0,49.0,4.7188779609444155e-08
occ_57.0,57.0,4.1840855972363364e-08
occ_80.0,80.0,2.8986957281761403e-08
occ_36.0,36.0,2.3877455478733673e-08
occ_62.0,62.0,2.3047919256246786e-08
occ_86.0,86.0,2.2242745363525627e-08
occ_52.0,52.0,0.0
occ_94.0,94.0,0.0
occ_88.0,88.0,0.0
occ_82.0,82.0,0.0
occ_43.0,43.0,0.0
