Feature,Occupation Code,Average SHAP Value
occ_0.0,0.0,7.245901502760326e-05
occ_21.0,21.0,4.887948361716039e-05
occ_98.0,98.0,1.762573937514595e-05
occ_58.0,58.0,9.33317637103445e-06
occ_61.0,61.0,9.141157566395128e-06
occ_8.0,8.0,8.7825618761126e-06
occ_39.0,39.0,8.539268856119761e-06
occ_44.0,44.0,8.388883019988748e-06
occ_99.0,99.0,8.034183698893438e-06
occ_84.0,84.0,6.19433091266964e-06
occ_70.0,70.0,5.860147648844378e-06
occ_45.0,45.0,5.656673733265581e-06
occ_95.0,95.0,5.572200385920161e-06
occ_2.0,2.0,4.805356286012936e-06
occ_55.0,55.0,4.214395740792884e-06
occ_97.0,97.0,4.1463995454708234e-06
occ_3.0,3.0,3.5890955426813226e-06
occ_7.0,7.0,3.4922312685271913e-06
occ_6.0,6.0,3.354560903764134e-06
occ_79.0,79.0,2.0979301169863883e-06
occ_93.0,93.0,2.048665225900804e-06
occ_20.0,20.0,1.9306957267440976e-06
occ_85.0,85.0,1.6693319819148366e-06
occ_53.0,53.0,1.66415668338803e-06
occ_33.0,33.0,1.4719526776586588e-06
occ_40.0,40.0,1.305554995523252e-06
occ_13.0,13.0,1.1837557609900843e-06
occ_77.0,77.0,1.1559451159368348e-06
occ_19.0,19.0,1.0571628845791586e-06
occ_12.0,12.0,1.0403452172571889e-06
occ_83.0,83.0,1.0007647872698743e-06
occ_16.0,16.0,8.781481481439987e-07
occ_11.0,11.0,8.320758449876205e-07
occ_30.0,30.0,8.136025635467387e-07
occ_101.0,101.0,5.886448047167498e-07
occ_15.0,15.0,3.70067742540934e-07
occ_87.0,87.0,3.514471310232432e-07
occ_9.0,9.0,3.488130916708282e-07
occ_73.0,73.0,3.477236917970008e-07
occ_92.0,92.0,3.378233418084811e-07
occ_50.0,50.0,3.285521043248341e-07
occ_59.0,59.0,3.194592478747438e-07
occ_81.0,81.0,3.172048344068959e-07
occ_4.0,4.0,2.959510909796727e-07
occ_14.0,14.0,2.944758059113939e-07
occ_72.0,72.0,2.704699408204761e-07
occ_75.0,75.0,2.592384167531099e-07
occ_17.0,17.0,2.3970721930215533e-07
occ_54.0,54.0,2.037534746372595e-07
occ_32.0,32.0,1.8795621186395046e-07
occ_34.0,34.0,1.8078937590533846e-07
occ_60.0,60.0,1.6650943311313833e-07
occ_31.0,31.0,1.6118482801435417e-07
occ_37.0,37.0,1.340318728943141e-07
occ_18.0,18.0,1.2812790283766978e-07
occ_42.0,42.0,1.0792263713249537e-07
occ_5.0,5.0,7.614991313520089e-08
occ_71.0,71.0,6.943225368533085e-08
occ_38.0,38.0,6.53690373021943e-08
occ_57.0,57.0,6.510451360580713e-08
occ_96.0,96.0,5.46976666378215e-08
occ_74.0,74.0,3.4317597831042286e-08
occ_89.0,89.0,2.9292974845572773e-08
occ_62.0,62.0,2.7663286688039082e-08
occ_86.0,86.0,2.2490761977678633e-08
occ_80.0,80.0,1.0968728762236426e-08
occ_63.0,63.0,5.4286513808879794e-09
occ_1.0,1.0,4.732388569599217e-09
occ_64.0,64.0,4.132404708668348e-09
occ_94.0,94.0,3.896981100427053e-09
occ_35.0,35.0,3.025915543340878e-09
occ_56.0,56.0,1.952607750484146e-09
occ_49.0,49.0,5.318397571889884e-10
occ_52.0,52.0,0.0
occ_88.0,88.0,0.0
occ_43.0,43.0,0.0
occ_36.0,36.0,0.0
occ_82.0,82.0,0.0
