Feature,Average SHAP Value
twoind_33.0,0.0010701825890847758
twoind_0.0,0.0010619228676234911
occ_0.0,0.0009770434550015025
race_2.0,0.0009369020320436187
censdiv_2.0,0.0007141077612904909
twoind_9.0,0.0007131223135115577
race_1.0,0.0006095611697005535
agebin_2.0,0.000604530908549171
occ_84.0,0.000559986355367184
twoind_30.0,0.0005089088636948062
agebin_1.0,0.0004996272947607126
occ_8.0,0.0004948638093711669
censdiv_9.0,0.0004613293281397951
tenure,0.00046069855944714643
censdiv_3.0,0.0004539966256622083
agebin_3.0,0.0004310096426218131
censdiv_6.0,0.00042231063188281545
year_2017.0,0.0004173399872652116
year_1991.0,0.0004158726319693291
twoind_1.0,0.00035669481598918563
twoind_5.0,0.00035626010035364207
occ_70.0,0.00035513446385656146
year_2015.0,0.0003524368046900328
occ_21.0,0.0003482289101646927
occ_2.0,0.00034475632915898614
cohort_10.0,0.0003396740273471745
censdiv_7.0,0.0003176062255360384
year_1973.0,0.000311966180551465
year_2001.0,0.00031147804708599327
twoind_20.0,0.00030962223072822435
twoind_27.0,0.00030660448862991467
occ_39.0,0.00029747108968666684
twoind_10.0,0.000295961603578347
twoind_11.0,0.00029577969029931627
year_1974.0,0.0002847453990452252
twoind_3.0,0.0002844696729987135
twoind_28.0,0.00028275086157226813
year_2003.0,0.00027602904368597753
cohort_20.0,0.0002580717709942755
occ_61.0,0.00025743556779476686
occ_97.0,0.00024810365308641563
year_1975.0,0.0002422315711368409
year_1986.0,0.00023977480796372015
agebin_6.0,0.00023499380129189928
twoind_15.0,0.0002308320924020374
twoind_13.0,0.00022374877405199894
EDU3,0.00022340780275959557
censdiv_5.0,0.00022326770447301847
year_1980.0,0.00021667389865066632
censdiv_1.0,0.00020882100610047487
occ_85.0,0.00020838759141628282
year_1972.0,0.00020510901279391646
twoind_8.0,0.000199776381598286
year_1989.0,0.00019921123290111804
year_1992.0,0.00019855015860923718
race_5.0,0.0001975923028988918
PrRecess,0.00019736354314655306
occ_37.0,0.00019175450514456526
year_1979.0,0.00018325470379663432
year_1977.0,0.00018289240675452856
year_2005.0,0.00018185479111101373
occ_58.0,0.00018162483961234975
year_1997.0,0.0001768644716899313
EDU2,0.00016826490187026207
year_1976.0,0.00016713487217851397
twoind_29.0,0.00016295805201426678
year_2013.0,0.00016188487237181354
year_2011.0,0.00015872275598876074
EDU1,0.00015491551472088713
twoind_6.0,0.00015174119558943695
censdiv_4.0,0.00015126638049594063
cohort_40.0,0.00014793872633778727
twoind_12.0,0.00014777454301681626
OLF,0.00014621400275773236
year_1987.0,0.0001454854049535271
year_2009.0,0.00014353798983921288
occ_99.0,0.0001429626237985212
occ_55.0,0.00013848211817430066
year_1999.0,0.0001356255525051386
twoind_23.0,0.00012512256230181077
year_1988.0,0.0001226562534837451
cohort_30.0,0.00011373462908726346
occ_11.0,0.00010877070881379751
occ_19.0,0.00010703779453059108
occ_40.0,0.00010698615877144031
occ_98.0,0.00010177540015561063
occ_3.0,0.00010053684569782167
year_1995.0,9.72162708698432e-05
twoind_21.0,9.493523546669144e-05
year_1978.0,9.26312105417019e-05
twoind_16.0,9.19058424975656e-05
year_2019.0,9.02595357849995e-05
year_1993.0,8.98650389198945e-05
occ_44.0,8.655625014605798e-05
occ_101.0,8.528092339684339e-05
occ_96.0,8.380038779089223e-05
twoind_7.0,8.081177756749068e-05
occ_87.0,7.825370605575967e-05
twoind_31.0,7.793673211622186e-05
twoind_14.0,7.689936317629832e-05
year_1994.0,7.579554295396846e-05
twoind_19.0,7.524651899900557e-05
occ_7.0,7.306918718346522e-05
occ_77.0,7.086683662415347e-05
year_1990.0,6.936768874855006e-05
occ_95.0,6.640059177133708e-05
twoind_25.0,6.521370590910569e-05
year_1983.0,6.466761912901921e-05
year_1985.0,5.888019140397327e-05
censdiv_8.0,5.7910526471832065e-05
race_4.0,5.7609620300653667e-05
EDU4,5.673239812957642e-05
occ_92.0,5.362306031471661e-05
occ_13.0,5.2309061162345333e-05
occ_33.0,5.2292164988316934e-05
year_1982.0,5.164382353651217e-05
twoind_22.0,5.029476217993726e-05
twoind_18.0,4.9866702486968e-05
occ_30.0,4.9543638689576544e-05
occ_53.0,4.921791019626623e-05
year_1984.0,4.209799686414366e-05
occ_12.0,3.75684647837188e-05
year_2007.0,3.725748004233036e-05
race_3.0,3.396685586092703e-05
occ_83.0,3.1497299113843076e-05
occ_72.0,3.148990466276047e-05
occ_14.0,3.019840446560244e-05
occ_45.0,2.835298164717874e-05
occ_4.0,2.8315537858222227e-05
occ_34.0,2.796617540371205e-05
agebin_5.0,2.4748200190282284e-05
occ_31.0,2.1987428853088727e-05
occ_73.0,2.0463225359895398e-05
occ_74.0,1.878661353799643e-05
occ_32.0,1.6477235176999655e-05
occ_17.0,1.5003220074011857e-05
occ_60.0,1.3597753259685977e-05
agebin_4.0,1.2492005430558904e-05
occ_79.0,1.1880939575644243e-05
occ_20.0,1.135776444223984e-05
race_7.0,1.0993260422782304e-05
year_1981.0,1.0152027309663285e-05
occ_57.0,9.740845340037995e-06
twoind_34.0,9.512275777108565e-06
occ_50.0,9.010376176863372e-06
occ_75.0,8.912272729844387e-06
twoind_2.0,8.262246741514122e-06
occ_86.0,7.315144325806089e-06
