Feature,Average SHAP Value
twoind_0.0,0.0032892610906741773
occ_0.0,0.002886544712286581
race_2.0,0.001694876715441771
race_1.0,0.001485216649482275
EDU3,0.001447316874128052
cohort_10.0,0.0013466161036093174
censdiv_5.0,0.0011205858127462315
tenure,0.0010480484118560542
cohort_20.0,0.0009108466768413099
twoind_33.0,0.0007504193563898358
EDU2,0.0007191993537658455
cohort_40.0,0.0006433556116027255
PrRecess,0.0006299408761827664
twoind_30.0,0.0005802407499584377
twoind_27.0,0.0004811739376908414
cohort_30.0,0.00047704863273782426
twoind_1.0,0.0004488717206979979
year_1979.0,0.0004401046471335658
year_1991.0,0.0004157352995269809
occ_61.0,0.0004148298968933524
agebin_2.0,0.00038424124248799025
OLF,0.0003752000866016104
year_1982.0,0.0003733072982451081
year_1995.0,0.0003694567996660646
year_1975.0,0.00036779346421753523
year_1978.0,0.00033475741629847863
EDU4,0.00033214654776894757
censdiv_4.0,0.00032144705054636217
year_1973.0,0.00032016186382501864
occ_84.0,0.00031891174168733374
censdiv_6.0,0.00031377415689786347
twoind_20.0,0.00031011917843792695
agebin_1.0,0.0003057397342578474
year_1974.0,0.0002993717853092
year_2001.0,0.00029856159261906724
twoind_9.0,0.0002925305389641526
year_1977.0,0.00028771460961314355
twoind_11.0,0.0002876866472064789
year_1984.0,0.00027907125579801925
twoind_3.0,0.0002590685003187975
race_5.0,0.00025560680377486667
year_1972.0,0.0002485086917015058
year_2015.0,0.00024768096978174136
occ_99.0,0.0002466173914991256
occ_2.0,0.00023722520241434118
twoind_16.0,0.00023244012708413463
year_1976.0,0.00022689154762844558
occ_70.0,0.00022271449993444415
occ_8.0,0.00021747319996110842
year_2017.0,0.00020443233846227795
occ_98.0,0.00019843303454546545
twoind_18.0,0.0001876537662282737
censdiv_2.0,0.00018561353047742672
occ_95.0,0.00018412553157996623
occ_85.0,0.00018229959624397048
twoind_10.0,0.00017805955219514963
twoind_12.0,0.0001761908022032251
occ_40.0,0.0001751590358658829
twoind_28.0,0.0001745266667646687
year_1997.0,0.0001741790225224716
year_1981.0,0.0001735839053102703
censdiv_1.0,0.00017276157779080254
occ_21.0,0.00017148793241700142
occ_39.0,0.00016233081088893654
year_2007.0,0.00015962680670931687
year_2005.0,0.000159588171061328
censdiv_7.0,0.0001576688006501982
agebin_5.0,0.00015402777223379502
occ_55.0,0.00015400929199075979
year_2011.0,0.00013868457157756447
twoind_5.0,0.00013761813917197301
twoind_21.0,0.00012920983254213322
occ_3.0,0.00012608687712711134
occ_58.0,0.00012578423994902675
occ_37.0,0.00012383183290293822
year_1993.0,0.00012274660066854476
occ_13.0,0.00012017992988062492
