Feature,Average SHAP Value
agebin_2.0,8.583070688915081e-05
cohort_40.0,5.188653478855438e-05
agebin_3.0,5.082623841959033e-05
EDU3,4.433344819688191e-05
EDU2,4.174572922715543e-05
cohort_10.0,3.922292964357517e-05
cohort_30.0,3.817224856796793e-05
twoind_18.0,3.5695973117960517e-05
occ_21.0,3.297886948239252e-05
censdiv_6.0,3.149784406327771e-05
twoind_33.0,2.9879504615391078e-05
EDU1,2.7069299250877385e-05
occ_0.0,2.7017429752398038e-05
censdiv_4.0,2.6599688940390448e-05
censdiv_7.0,2.6343641097782024e-05
twoind_30.0,2.0765342807305714e-05
occ_13.0,2.0690218283063052e-05
agebin_1.0,2.0549514406509108e-05
twoind_0.0,2.0507657641867198e-05
twoind_27.0,1.9112998161789316e-05
agebin_4.0,1.9084577449228376e-05
twoind_9.0,1.762912155944756e-05
race_2.0,1.6715120375330223e-05
twoind_15.0,1.618668777855678e-05
agebin_5.0,1.4054862017705824e-05
year_1999.0,1.3501087329549986e-05
race_1.0,1.3266058363473825e-05
occ_45.0,1.2581860411022437e-05
year_1993.0,1.2288820038715875e-05
year_2011.0,1.2228007678075563e-05
twoind_3.0,1.1951721149854277e-05
occ_61.0,1.1591501379052958e-05
censdiv_1.0,1.1578091004855038e-05
year_2015.0,1.1290185367480653e-05
occ_70.0,1.0593941911331563e-05
twoind_1.0,1.0446581414534842e-05
twoind_12.0,1.0331075674937382e-05
tenure,1.0024514562410026e-05
twoind_10.0,9.390032779866097e-06
censdiv_2.0,9.224917658950305e-06
censdiv_3.0,9.165013531265577e-06
occ_98.0,8.908565355007469e-06
race_3.0,8.449198206994744e-06
year_2005.0,8.215597449423505e-06
year_2007.0,8.201659783556733e-06
year_1979.0,8.031779469589578e-06
occ_97.0,7.581983421081018e-06
occ_20.0,7.180607519611447e-06
occ_99.0,6.9617770663233925e-06
occ_44.0,6.721918519469912e-06
cohort_20.0,6.333142710616555e-06
year_1973.0,6.2456866987756365e-06
year_2013.0,6.223204998420064e-06
year_2001.0,6.146735390440353e-06
twoind_22.0,5.994906930294491e-06
censdiv_5.0,5.962103214067478e-06
year_1988.0,5.329886846358671e-06
occ_85.0,5.2833661032637005e-06
year_1987.0,5.040810833589479e-06
occ_39.0,4.853428796120822e-06
twoind_29.0,4.698789073794618e-06
occ_6.0,4.450091338367199e-06
year_1995.0,4.374037990180237e-06
year_1975.0,3.911736751048006e-06
occ_84.0,3.789013781962103e-06
twoind_8.0,3.7608699183661577e-06
occ_2.0,3.757655155903197e-06
year_1976.0,3.7436520897317755e-06
occ_3.0,3.6308470451705568e-06
occ_83.0,3.502055068392239e-06
twoind_11.0,3.1906050099410725e-06
occ_53.0,3.1865102500056116e-06
occ_58.0,3.1326165352636126e-06
year_2009.0,3.123291666561276e-06
occ_87.0,3.0008280140443395e-06
year_2017.0,2.9993674294091812e-06
twoind_28.0,2.9664045831762314e-06
EDU4,2.930339940765929e-06
race_5.0,2.818985341481768e-06
occ_19.0,2.62025578772383e-06
year_1997.0,2.58590415076469e-06
twoind_13.0,2.516313832710568e-06
year_1978.0,2.500001713212571e-06
