Feature,Average SHAP Value
cohort_40.0,0.0001391106771903077
race_1.0,0.0001233923701561872
agebin_1.0,0.00011800325787182177
EDU1,0.00011542810716992257
cohort_20.0,0.0001080470351690557
agebin_2.0,0.00010762784739740881
cohort_30.0,9.964247645865982e-05
agebin_3.0,9.066923185434582e-05
race_2.0,8.749285455162018e-05
twoind_0.0,8.5049153786668e-05
censdiv_3.0,7.536032416138508e-05
occ_0.0,7.245901502760326e-05
cohort_10.0,6.859692874058549e-05
censdiv_9.0,6.478655321416283e-05
censdiv_5.0,6.20677762479339e-05
EDU2,5.537916890987452e-05
EDU3,5.4865049971375735e-05
occ_21.0,4.887948361716039e-05
PrRecess,4.518792007237201e-05
censdiv_4.0,4.00738578878476e-05
agebin_4.0,2.960482367471972e-05
censdiv_6.0,2.9360165620164505e-05
twoind_30.0,2.9202746801244633e-05
censdiv_7.0,2.9183021221675762e-05
tenure,2.632181142324499e-05
twoind_18.0,2.438534689726245e-05
censdiv_2.0,2.3952246278287467e-05
race_5.0,2.2753308103577797e-05
censdiv_8.0,2.0449040938285216e-05
EDU4,1.8882757415662385e-05
twoind_15.0,1.8383957307586138e-05
occ_98.0,1.762573937514595e-05
twoind_33.0,1.7586083905787985e-05
twoind_27.0,1.6827569852292107e-05
twoind_16.0,1.5317696366716907e-05
year_2013.0,1.4982472617054443e-05
twoind_9.0,1.4443815610936979e-05
year_1984.0,1.4041319513028184e-05
year_2009.0,1.3430529441501542e-05
agebin_5.0,1.3333523259144826e-05
twoind_21.0,1.3153844804311805e-05
year_1986.0,1.2758878017800669e-05
twoind_11.0,1.2295237092450887e-05
twoind_1.0,1.1503840638158339e-05
year_2005.0,1.1495999394583379e-05
year_2001.0,1.1377707103907606e-05
year_1999.0,1.1246844384154011e-05
year_1990.0,1.1222971601935566e-05
year_1973.0,1.1008968782577934e-05
year_2015.0,1.0756495074892868e-05
year_1981.0,1.0345079063155164e-05
year_1997.0,9.684335003598659e-06
year_2011.0,9.397394823060136e-06
occ_58.0,9.33317637103445e-06
year_1995.0,9.273738075151663e-06
occ_61.0,9.141157566395128e-06
censdiv_1.0,8.83225618284111e-06
occ_8.0,8.7825618761126e-06
occ_39.0,8.539268856119761e-06
year_1988.0,8.452317150205733e-06
year_1989.0,8.446708973621879e-06
year_2003.0,8.439901902527432e-06
occ_44.0,8.388883019988748e-06
race_3.0,8.270868117222575e-06
occ_99.0,8.034183698893438e-06
year_2007.0,7.974400510982401e-06
twoind_14.0,7.503093891860235e-06
year_1979.0,7.255994769977421e-06
year_1982.0,7.209407475144992e-06
year_1985.0,7.090927210000315e-06
year_1987.0,6.959091696231294e-06
twoind_28.0,6.632749247223317e-06
occ_84.0,6.19433091266964e-06
year_1978.0,6.1441235532318934e-06
twoind_20.0,5.906715163611795e-06
occ_70.0,5.860147648844378e-06
twoind_29.0,5.664077886255518e-06
occ_45.0,5.656673733265581e-06
occ_95.0,5.572200385920161e-06
twoind_10.0,5.52405184269549e-06
year_1977.0,5.040023602042171e-06
year_1991.0,4.980046779694789e-06
occ_2.0,4.805356286012936e-06
year_1993.0,4.785234998957347e-06
twoind_13.0,4.543299261106367e-06
twoind_22.0,4.296468647263421e-06
occ_55.0,4.214395740792884e-06
occ_97.0,4.1463995454708234e-06
year_1974.0,4.0913286121795e-06
year_1983.0,4.04194732505129e-06
occ_3.0,3.5890955426813226e-06
year_1976.0,3.5284929986436074e-06
occ_7.0,3.4922312685271913e-06
year_1972.0,3.4045901985622886e-06
occ_6.0,3.354560903764134e-06
twoind_3.0,2.8428413822111874e-06
twoind_5.0,2.5664864118277454e-06
twoind_12.0,2.2107659076032884e-06
twoind_8.0,2.209723000516532e-06
occ_79.0,2.0979301169863883e-06
race_7.0,2.063979777885841e-06
occ_93.0,2.048665225900804e-06
occ_20.0,1.9306957267440976e-06
twoind_24.0,1.9221368986847135e-06
occ_85.0,1.6693319819148366e-06
occ_53.0,1.66415668338803e-06
year_1975.0,1.629134022496667e-06
twoind_6.0,1.5649355583466697e-06
occ_33.0,1.4719526776586588e-06
occ_40.0,1.305554995523252e-06
OLF,1.2062313272285176e-06
