Feature,Industry Code,Average SHAP Value
twoind_0.0,0.0,0.0024683945641484
twoind_30.0,30.0,0.0009069567828012
twoind_15.0,15.0,0.0006867649370466
twoind_14.0,14.0,0.0005197091500807
twoind_1.0,1.0,0.000380581267932
twoind_29.0,29.0,0.0003251561695629
twoind_18.0,18.0,0.0002597082029911
twoind_25.0,25.0,0.0001236286225708
twoind_33.0,33.0,0.000116791784755
twoind_21.0,21.0,0.0001062724444007
twoind_9.0,9.0,0.0001010096781115
twoind_24.0,24.0,7.800229280173551e-05
twoind_16.0,16.0,6.497274021896445e-05
twoind_4.0,4.0,3.9222434297381415e-05
twoind_11.0,11.0,3.756531979901731e-05
twoind_22.0,22.0,3.604082109097811e-05
twoind_3.0,3.0,2.8117534100492036e-05
twoind_27.0,27.0,2.4838147283698423e-05
twoind_28.0,28.0,2.02061331240914e-05
twoind_10.0,10.0,1.800479328185494e-05
twoind_2.0,2.0,1.4901442350570836e-05
twoind_7.0,7.0,1.2969510881317056e-05
twoind_8.0,8.0,1.1076614920732384e-05
twoind_20.0,20.0,1.0746156973785368e-05
twoind_34.0,34.0,1.0530749261777983e-05
twoind_13.0,13.0,9.160714707857143e-06
twoind_31.0,31.0,8.686013275171494e-06
twoind_23.0,23.0,7.93841376417653e-06
twoind_19.0,19.0,4.998891258446146e-06
twoind_12.0,12.0,4.826537766624339e-06
twoind_32.0,32.0,4.554744344214023e-06
twoind_5.0,5.0,2.6178073665709036e-06
twoind_6.0,6.0,1.6492254465693211e-06
