Feature,Industry Code,Average SHAP Value
twoind_0.0,0.0,0.0060196769874421
twoind_30.0,30.0,0.0013076576694188
twoind_15.0,15.0,0.0009055748732484
twoind_29.0,29.0,0.0004410067598032
twoind_1.0,1.0,0.0002764737974785
twoind_14.0,14.0,0.0002639513154895
twoind_33.0,33.0,0.0002157394103959
twoind_18.0,18.0,0.0001505080939482
twoind_25.0,25.0,0.0001430477184099
twoind_22.0,22.0,8.832762993603551e-05
twoind_21.0,21.0,8.776644479826929e-05
twoind_11.0,11.0,7.955584903463866e-05
twoind_24.0,24.0,6.25538976615845e-05
twoind_16.0,16.0,4.610607289870106e-05
twoind_13.0,13.0,4.2141905571640016e-05
twoind_9.0,9.0,3.1181268763713736e-05
twoind_8.0,8.0,3.0100862541574297e-05
twoind_31.0,31.0,2.6802642911837295e-05
twoind_19.0,19.0,2.680018003804455e-05
twoind_12.0,12.0,1.999589474571845e-05
twoind_7.0,7.0,1.9439750187625543e-05
twoind_28.0,28.0,1.7128536821038176e-05
twoind_3.0,3.0,1.4859895736271573e-05
twoind_27.0,27.0,1.4091070123885058e-05
twoind_20.0,20.0,1.3994601735962004e-05
twoind_4.0,4.0,1.3356086422874698e-05
twoind_10.0,10.0,1.1242259819638325e-05
twoind_2.0,2.0,9.859065095511042e-06
twoind_23.0,23.0,9.71898815227316e-06
twoind_6.0,6.0,5.381148579779754e-06
twoind_5.0,5.0,4.396777006392714e-06
twoind_34.0,34.0,3.3051118428892426e-06
twoind_32.0,32.0,2.7852075689600673e-06
