Feature,Industry Code,Average SHAP Value
twoind_14.0,14.0,0.0002484810642678
twoind_0.0,0.0,0.0002381141999529
twoind_30.0,30.0,0.0002211416620272
twoind_1.0,1.0,0.0001928875742298
twoind_15.0,15.0,5.705575797662894e-05
twoind_24.0,24.0,4.53027035005528e-05
twoind_18.0,18.0,4.2246219386938536e-05
twoind_22.0,22.0,4.128696033429786e-05
twoind_33.0,33.0,3.359563764613792e-05
twoind_29.0,29.0,3.138618367514211e-05
twoind_16.0,16.0,1.677485950279803e-05
twoind_23.0,23.0,1.5194311734566734e-05
twoind_13.0,13.0,1.4867783150548302e-05
twoind_9.0,9.0,1.479408224514651e-05
twoind_34.0,34.0,1.3582117321469674e-05
twoind_21.0,21.0,1.3195102703810496e-05
twoind_11.0,11.0,1.1032043105653175e-05
twoind_25.0,25.0,8.345518861797261e-06
twoind_28.0,28.0,7.403321792486924e-06
twoind_31.0,31.0,6.761458740070974e-06
twoind_8.0,8.0,5.841359602290363e-06
twoind_27.0,27.0,5.002096909482551e-06
twoind_7.0,7.0,4.996617736984987e-06
twoind_20.0,20.0,4.939458958595083e-06
twoind_3.0,3.0,4.08986492185588e-06
twoind_4.0,4.0,3.8322803667533865e-06
twoind_12.0,12.0,2.8673742295243188e-06
twoind_10.0,10.0,2.563157195782685e-06
twoind_2.0,2.0,1.4146934118124472e-06
twoind_5.0,5.0,1.2944929092859993e-06
twoind_19.0,19.0,5.33008294531664e-07
twoind_6.0,6.0,4.042145047027044e-07
twoind_32.0,32.0,0.0
