Feature,Industry Code,Average SHAP Value
twoind_0.0,0.0,0.0008900381563703
twoind_30.0,30.0,0.0003589655011265
twoind_15.0,15.0,0.0001504471333388
twoind_1.0,1.0,0.0001354388701526
twoind_29.0,29.0,9.449393167600916e-05
twoind_21.0,21.0,5.4632578187351514e-05
twoind_18.0,18.0,4.7205358000261976e-05
twoind_24.0,24.0,3.906953613958068e-05
twoind_11.0,11.0,3.789469922972276e-05
twoind_4.0,4.0,1.826612443602128e-05
twoind_22.0,22.0,1.4949953953563025e-05
twoind_14.0,14.0,1.3567577793489109e-05
twoind_13.0,13.0,1.106996419109006e-05
twoind_27.0,27.0,1.079717744622835e-05
twoind_25.0,25.0,1.0038049507193876e-05
twoind_9.0,9.0,9.471965356326736e-06
twoind_28.0,28.0,9.377561572686512e-06
twoind_5.0,5.0,8.39556596851249e-06
twoind_8.0,8.0,7.24415487771331e-06
twoind_10.0,10.0,7.173375453123144e-06
twoind_16.0,16.0,6.991251891042497e-06
twoind_23.0,23.0,5.920417215478374e-06
twoind_20.0,20.0,5.480848431232865e-06
twoind_33.0,33.0,5.233477279142446e-06
twoind_3.0,3.0,4.6376213507636426e-06
twoind_34.0,34.0,4.409940020980616e-06
twoind_32.0,32.0,4.301001251953512e-06
twoind_6.0,6.0,2.954529428008887e-06
twoind_12.0,12.0,2.569294339825186e-06
twoind_7.0,7.0,2.3147438719438154e-06
twoind_31.0,31.0,2.0473928124449217e-06
twoind_19.0,19.0,1.2334470353839397e-06
twoind_2.0,2.0,5.626352848408172e-07
