Feature,Occupation Code,Average SHAP Value
occ_0.0,0.0,0.0019980542190822
occ_61.0,61.0,0.0009247630518197
occ_21.0,21.0,0.0008275329554896
occ_44.0,44.0,0.0002514136082548
occ_98.0,98.0,0.0002271037722739
occ_95.0,95.0,0.0001650070565301
occ_53.0,53.0,0.000148536873475
occ_99.0,99.0,0.0001461833000427
occ_17.0,17.0,0.000110482368987
occ_84.0,84.0,9.046171820923094e-05
occ_73.0,73.0,8.070207766465785e-05
occ_57.0,57.0,7.832496973744485e-05
occ_2.0,2.0,7.3482792178175e-05
occ_64.0,64.0,6.858219776623323e-05
occ_20.0,20.0,6.06109287939138e-05
occ_85.0,85.0,5.42600609372928e-05
occ_45.0,45.0,5.043748964858677e-05
occ_19.0,19.0,4.673441718631871e-05
occ_13.0,13.0,3.943456302604185e-05
occ_87.0,87.0,3.6960850568640835e-05
occ_101.0,101.0,3.1174151021883926e-05
occ_11.0,11.0,2.905616325353763e-05
occ_55.0,55.0,2.415952818488001e-05
occ_16.0,16.0,2.220225766514107e-05
occ_5.0,5.0,2.184690790528336e-05
occ_50.0,50.0,2.1666179453985013e-05
occ_93.0,93.0,2.143213683087742e-05
occ_33.0,33.0,1.951152187233251e-05
occ_97.0,97.0,1.9010872372919016e-05
occ_3.0,3.0,1.7017883272947123e-05
occ_54.0,54.0,1.6966196770506403e-05
occ_6.0,6.0,1.6358782937157528e-05
occ_79.0,79.0,1.6345249664056448e-05
occ_8.0,8.0,1.6138668275407766e-05
occ_12.0,12.0,1.575420479360602e-05
occ_1.0,1.0,1.2399596603824927e-05
occ_92.0,92.0,1.2106028261898686e-05
occ_7.0,7.0,1.1747459615009984e-05
occ_58.0,58.0,1.142433653340432e-05
occ_77.0,77.0,1.118232813703726e-05
occ_86.0,86.0,1.112320757752327e-05
occ_59.0,59.0,1.067735342808852e-05
occ_18.0,18.0,1.0579484284462057e-05
occ_9.0,9.0,1.0498781015872362e-05
occ_56.0,56.0,9.848240112306671e-06
occ_15.0,15.0,9.791053671826638e-06
occ_70.0,70.0,9.319238339295248e-06
occ_38.0,38.0,8.82573497863221e-06
occ_4.0,4.0,8.47357271249598e-06
occ_39.0,39.0,8.439976467798204e-06
occ_40.0,40.0,7.748563160890359e-06
occ_31.0,31.0,7.273161565219184e-06
occ_30.0,30.0,7.21467748998295e-06
occ_81.0,81.0,5.267238264677052e-06
occ_37.0,37.0,5.252573573881034e-06
occ_43.0,43.0,4.924190429206525e-06
occ_71.0,71.0,4.397623450305737e-06
occ_42.0,42.0,2.3930658317484877e-06
occ_75.0,75.0,1.9802189241066636e-06
occ_60.0,60.0,1.946273024178359e-06
occ_62.0,62.0,1.392158920296756e-06
occ_14.0,14.0,1.3485720611633152e-06
occ_32.0,32.0,1.187653189943537e-06
occ_83.0,83.0,6.637593762574719e-07
occ_72.0,72.0,5.298209945851364e-07
occ_63.0,63.0,2.3749307301592437e-07
occ_35.0,35.0,1.770515623160887e-07
occ_49.0,49.0,1.4792357913279624e-07
occ_74.0,74.0,1.4354272139869504e-07
occ_96.0,96.0,1.149583484956141e-07
occ_80.0,80.0,2.226689947218471e-08
occ_52.0,52.0,0.0
occ_94.0,94.0,0.0
occ_89.0,89.0,0.0
occ_88.0,88.0,0.0
occ_34.0,34.0,0.0
occ_82.0,82.0,0.0
occ_36.0,36.0,0.0
