Feature,Occupation Code,Average SHAP Value
occ_0.0,0.0,0.0014144809430346
occ_61.0,61.0,0.0010043509456807
occ_44.0,44.0,0.000351822357169
occ_98.0,98.0,0.0002619092363414
occ_99.0,99.0,0.0002472448387691
occ_21.0,21.0,0.0002447097251376
occ_95.0,95.0,0.0002378689119947
occ_84.0,84.0,0.0001339738149645
occ_73.0,73.0,0.0001059632819221
occ_87.0,87.0,0.0001024278310607
occ_53.0,53.0,9.605889957600933e-05
occ_85.0,85.0,7.824773416266757e-05
occ_97.0,97.0,7.29696808151148e-05
occ_93.0,93.0,7.087680453565517e-05
occ_57.0,57.0,7.014228732786963e-05
occ_7.0,7.0,6.911334679590294e-05
occ_45.0,45.0,6.356511939656789e-05
occ_58.0,58.0,5.955754560136464e-05
occ_20.0,20.0,5.495393602971757e-05
occ_55.0,55.0,4.778048398047419e-05
occ_39.0,39.0,3.980231055686816e-05
occ_50.0,50.0,3.973352620632152e-05
occ_59.0,59.0,3.819583231960672e-05
occ_37.0,37.0,2.8575113367632217e-05
occ_17.0,17.0,2.8160910003584312e-05
occ_13.0,13.0,2.724936506233913e-05
occ_33.0,33.0,2.531015983388335e-05
occ_19.0,19.0,2.3797786913273756e-05
occ_60.0,60.0,2.0716985745656508e-05
occ_14.0,14.0,1.9739446198413885e-05
occ_16.0,16.0,1.9509660567415623e-05
occ_2.0,2.0,1.641633348941226e-05
occ_8.0,8.0,1.614544068441537e-05
occ_43.0,43.0,1.5627627267181564e-05
occ_54.0,54.0,1.4922539278654632e-05
occ_11.0,11.0,1.4151473847821656e-05
occ_40.0,40.0,1.366509885958512e-05
occ_92.0,92.0,1.3554756753596047e-05
occ_5.0,5.0,1.3542842982681711e-05
occ_3.0,3.0,1.1876627439762624e-05
occ_79.0,79.0,1.0834361210301046e-05
occ_15.0,15.0,1.062454138067131e-05
occ_64.0,64.0,9.775513150847004e-06
occ_12.0,12.0,9.716452459686212e-06
occ_70.0,70.0,9.39710042971236e-06
occ_18.0,18.0,9.020005115387926e-06
occ_6.0,6.0,8.951662702825665e-06
occ_101.0,101.0,8.771315554052482e-06
occ_81.0,81.0,8.20064223979167e-06
occ_83.0,83.0,7.264047540104139e-06
occ_56.0,56.0,6.98366808421453e-06
occ_72.0,72.0,5.027954679406855e-06
occ_9.0,9.0,4.6289363052420445e-06
occ_30.0,30.0,3.8435211078018346e-06
occ_1.0,1.0,3.4732058904942124e-06
occ_42.0,42.0,2.9567335505379895e-06
occ_77.0,77.0,2.7619167079651203e-06
occ_38.0,38.0,2.393188060652805e-06
occ_74.0,74.0,2.0421603721690673e-06
occ_96.0,96.0,1.6931240034887034e-06
occ_71.0,71.0,1.3636635120407456e-06
occ_49.0,49.0,7.272745260491266e-07
occ_31.0,31.0,5.332220736214037e-07
occ_62.0,62.0,4.013379550655568e-07
occ_75.0,75.0,3.904833764061278e-07
occ_4.0,4.0,3.368000038354752e-07
occ_35.0,35.0,2.819090848147503e-07
occ_63.0,63.0,2.613318984266062e-07
occ_32.0,32.0,1.1272161125084105e-07
occ_80.0,80.0,7.47788714508131e-08
occ_34.0,34.0,2.8927526269427473e-08
occ_52.0,52.0,0.0
occ_36.0,36.0,0.0
occ_94.0,94.0,0.0
occ_89.0,89.0,0.0
occ_88.0,88.0,0.0
occ_86.0,86.0,0.0
occ_82.0,82.0,0.0
