Feature,Occupation Code,Average SHAP Value
occ_6.0,6.0,0.0002644083652045
occ_21.0,21.0,0.0001750852588738
occ_44.0,44.0,0.0001347984702516
occ_45.0,45.0,8.35701679778242e-05
occ_61.0,61.0,6.946565398025592e-05
occ_97.0,97.0,5.3396197644096315e-05
occ_57.0,57.0,4.9578504329056346e-05
occ_0.0,0.0,3.663309694741977e-05
occ_38.0,38.0,3.5505812255476976e-05
occ_73.0,73.0,3.427219133057724e-05
occ_20.0,20.0,3.26926586924796e-05
occ_93.0,93.0,2.577819823879637e-05
occ_50.0,50.0,2.4114069583893507e-05
occ_84.0,84.0,2.3806890331967902e-05
occ_15.0,15.0,2.030149968809835e-05
occ_13.0,13.0,1.939896876606613e-05
occ_12.0,12.0,1.565654963916652e-05
occ_40.0,40.0,1.4580776592089636e-05
occ_99.0,99.0,1.3007380871220982e-05
occ_95.0,95.0,1.2340875654846608e-05
occ_59.0,59.0,1.0123089677668016e-05
occ_60.0,60.0,9.637704112149077e-06
occ_4.0,4.0,9.008293674604948e-06
occ_53.0,53.0,7.807269961174554e-06
occ_87.0,87.0,7.66674976336219e-06
occ_39.0,39.0,7.2340426048154594e-06
occ_62.0,62.0,6.984833579825584e-06
occ_18.0,18.0,6.669690681832315e-06
occ_42.0,42.0,6.511468018951115e-06
occ_9.0,9.0,6.4141507445995845e-06
occ_70.0,70.0,6.313221132779472e-06
occ_54.0,54.0,6.243193460144949e-06
occ_98.0,98.0,6.23141748405539e-06
occ_14.0,14.0,6.1838898824461125e-06
occ_17.0,17.0,6.17638733763832e-06
occ_11.0,11.0,5.538265875842406e-06
occ_19.0,19.0,5.504787166483163e-06
occ_55.0,55.0,5.057142478453054e-06
occ_2.0,2.0,5.002217626424362e-06
occ_35.0,35.0,4.8177798857758835e-06
occ_85.0,85.0,4.404359061435118e-06
occ_1.0,1.0,4.323274527645272e-06
occ_71.0,71.0,4.105442120520414e-06
occ_8.0,8.0,3.728181997838289e-06
occ_83.0,83.0,2.9422890547056027e-06
occ_5.0,5.0,2.766063289133433e-06
occ_30.0,30.0,2.5332481885361914e-06
occ_79.0,79.0,2.4682137379726455e-06
occ_33.0,33.0,2.356208191074654e-06
occ_101.0,101.0,2.2370823853042683e-06
occ_77.0,77.0,2.2232439120104018e-06
occ_58.0,58.0,1.8429665121925408e-06
occ_16.0,16.0,1.441404722354228e-06
occ_3.0,3.0,1.391068702561871e-06
occ_36.0,36.0,1.2968942884305393e-06
occ_92.0,92.0,1.0842387255911986e-06
occ_31.0,31.0,1.0656953888018692e-06
occ_37.0,37.0,9.989200227612415e-07
occ_64.0,64.0,9.783188022844631e-07
occ_7.0,7.0,7.251807256778405e-07
occ_74.0,74.0,6.517418737013963e-07
occ_88.0,88.0,4.707244710342551e-07
occ_49.0,49.0,4.4521721206380155e-07
occ_63.0,63.0,4.035442847564558e-07
occ_43.0,43.0,3.572967251645282e-07
occ_34.0,34.0,2.7519340767585917e-07
occ_72.0,72.0,1.681142665357928e-07
occ_96.0,96.0,1.5950900468358673e-07
occ_86.0,86.0,8.635490789482285e-08
occ_81.0,81.0,8.021245987621621e-08
occ_56.0,56.0,1.7343229050988176e-08
occ_52.0,52.0,0.0
occ_82.0,82.0,0.0
occ_89.0,89.0,0.0
occ_80.0,80.0,0.0
occ_94.0,94.0,0.0
occ_32.0,32.0,0.0
occ_75.0,75.0,0.0
