Feature,Occupation Code,Average SHAP Value
occ_21.0,21.0,0.0003484649552286
occ_61.0,61.0,0.0001948798066959
occ_0.0,0.0,0.0001411715053323
occ_44.0,44.0,8.480626944520614e-05
occ_6.0,6.0,7.055529188406911e-05
occ_73.0,73.0,6.76165187228703e-05
occ_50.0,50.0,4.810735682046607e-05
occ_93.0,93.0,4.603804973568712e-05
occ_8.0,8.0,4.102536534357594e-05
occ_99.0,99.0,4.083528956160704e-05
occ_20.0,20.0,3.3462002859263e-05
occ_95.0,95.0,3.3058892557454495e-05
occ_84.0,84.0,2.4450048050098224e-05
occ_55.0,55.0,2.126507544140167e-05
occ_18.0,18.0,2.1214025322496443e-05
occ_53.0,53.0,1.9976773021872614e-05
occ_42.0,42.0,1.7040235016493973e-05
occ_98.0,98.0,1.5705199544451268e-05
occ_13.0,13.0,1.3604816410800537e-05
occ_87.0,87.0,1.253521851506184e-05
occ_17.0,17.0,1.222726350653367e-05
occ_97.0,97.0,9.700402250232669e-06
occ_85.0,85.0,9.64160187926567e-06
occ_39.0,39.0,9.393165687896655e-06
occ_88.0,88.0,9.03445335956435e-06
occ_45.0,45.0,9.0308325151931e-06
occ_64.0,64.0,8.069908624179984e-06
occ_43.0,43.0,7.127409581922483e-06
occ_40.0,40.0,7.050695148717305e-06
occ_83.0,83.0,6.838391507352039e-06
occ_58.0,58.0,6.585640322882739e-06
occ_15.0,15.0,5.067225851470245e-06
occ_38.0,38.0,4.9024394546591975e-06
occ_57.0,57.0,4.840293106246552e-06
occ_56.0,56.0,4.509937713379541e-06
occ_11.0,11.0,4.490567191367635e-06
occ_74.0,74.0,4.361633509882711e-06
occ_33.0,33.0,4.2356743388443045e-06
occ_16.0,16.0,4.2111673171517505e-06
occ_2.0,2.0,3.9629176197635336e-06
occ_92.0,92.0,3.873205434896142e-06
occ_35.0,35.0,3.597819845226202e-06
occ_30.0,30.0,3.5364229616430982e-06
occ_59.0,59.0,3.348906818551191e-06
occ_7.0,7.0,3.3342023794949866e-06
occ_37.0,37.0,3.1298727608997037e-06
occ_71.0,71.0,2.8635213956048416e-06
occ_3.0,3.0,2.8431799793791947e-06
occ_12.0,12.0,2.5929240079002513e-06
occ_19.0,19.0,2.473470057807107e-06
occ_54.0,54.0,2.443556088679419e-06
occ_49.0,49.0,2.268682484495196e-06
occ_14.0,14.0,2.1559490823443146e-06
occ_70.0,70.0,2.1477174654139614e-06
occ_4.0,4.0,1.9149130094196296e-06
occ_77.0,77.0,1.6802063177983118e-06
occ_79.0,79.0,1.6522027091402943e-06
occ_1.0,1.0,1.6150750122937326e-06
occ_34.0,34.0,1.5403532676117222e-06
occ_5.0,5.0,1.439808724602225e-06
occ_101.0,101.0,9.731341691403606e-07
occ_82.0,82.0,8.948270916402872e-07
occ_31.0,31.0,8.693827011676904e-07
occ_60.0,60.0,7.925548882925672e-07
occ_81.0,81.0,6.568297023269026e-07
occ_32.0,32.0,6.393526166990014e-07
occ_80.0,80.0,5.549778372734893e-07
occ_72.0,72.0,4.5906843310262866e-07
occ_9.0,9.0,4.417744862257427e-07
occ_62.0,62.0,3.667260941388987e-07
occ_96.0,96.0,3.62126062342232e-07
occ_63.0,63.0,4.9256115173457175e-08
occ_89.0,89.0,0.0
occ_94.0,94.0,0.0
occ_52.0,52.0,0.0
occ_36.0,36.0,0.0
occ_86.0,86.0,0.0
occ_75.0,75.0,0.0
