Feature,Average SHAP Value,Abs Mean SHAP (Net directional)
currentage,0.0007167718030602758,0.00020163934881193315
PrRecess,0.0010611898641218905,0.0002434575938326207
OLF,0.0007562987426684626,8.589375851806792e-05
tenure,0.006272615531929494,0.001311342191576255
currentagesq,0.0006498152249520618,0.00017073624561896858
currentagecube,0.000697788569482122,0.00015915777966707853
race_1.0,0.0009671475534383706,8.81274082492668e-05
race_2.0,0.0017737959817084742,1.5765466402444036e-05
race_3.0,8.28104426129243e-05,2.718086357717744e-05
race_4.0,1.0364401476119638e-05,7.561297772986472e-08
race_5.0,6.424034845917389e-05,1.1631931054598329e-05
race_7.0,5.998115494171347e-05,1.6926351910369474e-05
occ_0.0,0.0014144809430346697,0.00014807452415417307
occ_1.0,3.4732058904942124e-06,3.4732058904942124e-06
occ_2.0,1.641633348941226e-05,3.4523698058490686e-06
occ_3.0,1.1876627439762624e-05,1.9462160364135699e-07
occ_4.0,3.368000038354752e-07,6.688809266578536e-09
occ_5.0,1.3542842982681713e-05,1.110645953541108e-05
occ_6.0,8.951662702825665e-06,7.751174664295066e-06
occ_7.0,6.911334679590294e-05,3.6641207582156444e-05
occ_8.0,1.614544068441537e-05,1.3185073609154054e-06
occ_9.0,4.6289363052420445e-06,2.896686732766867e-06
occ_11.0,1.4151473847821655e-05,6.606131808607195e-06
occ_12.0,9.716452459686212e-06,9.050995774371129e-09
occ_13.0,2.7249365062339126e-05,3.977771661998843e-06
occ_14.0,1.9739446198413885e-05,6.066835650423426e-07
occ_15.0,1.062454138067131e-05,8.910505756523739e-06
occ_16.0,1.9509660567415623e-05,1.904340580966394e-05
occ_17.0,2.8160910003584312e-05,1.3359970651613096e-05
occ_18.0,9.020005115387926e-06,9.020005115387926e-06
occ_19.0,2.3797786913273756e-05,7.393201898770797e-06
occ_20.0,5.495393602971757e-05,2.648671753038953e-05
occ_21.0,0.00024470972513768695,3.308295631663986e-05
occ_30.0,3.8435211078018346e-06,7.559145394800549e-07
occ_31.0,5.332220736214037e-07,3.754009114826476e-07
occ_32.0,1.1272161125084104e-07,1.1272161125084104e-07
occ_33.0,2.531015983388335e-05,1.1289023069218232e-07
occ_34.0,2.892752626942747e-08,2.849496934060835e-08
occ_35.0,2.819090848147503e-07,2.819090848147503e-07
occ_36.0,0.0,0.0
occ_37.0,2.8575113367632217e-05,8.7943478246863e-06
occ_38.0,2.393188060652805e-06,2.3875042308802903e-06
occ_39.0,3.980231055686816e-05,3.5558511848286583e-06
occ_40.0,1.366509885958512e-05,3.0342467069553552e-06
occ_42.0,2.9567335505379895e-06,2.9567335505379895e-06
occ_43.0,1.5627627267181564e-05,1.5627627267181564e-05
occ_44.0,0.0003518223571690834,0.000155477084361516
occ_45.0,6.356511939656789e-05,3.1874134739078586e-06
occ_49.0,7.272745260491266e-07,7.272745260491266e-07
occ_50.0,3.973352620632152e-05,1.4606306990750378e-05
occ_52.0,0.0,0.0
occ_53.0,9.605889957600933e-05,1.8481784999451237e-05
occ_54.0,1.4922539278654632e-05,3.767978039954548e-06
occ_55.0,4.778048398047419e-05,1.5125939371347447e-05
occ_56.0,6.98366808421453e-06,6.98366808421453e-06
occ_57.0,7.014228732786963e-05,1.68181099017123e-06
occ_58.0,5.9557545601364644e-05,2.2247445629439815e-05
occ_59.0,3.819583231960672e-05,1.9240630120341093e-05
occ_60.0,2.0716985745656508e-05,4.674206307020847e-06
occ_61.0,0.001004350945680744,0.00014088150496050688
occ_62.0,4.0133795506555676e-07,4.0133795506555676e-07
occ_63.0,2.613318984266062e-07,1.2632719856421743e-07
occ_64.0,9.775513150847005e-06,9.775513150847005e-06
occ_70.0,9.39710042971236e-06,5.918659932073341e-07
occ_71.0,1.3636635120407456e-06,1.3636635120407456e-06
occ_72.0,5.027954679406855e-06,1.1589553147198939e-06
occ_73.0,0.0001059632819221365,2.20106503063368e-05
occ_74.0,2.0421603721690673e-06,2.0421603721690673e-06
occ_75.0,3.904833764061278e-07,2.638440806774419e-07
occ_77.0,2.7619167079651203e-06,7.620818854760814e-07
occ_79.0,1.0834361210301046e-05,9.749118090111797e-07
occ_80.0,7.47788714508131e-08,6.840658628347815e-08
occ_81.0,8.20064223979167e-06,1.8675005674032334e-06
occ_82.0,0.0,0.0
occ_83.0,7.264047540104139e-06,3.06510316969253e-06
occ_84.0,0.00013397381496458983,5.091963773875935e-06
occ_85.0,7.824773416266757e-05,2.977821915740363e-05
occ_86.0,0.0,0.0
occ_87.0,0.00010242783106075586,1.7816039685869683e-05
occ_88.0,0.0,0.0
occ_89.0,0.0,0.0
occ_92.0,1.3554756753596047e-05,1.3554756753596047e-05
occ_93.0,7.087680453565517e-05,1.253666231340987e-06
occ_94.0,0.0,0.0
occ_95.0,0.0002378689119947072,1.1767057979182812e-06
occ_96.0,1.6931240034887034e-06,1.6931240034887034e-06
occ_97.0,7.29696808151148e-05,5.987051176932445e-06
occ_98.0,0.0002619092363414052,7.251974046688277e-05
occ_99.0,0.0002472448387691933,3.0441235986948673e-05
occ_101.0,8.771315554052482e-06,9.58634725855796e-07
year_1972.0,1.2979348357941411e-05,8.39211931225432e-06
year_1973.0,1.2781690066367153e-05,6.66269493482009e-07
year_1974.0,1.4637442532381847e-05,6.4034833287858325e-06
year_1975.0,2.9128030814748932e-05,1.7490565252785352e-06
year_1976.0,6.052849376917587e-05,2.101840367230566e-05
year_1977.0,2.9892788216824798e-05,5.446847226248447e-06
year_1978.0,5.6601473608421905e-05,1.4501179392686945e-05
year_1979.0,5.899688678481162e-05,8.785438524305305e-06
year_1980.0,8.402867780936921e-05,4.556827998102838e-05
year_1981.0,0.0002615959082830443,3.404333872603591e-05
year_1982.0,0.000169069422893406,5.5948497499137454e-05
year_1983.0,6.034087361878803e-05,2.501814699825826e-05
year_1984.0,8.855744926926124e-05,3.774728609362167e-05
year_1985.0,0.00011294094591012608,1.8756015757898379e-06
year_1986.0,0.00013185010967052308,1.832845427953484e-05
year_1987.0,0.00014252802692102864,2.443030773373736e-05
year_1988.0,0.00011416462495097415,2.3388585030032603e-06
year_1989.0,0.00014923975181306546,4.9225225054311e-05
year_1990.0,0.000191631987892774,5.464555485776491e-05
year_1991.0,0.00048659523008257207,0.00015155241866286414
year_1992.0,0.0002573813647910361,9.621657359640361e-06
year_1993.0,0.00012533081495244943,1.8722236279324852e-05
year_1994.0,0.00017012562823432952,2.6958759205871698e-05
year_1995.0,0.00034274303497024546,0.0003284341554851012
year_1997.0,3.6251940788794445e-05,1.6734446778413862e-05
year_1999.0,9.549184952477814e-05,4.006543332863175e-05
year_2001.0,0.00042476158132432847,0.00024327228048881804
year_2003.0,0.00016126864886706186,3.0783146758819466e-05
year_2005.0,0.00035460562824645407,7.477182651189729e-05
year_2007.0,0.00022051575597693238,1.2342320819886085e-05
year_2009.0,0.00024865803578536064,6.953111274878218e-05
year_2011.0,0.00014828009346792108,5.33511752042954e-06
year_2013.0,6.599323067911978e-05,1.1497036389163721e-05
year_2015.0,8.629093081195593e-06,6.790251429683468e-07
year_2017.0,3.934509421397094e-06,1.0633006150641404e-06
year_2019.0,2.0464742138018024e-05,2.263086621693235e-06
censdiv_0.0,3.4484037679300405e-05,3.188670248687168e-06
censdiv_1.0,7.451825019558771e-05,1.0783396163790913e-05
censdiv_2.0,0.00017326203099923666,7.254823246167469e-06
