Feature,Average SHAP Value,Abs Mean SHAP (Net directional)
currentage,0.0002943678151326658,4.7143355658101845e-05
PrRecess,0.00040775403417890225,7.5029767010334375e-06
OLF,2.6660670261604078e-05,3.433061799195981e-07
tenure,0.00046402673519600144,2.8721502894814444e-06
currentagesq,0.0002952979172184144,2.301920597331589e-05
currentagecube,0.000284361885956066,3.060513192263558e-05
race_1.0,9.794085332022865e-05,4.639044075392061e-06
race_2.0,8.420366497075087e-05,7.198120781362941e-06
race_3.0,2.261443598346407e-05,6.3291550658550495e-06
race_4.0,1.0483648806304747e-05,2.8426769702611996e-06
race_5.0,9.846898488851797e-05,1.7169062121908267e-06
race_7.0,8.532649298796984e-06,1.7384566192647487e-06
occ_0.0,0.00014117150533239382,3.5880328689019675e-05
occ_1.0,1.6150750122937326e-06,1.8702209382552933e-07
occ_2.0,3.9629176197635336e-06,8.917810531865584e-07
occ_3.0,2.8431799793791947e-06,8.963227040624084e-07
occ_4.0,1.9149130094196296e-06,2.9399571054207595e-07
occ_5.0,1.439808724602225e-06,7.167102084649139e-07
occ_6.0,7.055529188406911e-05,8.139300476772808e-06
occ_7.0,3.3342023794949866e-06,8.236797461938493e-07
occ_8.0,4.102536534357594e-05,1.150594245103788e-05
occ_9.0,4.4177448622574263e-07,2.732698050409202e-07
occ_11.0,4.490567191367635e-06,1.0922414232678768e-06
occ_12.0,2.5929240079002513e-06,2.4747157556900584e-07
occ_13.0,1.3604816410800535e-05,7.042035249029325e-07
occ_14.0,2.1559490823443146e-06,1.436600530459841e-07
occ_15.0,5.067225851470245e-06,3.3235775516088047e-06
occ_16.0,4.2111673171517505e-06,4.055693637969924e-06
occ_17.0,1.222726350653367e-05,5.973450754613693e-07
occ_18.0,2.1214025322496443e-05,1.5398096988214708e-05
occ_19.0,2.473470057807107e-06,1.5298534140986662e-06
occ_20.0,3.3462002859263e-05,2.2605045711286516e-05
occ_21.0,0.0003484649552286553,2.43239640696447e-05
occ_30.0,3.5364229616430982e-06,5.900193279315485e-07
occ_31.0,8.693827011676904e-07,4.6010104420619733e-07
occ_32.0,6.393526166990014e-07,5.269260483751485e-07
occ_33.0,4.2356743388443045e-06,7.24455610803459e-07
occ_34.0,1.5403532676117222e-06,4.538769551889442e-07
occ_35.0,3.597819845226202e-06,3.597819845226202e-06
occ_36.0,0.0,0.0
occ_37.0,3.1298727608997037e-06,1.2137821629491964e-06
occ_38.0,4.9024394546591975e-06,4.9024394546591975e-06
occ_39.0,9.393165687896657e-06,2.593214248638368e-06
occ_40.0,7.050695148717305e-06,1.997844857038555e-07
occ_42.0,1.7040235016493973e-05,1.7040235016493973e-05
occ_43.0,7.127409581922483e-06,3.4440410220504534e-06
occ_44.0,8.480626944520614e-05,1.9696696406324845e-05
occ_45.0,9.0308325151931e-06,5.768210251003838e-07
occ_49.0,2.268682484495196e-06,7.37737996233255e-07
occ_50.0,4.810735682046607e-05,9.052302591963017e-06
occ_52.0,0.0,0.0
occ_53.0,1.9976773021872614e-05,8.495516445224324e-07
occ_54.0,2.443556088679419e-06,1.5738964383695942e-06
occ_55.0,2.126507544140167e-05,3.3254388568966863e-06
occ_56.0,4.509937713379541e-06,4.509937713379541e-06
occ_57.0,4.840293106246552e-06,3.9169113294337597e-07
occ_58.0,6.585640322882739e-06,3.5999775774416935e-06
occ_59.0,3.348906818551191e-06,1.8692661055136114e-06
occ_60.0,7.925548882925672e-07,3.5236627638505344e-08
occ_61.0,0.00019487980669597425,5.0519569137791815e-05
occ_62.0,3.667260941388987e-07,2.8405363881815767e-07
occ_63.0,4.9256115173457175e-08,4.9256115173457175e-08
occ_64.0,8.069908624179984e-06,8.069908624179984e-06
occ_70.0,2.1477174654139614e-06,2.3684137210926007e-07
occ_71.0,2.8635213956048416e-06,2.4171757449157854e-06
occ_72.0,4.5906843310262866e-07,3.7968552692544014e-07
occ_73.0,6.76165187228703e-05,5.602615446862868e-05
occ_74.0,4.361633509882711e-06,2.0322076144938135e-06
occ_75.0,0.0,0.0
occ_77.0,1.6802063177983118e-06,3.6065674987869564e-07
occ_79.0,1.6522027091402943e-06,1.0706941583572792e-07
occ_80.0,5.549778372734893e-07,5.549778372734893e-07
occ_81.0,6.568297023269026e-07,1.338796366154151e-07
occ_82.0,8.948270916402872e-07,8.948270916402872e-07
occ_83.0,6.838391507352039e-06,1.2356953857002817e-06
occ_84.0,2.4450048050098224e-05,9.007370986026356e-07
occ_85.0,9.64160187926567e-06,5.879235638698743e-07
occ_86.0,0.0,0.0
occ_87.0,1.2535218515061839e-05,2.5987219901871123e-06
occ_88.0,9.03445335956435e-06,5.5045448916573805e-06
occ_89.0,0.0,0.0
occ_92.0,3.873205434896142e-06,5.746228899693459e-07
occ_93.0,4.603804973568712e-05,1.035045204148993e-05
occ_94.0,0.0,0.0
occ_95.0,3.3058892557454495e-05,5.751343820813202e-06
occ_96.0,3.62126062342232e-07,1.675117675734176e-07
occ_97.0,9.700402250232669e-06,2.481443074449571e-06
occ_98.0,1.5705199544451268e-05,4.7597253542556256e-07
occ_99.0,4.0835289561607044e-05,1.7428712163799325e-06
occ_101.0,9.731341691403606e-07,5.353930351490888e-07
year_1972.0,6.092279449271492e-06,1.2678880421997776e-06
year_1973.0,6.210373895812087e-06,3.230587252749924e-06
